Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)
2015-09-01 10:05:00	2015-09-01 10:15:00	9.231141264152674	4.308759474488125	7.09062986973359	-4.045868870105579	207.444	2.597	-1.925	-3.688
2015-09-01 11:40:00	2015-09-01 11:50:00	10.42485227051058	3.855626854582866	8.327953232087966	-4.945206279942862	199.455	4.862	-0.612	-1.81
2015-09-05 12:45:00	2015-09-05 12:55:00	11.232103461252017	3.911678921616941	9.015458031220753	-5.438637162669157	138.909	-4.443	2.393	-2.735
2015-09-07 18:00:00	2015-09-07 18:10:00	11.796125887331504	1.5339188147677312	10.86867773482499	-4.32033032398557	160.846	2.332	3.052	-8.747
2015-09-07 21:35:00	2015-09-07 21:45:00	10.247506255423998	-0.6001177059885602	9.78335673009362	-2.9891929305441454	138.076	0.625	5.763	-6.388
2015-09-07 23:45:00	2015-09-07 23:55:00	8.405230533596558	-1.8444562558410555	7.790181157675204	-2.560457621708826	142.195	-0.223	6.057	-7.807
2015-09-09 07:20:00	2015-09-09 07:30:00	7.241774910913499	5.13997825163344	4.611577413675055	-2.180136519544386	143.113	0.698	5.788	-7.758
2015-09-09 07:50:00	2015-09-09 08:00:00	7.8514817449328	5.246010819440766	5.204887007995219	-2.6515303380233743	172.209	1.232	1.373	-9.987
2015-09-09 08:20:00	2015-09-09 08:30:00	8.403030546650156	5.298063878150283	5.736988722194263	-3.102450256514333	172.124	1.098	1.352	-9.778
2015-09-09 08:50:00	2015-09-09 09:00:00	8.902512789042335	5.305761108542851	6.217364954820231	-3.527773006359768	169.917	1.607	1.658	-9.337
2015-09-09 09:20:00	2015-09-09 09:30:00	9.354686798095324	5.2761778153232095	6.65438828202478	-3.922846420565364	166.64	1.998	2.092	-8.793
2015-09-09 09:50:00	2015-09-09 10:00:00	9.76333714319644	5.21469259693824	7.055417801455111	-4.283523784209309	166.093	2.157	2.122	-8.583
2015-09-09 10:20:00	2015-09-09 10:30:00	10.131517306749783	5.125507440048999	7.426828685538404	-4.606193396660079	169.194	0.982	1.72	-9.01
2015-09-09 10:50:00	2015-09-09 11:00:00	10.46171803035689	5.011980991147343	7.774004973391555	-4.887801036518343	177.76	0.242	0.355	-8.947
2015-09-09 11:20:00	2015-09-09 11:30:00	10.7559869269819	4.876850911950534	8.101315548947627	-5.1258711920981535	196.894	-0.63	-2.632	-8.548
2015-09-09 12:30:00	2015-09-09 12:40:00	11.311838206108868	4.489621687602759	8.804491519882278	-5.502753776595676	214.158	-0.892	-4.655	-6.85
2015-09-09 13:00:00	2015-09-09 13:10:00	11.49699469335704	4.297002503493008	9.083662407832954	-5.585882622021024	199.623	-1.145	-2.77	-7.708
2015-09-09 13:30:00	2015-09-09 13:40:00	11.651684252965728	4.090432174744525	9.349770866425835	-5.622291975547566	203.599	-1.252	-3.315	-7.613
2015-09-09 14:00:00	2015-09-09 14:10:00	11.77661697259174	3.871096142496871	9.601689961466926	-5.613290818949641	200.222	-1.442	-2.655	-7.208
2015-09-09 14:30:00	2015-09-09 14:40:00	11.872348721125634	3.640049887949576	9.837436628578416	-5.561076893397496	197.819	-1.503	-2.343	-7.277
2015-09-09 15:00:00	2015-09-09 15:10:00	11.939295246992108	3.3982450100703825	10.054312455778826	-5.468766566505788	189.484	-1.773	-1.27	-7.578
2015-09-09 17:25:00	2015-09-09 17:35:00	11.8625021817433	2.104057607032855	10.72543898876637	-4.610261867154098	183.509	-0.892	-0.543	-8.837
2015-09-09 17:55:00	2015-09-09 18:05:00	11.763331766440976	1.815223258019427	10.762673649325258	-4.386742891172649	192.612	-1.382	-1.897	-8.483
2015-09-09 18:25:00	2015-09-09 18:35:00	11.634903646996529	1.520769077086186	10.757996675301865	-4.161917796229038	190.693	-2.172	-1.598	-8.472
2015-09-09 18:55:00	2015-09-09 19:05:00	11.476644532133164	1.2214181848476604	10.709030400356571	-3.941584161372041	187.833	-2.735	-1.172	-8.473
2015-09-09 19:25:00	2015-09-09 19:35:00	11.287825490150054	0.9179332812380078	10.613747964074552	-3.7307863605730014	191.469	-2.982	-1.665	-8.197
2015-09-09 20:00:00	2015-09-09 20:10:00	11.027693924851237	0.5597455120619532	10.441691193818968	-3.502271157374884	211.827	-3.645	-4.382	-7.053
2015-09-09 21:00:00	2015-09-09 21:10:00	10.476716286113207	-0.060429272248129	9.986909138460431	-3.165075663517495	193.026	-4.127	-1.463	-6.545
2015-09-09 21:30:00	2015-09-09 21:40:00	10.14830764544205	-0.3710455816878793	9.68011876458818	-3.0238763609442736	186.363	-5.282	-0.743	-6.298
2015-09-09 22:05:00	2015-09-09 22:15:00	9.717139942223094	-0.7313541894960968	9.251513482150877	-2.8801587876450903	192.159	-4.312	-1.288	-5.477
2015-09-09 22:35:00	2015-09-09 22:45:00	9.303534807805809	-1.0362703377054427	8.820378044027038	-2.7713712838095828	196.322	-4.398	-1.417	-4.697
2015-09-09 23:40:00	2015-09-09 23:50:00	8.251478357070743	-1.6714723367852973	7.66574724769315	-2.554659110248542	188.114	-6.237	-0.22	-2.073
2015-09-12 07:40:00	2015-09-12 07:50:00	8.05129079919586	5.554165914668157	5.179360983960012	-2.6730552573377437	137.579	-2.598	2.827	-3.08
2015-09-13 14:20:00	2015-09-13 14:30:00	11.915124241835592	4.214906585908881	9.618093121572894	-5.629842286874761	158.883	3.238	1.657	-4.238
2015-09-13 14:50:00	2015-09-13 15:00:00	11.965521615804244	3.975596858305392	9.829318673947109	-5.545339718013557	163.162	3.418	1.297	-4.3
2015-09-13 15:20:00	2015-09-13 15:30:00	11.987526552184804	3.724783135504985	10.019931200198808	-5.424537037518114	160.526	3.152	1.553	-4.422
