Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	gseIMFBx_avg(nT)	gseIMFBy_avg(nT)	gseIMFBz_avg(nT)	Shock_Ang(deg)	ionVx_gsm_avg(km/s)	ionVx_gsm_med(km/s)	ionVx_gsm_std(km/s)	ionVx_gsm_rms(km/s)	ionDen_avg(1/cc)	ionDen_med(1/cc)	ionDen_std(1/cc)
2015-09-02 09:30:00	2015-09-02 09:40:00	8.792990176971285	4.5136155168907495	6.594839249417039	-3.667320338083508	345.851	6.568	-2.385	2.305	23.456	7.941479076941808	10.214303016662598	7.14381118371694	10.681812962138205	1.4194025	1.4175705	0.056225073
2015-09-08 07:25:00	2015-09-08 07:35:00	7.204128476908366	5.0508425925397615	4.64425956719769	-2.1943078584568325	330.021	12.543	-13.663	8.205	42.166	-1.619462908223524	-2.0885672569274902	6.224001837015695	6.431240858363691	4.9539375	4.9625716	0.75090176
2015-10-21 13:25:00	2015-10-21 13:35:00	11.74555642296731	8.477973194439672	6.783786849185663	-4.478906400334896	346.319	0.27	-6.618	7.393	87.005	-120.00978839931203	-119.87157440185547	5.549816883014086	120.13804467812282	32.634857	32.619667	1.6116469
2015-10-25 15:15:00	2015-10-25 15:25:00	10.87471263542066	7.450753193195723	6.899772329606846	-3.8905806459988383	329.99	-5.047	-7.838	5.792	71.324	-1.5160399195843173	0.8719516396522522	31.80860628414103	31.84471401625817	3.4523726	2.5817144	2.4997091
2015-10-26 06:20:00	2015-10-26 06:30:00	10.883133180895475	10.130629602685502	3.411430872007424	-2.0428579959283155	331.749	-4.062	-4.375	3.318	62.583	6.048929373124488	6.248044967651367	15.707444402540863	16.831914811451504	4.1914372	3.6792257	2.7280574
2015-10-26 06:55:00	2015-10-26 07:05:00	11.16796210721266	10.262615037440211	3.725628583606871	-2.349486897692914	332.012	-3.985	-4.095	3.002	61.093	-13.302993428351273	-11.53515338897705	13.484595991065857	18.942121401707535	4.222359	4.3474064	2.0361001
2015-10-26 07:25:00	2015-10-26 07:35:00	11.37718526090017	10.336020824383152	3.976488329501191	-2.6063224920788493	338.37	-5.075	-3.2	2.828	48.92	-21.531360626220703	-27.553406715393066	21.59084542950491	30.492033332940267	9.095077	9.058788	2.0951216
2015-10-26 08:25:00	2015-10-26 08:35:00	11.703086153617862	10.379832923326909	4.4368309576990015	-3.0877684498954068	351.388	-4.75	-2.372	3.09	46.952	-30.08652725860254	-29.89098358154297	10.221654485802663	31.775483362330828	13.910413	13.892501	2.0470412
2015-10-26 09:30:00	2015-10-26 09:40:00	11.92243129740666	10.28231189935981	4.891130854560066	-3.534665981439147	352.38	-4.957	-2.623	3.512	36.519	-3.2980680272991494	-4.62799596786499	15.374141429366865	15.723914188358686	1.8900955	0.8927044	3.216749
2015-10-26 10:00:00	2015-10-26 10:10:00	11.978069811374676	10.18911228132714	5.09056322464368	-3.706876763634634	342.763	-5.642	-1.82	1.678	18.254	-23.24035014425005	-29.91423797607422	26.615911650068227	35.3344113831203	2.199547	1.2133521	1.6780273
2015-10-26 10:30:00	2015-10-26 10:40:00	12.005288682954436	10.066482182517843	5.285425056265165	-3.854323051367865	343.977	-5.593	-1.973	1.91	20.694	-10.192653172446374	-12.776190757751465	14.340811020856158	17.594005781222492	1.2106165	1.1671251	0.15437725
2015-10-26 11:00:00	2015-10-26 11:10:00	12.004201887582232	9.914964156549638	5.476436676403696	-3.975123965106388	342.315	-5.445	-2.097	1.922	22.128	-5.962480742904477	-3.637270450592041	11.788457866404752	13.210560755604083	1.0542853	1.053693	0.043075886
2015-10-26 11:30:00	2015-10-26 11:40:00	11.974804265197188	9.734974579272118	5.663747428962371	-4.067770898698305	341.718	-5.658	-1.917	1.738	18.964	-4.194221139402318	-4.028164863586426	7.037323045579453	8.192399319738568	1.0188824	1.0192281	0.040989842
2015-10-26 12:00:00	2015-10-26 12:10:00	11.91697150429008	9.526811712571456	5.846901703494209	-4.131142984940211	337.539	-5.595	-2.167	1.725	20.255	-5.49656821440037	-6.114971160888672	5.963556140983315	8.110256714939194	0.88016117	0.87980163	0.029180884
2015-10-26 13:10:00	2015-10-26 13:20:00	11.669822857737344	8.932370958878522	6.250889692057425	-4.161997435376797	335.994	-5.727	-1.77	1.402	15.646	-1.3140837712519204	-1.4745475053787231	7.416472668228874	7.5319906396950325	1.1016192	1.0932508	0.048974782
2015-10-30 07:05:00	2015-10-30 07:15:00	11.419287200928856	10.629107380868094	3.491781702570529	-2.28649585259825	345.359	-4.187	-3.82	4.788	51.729	-46.95803669317445	-46.69517517089844	6.981201907774411	47.47414443836382	37.78979	37.826202	2.0137374
2015-11-08 02:10:00	2015-11-08 02:20:00	8.879991007139333	8.87446450914169	-0.1928940877966097	-0.2417811066884078	325.026	-6.42	-9.367	9.147	70.195	-12.23302536931905	-14.052405834197998	8.397085302161074	14.83772055465977	0.9464558	0.94860494	0.024165941
2015-11-08 03:00:00	2015-11-08 03:10:00	9.616702986041195	9.5991578827703	0.3638691116985544	-0.4501978089677175	328.118	-5.293	-9.008	9.152	73.684	-0.29039619370062547	-0.04831607639789581	9.505276870272557	9.509711790052014	0.7017159	0.69960433	0.053836066
2015-11-08 03:30:00	2015-11-08 03:40:00	10.002105010396372	9.960820177939327	0.6870823508949649	-0.5917631976910975	337.162	-7.718	-6.803	9.025	60.958	6.6548911346528765	6.452567100524902	18.95057807891262	20.085118509459807	5.607679	5.5625896	3.071883
2015-11-18 12:30:00	2015-11-18 12:40:00	10.955992978281849	9.953293970021228	3.793714199961116	-2.563527586068071	341.684	3.525	-4.943	5.777	60.383	-1.4834535355509166	-1.1483079195022583	18.86697459630097	18.925204485278478	2.3506067	1.0418856	2.7267652
2015-11-20 06:15:00	2015-11-20 06:25:00	11.840335243101132	11.746847834477911	0.9425260989061996	-1.1469471461821206	318.92	-2.14	-6.355	3.857	81.292	-59.34832937326004	-58.6474609375	5.208873652162838	59.57647660042642	25.748066	25.77687	1.2230386
2015-11-28 08:30:00	2015-11-28 08:40:00	11.91602532059511	11.791680154776431	1.0228173451906988	-1.378585940117864	316.505	4.597	-8.813	4.575	71.547	-78.90215505155406	-79.16386413574219	5.991554678216238	79.12931693905573	83.03739	82.97401	2.8322325
2015-11-29 00:30:00	2015-11-29 00:40:00	9.444294223649884	9.003068544383265	-2.811795019897749	-0.4807504716153988	349.264	5.443	-1.65	8.575	60.03	1.3948184547567726	1.108664870262146	8.173789788086381	8.291945370150197	18.991365	10.806612	11.668336
2015-11-29 01:05:00	2015-11-29 01:15:00	9.910701367629288	9.55773540041992	-2.5720638831580582	-0.5042578194233802	350.019	6.242	-1.613	8.232	55.195	-23.603557672073592	-24.175418853759766	6.896208768397042	24.590356446302692	47.928226	48.013214	5.612228
2015-11-29 07:10:00	2015-11-29 07:20:00	12.01941248752496	11.96848096388289	0.2877685647294692	-1.0666474994628723	355.855	9.107	-3.925	10.465	51.466	-115.49007757086503	-115.93201446533203	23.853925858686903	117.92780756122006	53.59011	52.265835	5.6939244
2015-11-29 08:05:00	2015-11-29 08:15:00	11.957310097589046	11.870281263504497	0.7137365521377897	-1.2502067079108672	341.254	7.628	-6.63	9.083	54.277	-104.54589918323029	-104.51673889160156	14.931019777463343	105.60672510605163	46.762352	46.68502	2.5442169
2015-12-03 11:35:00	2015-12-03 11:45:00	10.548814927677345	10.243331812696818	1.926400701343836	-1.6244321404696072	341.425	-5.132	-1.382	1.89	27.629	-4.933135357073772	-3.661470055580139	11.767496475122142	12.759694265272325	0.59163177	0.5913685	0.074201524
2015-12-16 03:50:00	2015-12-16 04:00:00	11.917317683264748	11.376965299376767	-3.4109579565815	-0.9753147475926096	315.22	3.015	-3.415	3.482	60.083	-46.592563593297974	-46.326995849609375	15.023719345057287	48.95486824775003	6.7927217	6.909871	1.589028
2015-12-16 10:35:00	2015-12-16 10:45:00	10.266178312362207	10.213222672872853	0.2018745159229436	-1.0207145135205684	316.007	2.72	-2.85	1.845	53.476	-7.083638491025612	-7.418044567108154	12.495429753750454	14.363624159746443	0.4097235	0.40658805	0.037133656
2015-12-16 11:05:00	2015-12-16 11:15:00	9.910051965681896	9.840143988419936	0.5061710266194265	-1.0594454462846674	322.564	3.025	-2.158	1.745	44.347	-6.508504337308292	-5.873965740203857	9.606994479053562	11.604092882656811	0.46177694	0.44845733	0.0639301
2015-12-22 12:20:00	2015-12-22 12:30:00	8.136239959376619	8.03044567743641	0.9323694186915054	-0.9153645399271084	325.171	1.102	-5.69	5.87	79.953	-115.27245995712177	-72.59546661376953	134.3537563197869	177.02731953515797	45.182903	32.952194	40.1213
2015-12-27 02:40:00	2015-12-27 02:50:00	11.92338596419542	10.61276321722108	-5.134642260759245	-1.780575815334572	321.97	6.967	-1.577	2.755	21.023	-66.83757740881906	-66.53776931762695	28.530319487000977	72.67214654811173	13.277967	13.161832	1.9773519
2016-01-12 10:30:00	2016-01-12 10:40:00	7.47018225611484	7.366265070339213	-1.0770816151366325	-0.6148534852462201	347.21	6.502	-0.787	3.162	24.48	3.1163212111886818	0.15163351595401764	27.110955592077694	27.289473630081496	1.1479008	0.81372863	0.8729167
2016-01-17 04:25:00	2016-01-17 04:35:00	11.511085102370826	9.37093530493503	-6.207821690821965	-2.4802837003131537	318.08	-4.878	-2.552	4.51	59.022	-57.97181374686105	-57.44479751586914	8.279411761667081	58.56005334884847	15.645522	15.357615	1.8241976
2016-02-12 06:55:00	2016-02-12 07:05:00	7.368689929569421	5.912825856333252	-4.102885655734132	-1.5806781114795454	316.084	1.687	-6.7	11.815	73.256	-55.99388654969045	-56.97176742553711	18.985613948058873	59.125027424300896	16.543062	16.542452	3.2502694
2016-02-12 20:05:00	2016-02-12 20:15:00	11.704766247986214	3.191824955791874	-9.52327312674823	-6.009909517249549	333.481	-1.348	0.018	13.843	85.273	-176.39836843390214	-176.59368896484375	5.092392708782552	176.47185852039738	106.26926	105.6664	4.8506327
2016-02-12 20:35:00	2016-02-12 20:45:00	11.817601064675223	3.4917343828404483	-9.456263915249917	-6.16771174489191	339.418	-1.175	1.672	15.045	83.706	-171.02399083187706	-170.49449157714844	8.88216473737528	171.2544840011024	86.31886	91.01078	14.23684
2016-02-12 21:05:00	2016-02-12 21:15:00	11.90141600728925	3.781066182452889	-9.37228576081292	-6.285361594113194	333.801	0.555	0.457	13.912	88.193	-172.608967945988	-172.633544921875	4.261960098709018	172.66157684691203	131.72595	131.62721	5.005836
2016-02-12 21:35:00	2016-02-12 21:45:00	11.956571623149424	4.05920851038269	-9.274752642646485	-6.36080188840553	353.54	0.63	5.635	14.057	84.913	-157.47532871791296	-157.5337371826172	3.677737387493489	157.5182684868841	102.83484	102.587585	5.6213427
2016-02-12 22:05:00	2016-02-12 22:15:00	11.983301915070877	4.325525915639266	-9.166386100295712	-6.3925915640653015	356.988	0.358	6.998	14.553	82.59	-154.91432981562792	-154.62542724609375	4.3604416570789	154.9756852982749	124.63845	124.01522	8.149254
