Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)	Jx_avg(uA/m2)	Jy_avg	Jz_avg	Jmag_avg	divB_avg	Jx_med(uA/m2)	Jy_med	Jz_med	Jmag_med	divB_med	Jx_std(uA/m2)	Jy_std	Jz_std	Jmag_std	divB_std	mms1Bx_avg(nT)	mms1By_avg	mms1Bz_avg	mms1Bmag_avg	mms1Bx_med(nT)	mms1By_med	mms1Bz_med	mms1Bmag_med	mms1Bx_std(nT)	mms1By_std	mms1Bz_std	mms1Bmag_std	Jcosxy_pos(%)	Jcosxy_neg(%)	Jcosxy_avg	Jcosxy_med	cosxy_pos(0.25,%)	cosxy_neg(0.25,%)	Jcosxz_pos(%)	Jcosxz_neg(%)	Jcosxz_avg	Jcosxz_med	cosxz_pos(0.25,%)	cosxz_neg(0.25,%)
2015-09-23 12:50:00	2015-09-23 13:00:00	11.860942155974987	6.0515137348875685	8.503118960449935	-5.635294244921738	327.28	8.127	-2.137	3.347	-0.0110820445002198	-0.0006854251446248	-0.0171068495209122	0.1048096912188981	0.0016325472285878	-0.021677352567994	-0.0020639191309095	-0.0533177848159549	0.0882380455275876	0.0005652144979619	0.0595195451780781	0.0281535212555261	0.0907689982488299	0.0447779243093161	0.0147170883574987	25.883196	4.352823	42.980434	50.844715	25.912752	4.6805778	43.34997	50.68258	3.0646741	5.6635737	3.6852944	2.4634764	40.383413211085646	59.616586788914354	-0.0022160205710402767	-0.0015524027653454574	25.838716399249844	48.49968743488227	58.12669306105439	41.87330693894561	0.0010606437004611602	0.0007820823448572898	24.473848718483016	21.431548239216504
2015-09-23 14:20:00	2015-09-23 14:30:00	11.993631489263755	5.39803574326405	9.142311159406017	-5.578948727003479	343.448	3.487	-2.218	7.592	0.0019114758013387	-0.001453310046916	0.005312594683893	0.0930446084294036	0.0003611533459311	0.0032059763811299	-0.0041938580464387	0.0158206493137413	0.0891111934564982	0.0009369287312611	0.0486434334292831	0.0237399326959688	0.0775182789371774	0.0177635003280918	0.0062414188485428	25.085016	5.832861	44.441685	51.564846	25.2173	6.1496835	44.63572	51.485283	2.4186845	3.6902444	1.6699159	1.291021	56.92852677641175	43.07147322358825	0.0009276206085735592	0.0010123478314050492	47.80162533861221	34.080016670139614	38.153782037924564	61.846217962075436	-0.0017455358605251614	-0.0013454033513342143	23.71327359866639	46.85351114815587
2015-10-13 12:10:00	2015-10-13 12:20:00	12.00327694868956	8.434972688725649	6.98082594826563	-4.918994993051514	344.14	-3.99	-1.08	3.925	-0.0035634358242784	0.0022129228166941	-0.0071222156755058	0.1177124869908262	0.0005337747962177	-0.0066269661894472	0.0021095589712404	-0.0574551952524783	0.1099880630645705	0.0008298754179054	0.048462684982276	0.043197160775159	0.1026249053732792	0.0309610917512635	0.0097094165455682	13.601397	4.035802	31.536772	35.242233	14.160969	4.963958	31.335686	35.519455	3.1918077	6.0826254	4.315487	4.4326296	52.474216064173355	47.525783935826645	3.7581897833133196e-05	0.00034621370167248026	37.80602146056881	38.33732680487551	55.70371913741015	44.29628086258985	0.0008784660503827167	0.0009039178764975713	35.805813105531826	29.857276799666632
2015-10-22 11:05:00	2015-10-22 11:15:00	12.003006259311212	9.582605349086291	5.85435342255991	-4.239221299035591	344.103	1.405	-1.145	4.063	0.0036232041721838	0.0103423229658418	0.0139607643816908	0.1013892869569201	4.8059339538122406e-05	0.0043956200660166	0.011974711771685	0.0330800583805955	0.0978151732817241	-0.0010232271534711	0.0421768353971003	0.0597097795377705	0.0730394863813987	0.0267229577837727	0.0086028773109822	14.486255	-12.88121	23.48478	31.353529	14.601401	-11.600097	23.170244	32.78525	2.9583192	6.6253467	4.5319877	4.1778154	44.92028758987183	55.07971241012817	-0.0008774594385783882	-0.001280021594744626	36.27175158903824	43.07596123788684	34.44826508283839	65.55173491716161	-0.004250006540062647	-0.0037639533567128715	23.4239866624987	51.47441908929874
2015-10-22 12:30:00	2015-10-22 12:40:00	11.90392232287914	9.02095056237147	6.38146558059429	-4.427322945715538	331.185	3.528	-1.412	2.567	0.0126536237133698	0.0006520522532131	0.0229993050910934	0.0997590121581821	-0.0009694420315551	0.0272689674167987	-0.0066714166804574	0.0466055249066177	0.093094633290218	-0.0011542892191988	0.0454570881246425	0.0509650812305792	0.0730272025136301	0.0270999181861335	0.0098451067976349	13.718744	-1.0738268	27.750017	31.850128	14.252342	-0.032121953	29.47055	32.589157	3.157192	6.453688	5.3267035	4.9981475	42.883934152948534	57.116065847051466	-0.0016242931464545516	-0.0014379346514999621	32.28797666180454	43.34236299229006	32.61096061679517	67.38903938320483	-0.004646937744084546	-0.003989738521367374	21.744113356949363	52.51093977912065
2015-10-23 06:20:00	2015-10-23 06:30:00	10.695545507298318	9.840466907981243	3.613422528065098	-2.1215989031324654	315.82	3.548	-2.605	2.642	-0.0129895085164149	0.0154822055016879	-0.0145091340793945	0.1470034784010795	-0.0057154937817448	-0.0222983714606402	0.0204851762700378	-0.0490166587745584	0.1287829314744774	-0.003529366290229	0.0638230697158767	0.0806380403620216	0.1189140372358636	0.0610355991330367	0.0224530457349194	13.209584	-17.608284	35.591747	43.000214	13.271759	-19.247921	36.26513	44.646214	5.9742646	8.160012	5.8027616	6.18455	44.96770160450094	55.03229839549906	-0.001628843982362554	-0.0017425730237396926	29.59991664930194	43.00896020004168	27.630756407584915	72.36924359241509	-0.005023267373862873	-0.005185462762739061	18.64971869139404	54.490518858095434
2015-10-23 06:50:00	2015-10-23 07:00:00	10.964696905046743	9.96422119885255	3.895770246506516	-2.4000078008416845	330.809	4.138	-1.757	3.14	0.0048429605821587	-0.0002182450570403	0.0113401419538122	0.121312101809514	-0.0024347323598593	0.007402682435781	0.0126598868749163	0.0434016377938695	0.1137609849659813	-0.0028625140903519	0.0402740499632602	0.069179888542871	0.0975986208930489	0.0369975884574698	0.0120585496168204	11.302985	-12.88735	26.40363	32.12929	11.107418	-11.606419	26.958458	33.952435	3.2283237	5.7003713	6.141664	6.271988	52.03667048650901	47.96332951349099	0.0013286335639872318	0.00048190604572756436	40.045838108136266	31.742889884362956	51.849150953224296	48.150849046775704	-0.0003107170700678867	0.00042335543459262734	31.472028336285028	35.96207938326909
2015-10-23 07:20:00	2015-10-23 07:30:00	11.200647973987635	10.050464802073613	4.159061630204248	-2.672667599650699	317.917	4.072	-2.218	2.488	0.0084700871430583	0.0055163685008849	0.0070437869149152	0.1387813982593926	0.0010766833797309	0.015407173140827	0.0115898411090223	-0.0035561750315041	0.1182861398634131	-0.0003248770463993	0.0587209488404253	0.0796755367868851	0.1129292003508822	0.0586588136242711	0.0210317562805226	9.757525	-14.039933	24.378813	31.708101	9.913092	-11.520153	25.407143	32.57802	4.2781196	9.938264	7.3244996	7.209143	50.69806209627006	49.30193790372994	-7.545303949237746e-05	0.0002159874121804632	41.57116065847052	39.737445301104394	46.75974161283601	53.24025838716399	-8.470666535576506e-05	-0.0010203380494194863	36.92435924150865	37.74744738487185
2015-10-23 09:50:00	2015-10-23 10:00:00	11.917973160185063	9.979688032262516	5.277608715370231	-3.819601158146	335.227	3.54	-1.615	3.483	-0.0047498258350161	0.0022336301462314	-0.0136989792944869	0.108634357910957	-0.0023956554073424	0.0041507627819462	0.0101626122155823	-0.01070885003358	0.0924272310714518	-0.0031234119005407	0.0445777483711253	0.0617003294869964	0.0877014058623394	0.0435824639385165	0.0137451804818102	11.182579	-11.373314	22.785435	28.251463	11.292223	-11.81526	22.722855	28.651953	2.3952222	4.576889	3.4055002	3.7034721	43.76497551828315	56.23502448171685	-0.0005759270756080983	-0.0009421456840385065	36.18085217210126	45.9214501510574	36.576726742369	63.423273257631	-0.0017021082019922302	-0.0016227838304689844	27.596624648400876	47.59870819877071
2015-10-24 11:05:00	2015-10-24 11:15:00	12.003781412928252	9.738908867582197	5.682513133857353	-4.117290746455942	324.477	0.165	-3.153	4.395	-0.0047056306188236	0.0081609989084499	0.0004928511457541	0.0880105175085437	-0.0041586497824302	0.0010259988009902	0.0154043478481572	0.0081287425971583	0.0869245103519545	-0.0040884631747196	0.0306139016801663	0.0630532691994178	0.0547662959315312	0.0159815354616482	0.0044962983531499	11.894676	-11.400606	24.597937	29.866314	11.546211	-11.187534	25.324347	30.388191	1.9432961	3.359986	4.013047	3.9609883	53.13607001458637	46.86392998541363	0.0005632931169043866	0.0005803363187978625	39.33111064805168	34.673890393832046	47.34319649927068	52.65680350072932	0.0002553708416406502	-0.00040891994629401786	36.96603459053969	41.23775786622213
