Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)	ionVx_gsm_avg(km/s)	ionVx_gsm_med(km/s)	ionVx_gsm_std(km/s)	ionVx_gsm_rms(km/s)	ionDen_avg(1/cc)	ionDen_med(1/cc)	ionDen_std(1/cc)
2018-02-03 23:05:00	2018-02-03 23:15:00	7.224131245365563	6.384996046399405	1.4357929083654335	3.058498675357926	43.194	-2.227	2.155	2.273	1.796256886066302	2.223471760749817	5.701999500175669	5.97823862862166	0.8701908	0.8779998	0.05924069
2018-02-04 09:20:00	2018-02-04 09:30:00	13.589378312017043	9.356511067786954	-9.723387710860935	1.6065716960237866	34.917	-3.322	1.03	1.465	-291.9642324806156	-294.0766906738281	16.236873309768878	292.4153708389359	8.646304	8.384799	2.4858043
2018-02-04 09:50:00	2018-02-04 10:00:00	14.121825234388693	9.88150979932685	-9.923442613250751	1.818159457647324	9.708	-2.933	0.362	2.18	-287.00358696270706	-289.4171142578125	19.548448089568872	287.6685605904314	7.2971783	7.151654	1.5383488
2018-02-04 13:20:00	2018-02-04 13:30:00	17.324267501719152	13.109667026652431	-11.068140156868797	2.4005349181512394	20.495	-4.58	0.72	1.872	-354.9630679940819	-356.85711669921875	5.229417769192121	355.00158654571663	10.607263	10.681964	0.6521664
2018-02-04 14:55:00	2018-02-04 15:05:00	18.52404032677826	14.353554388122452	-11.50741044536403	2.166627883659024	25.975	-4.855	1.453	2.997	-341.7035457904522	-342.74925231933594	7.013436100133231	341.7755133003216	11.328938	11.4341135	0.91356474
2018-02-04 19:35:00	2018-02-04 19:45:00	21.359740148730328	17.394547858048714	-12.375431006186426	0.7185181401764472	31.063	-7.593	1.932	3.158	-341.7035457904522	-342.74925231933594	7.013436100133231	341.7755133003216	11.328938	11.4341135	0.91356474
2018-02-06 12:35:00	2018-02-06 12:45:00	15.035024046357252	14.31393038202232	-0.8937660918845465	4.512643724462979	43.808	-3.853	1.973	2.072	-407.98523882965543	-407.96275329589844	2.7108548376196357	407.99424485749995	4.7596483	4.7337213	0.20975566
2018-02-06 15:40:00	2018-02-06 15:50:00	11.631927629069905	11.018525192668095	0.282377033061339	3.716617419337766	30.69	-4.208	1.382	2.39	-27.717292244273022	-27.021648406982422	7.6253709840254	28.747079364666835	15.770357	15.508647	2.4482353
2018-02-07 14:40:00	2018-02-07 14:50:00	21.104566386751205	16.542207774255065	-12.81114374444749	2.762584455316979	44.417	-2.247	1.873	1.91	-411.0169961320283	-411.3641662597656	4.638855329015961	411.04317302220124	5.7742743	5.808809	0.5801073
2018-02-07 15:20:00	2018-02-07 15:30:00	21.44781524805252	16.920335005234236	-12.930864932520452	2.550062501788481	36.01	-2.18	1.762	2.418	-411.0169961320283	-411.3641662597656	4.638855329015961	411.04317302220124	5.7742743	5.808809	0.5801073
