Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)	ionVx_gsm_avg(km/s)	ionVx_gsm_med(km/s)	ionVx_gsm_std(km/s)	ionVx_gsm_rms(km/s)	ionDen_avg(1/cc)	ionDen_med(1/cc)	ionDen_std(1/cc)
2015-09-03 00:00:00	2015-09-03 00:10:00	8.717560763884487	-2.329864231247559	8.007952794878976	-2.537208584733167	106.564	-5.7	4.35	-1.293	77.39495086669922	76.71018981933594	8.049310685560362	77.81240146770605	0.44986188	0.4377879	0.024238138
2015-09-03 00:30:00	2015-09-03 00:40:00	8.198695393165421	-2.55088764720751	7.390478015483832	-2.4676129326494007	115.474	-5.85	3.313	-1.563	77.39495086669922	76.71018981933594	8.049310685560362	77.81240146770605	0.44986188	0.4377879	0.024238138
2015-09-03 01:00:00	2015-09-03 01:10:00	7.625600399185657	-2.749039985785252	6.702139746159489	-2.381183445164849	115.653	-5.965	3.333	-1.597	77.39495086669922	76.71018981933594	8.049310685560362	77.81240146770605	0.44986188	0.4377879	0.024238138
2015-09-03 01:30:00	2015-09-03 01:40:00	6.99153715073431	-2.9163928693106573	5.936223883321616	-2.2655943946659405	132.717	-6.372	2.278	-2.073	77.39495086669922	76.71018981933594	8.049310685560362	77.81240146770605	0.44986188	0.4377879	0.024238138
2015-09-03 08:15:00	2015-09-03 08:25:00	7.551980964632205	4.664693886091682	5.316805878951739	-2.645885651797796	103.138	-4.532	3.383	-0.777	6.521135957941176	9.727698802947998	21.91030553891452	22.860155357970374	0.8943021	0.8877566	0.079307996
2015-09-03 09:05:00	2015-09-03 09:15:00	8.48798788901111	4.659062391091262	6.2319835146060205	-3.3909286564791032	105.54	-4.672	2.973	-0.815	6.521135957941176	9.727698802947998	21.91030553891452	22.860155357970374	0.8943021	0.8877566	0.079307996
2015-09-03 15:25:00	2015-09-03 15:35:00	11.9110373713919	2.4481905562753146	10.41585367494466	-5.233254414925489	104.813	-1.303	6.158	-1.642	-160.34531789076956	-193.013427734375	87.70632669532479	182.76493293812953	17.316616	21.670206	12.224564
2015-09-03 16:20:00	2015-09-03 16:30:00	11.986395048680116	1.9718141586935365	10.7432536270146	-4.936167521957189	67.014	-0.125	6.607	2.823	-219.21966427475658	-216.79113006591797	17.464372414662137	219.91422307021205	37.313725	37.2566	4.447548
2015-09-03 16:50:00	2015-09-03 17:00:00	11.987356655569563	1.7036227407550983	10.87780637107551	-4.7397601291716045	72.993	2.4	6.92	2.138	-220.67859239720588	-222.59281158447266	20.121114643317622	221.5939990092278	34.52617	34.975	5.093133
2015-09-03 17:45:00	2015-09-03 17:55:00	11.91554023888235	1.199694487717024	11.030413834777477	-4.343786893812937	89.431	-2.748	6.66	0.053	2.379982585521569	12.521096229553223	60.78304087947783	60.829617586038296	1.6940256	1.3892083	1.1020554
