Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)	ionVx_gsm_avg(km/s)	ionVx_gsm_med(km/s)	ionVx_gsm_std(km/s)	ionVx_gsm_rms(km/s)	ionDen_avg(1/cc)	ionDen_med(1/cc)	ionDen_std(1/cc)
2018-02-23 15:05:00	2018-02-23 15:15:00	9.19706381591746	8.794603477279239	-1.2472655636516088	2.3839829902387657	208.717	4.348	-1.585	-2.873	5.382923309404151	1.9732630252838135	13.536568925164126	14.56758599153084	1.2602909	1.2369807	0.17631745
2018-02-24 06:15:00	2018-02-24 06:25:00	17.055139025615308	8.609308691442223	-14.7179775582807	-0.3680035561555541	167.386	5.388	0.345	-1.64	-446.73689258546756	-447.7031555175781	8.76620081850516	446.8228927368314	5.2086787	5.060722	0.5866486
2018-02-24 09:25:00	2018-02-24 09:35:00	19.37664597505885	10.754764872759468	-16.03872735483652	1.5960967596287876	187.144	5.218	-0.172	-1.375	-460.8617886421376	-460.9771423339844	6.659086515178095	460.9098953848213	4.729494	4.6876717	0.906437
2018-02-25 14:50:00	2018-02-25 15:00:00	23.80352503401116	18.654458886545527	-14.459697960863933	3.087879867883684	219.097	-3.333	-2.202	-2.693	-413.1264092581613	-413.76141357421875	4.32823891799575	413.1490816626282	7.8450704	7.8124685	0.9633131
2018-02-25 17:35:00	2018-02-25 17:45:00	22.876267414136024	18.33169350351751	-13.585829867759918	1.6421322765055395	210.175	-2.273	-2.035	-3.51	-413.1264092581613	-413.76141357421875	4.32823891799575	413.1490816626282	7.8450704	7.8124685	0.9633131
2018-02-26 21:40:00	2018-02-26 21:50:00	12.98622836406627	4.633922899023264	-11.61944694791851	-3.486574947003144	215.544	0.997	-1.635	-2.303	28.349439714187966	26.789043426513672	54.98718491228844	61.86502434079032	0.67675096	0.6095927	0.16532034
2018-02-27 00:10:00	2018-02-27 00:20:00	15.553883354745984	6.671366423309699	-13.543389451223447	-3.7405310413812174	218.164	3.247	-3.565	-4.528	-379.31521698227505	-386.4129943847656	21.029658490379358	379.89772356587287	10.333236	10.375298	1.8296378
2018-02-27 01:40:00	2018-02-27 01:50:00	16.873771217082872	7.782198927923339	-14.590555661997756	-3.357861608915734	224.731	6.237	-5.312	-5.33	-403.8396780831473	-404.1074523925781	5.910517958971281	403.88292835528887	10.689419	10.573152	0.942461
2018-02-27 03:25:00	2018-02-27 03:35:00	18.24232509126493	8.984415363525848	-15.69456344544479	-2.3958548218159628	144.026	-0.667	4.802	-6.598	-429.93300267269734	-430.01214599609375	1.3661508642638251	429.93517320096703	9.663219	9.527397	0.67321455
2018-02-27 04:35:00	2018-02-27 04:45:00	19.064104447648187	9.734068624126389	-16.321207185145834	-1.5173512664876816	202.218	1.747	-2.453	-6.057	-445.3667907714844	-445.62696838378906	3.1442409192795893	445.37788963199506	9.786315	9.574612	0.92726797
2018-02-28 13:10:00	2018-02-28 13:20:00	22.89028983780503	17.773765819660905	-13.97769586203082	3.561193150606037	200.21	3.823	-0.535	-1.638	-433.02745789366884	-436.7668762207031	13.754160711129643	433.24583809509437	4.658166	4.652463	0.39705667
2018-02-28 13:55:00	2018-02-28 14:05:00	22.59461567021283	17.66469581761323	-13.699449060263907	3.286264051564024	156.319	3.58	0.92	-2.06	-433.02745789366884	-436.7668762207031	13.754160711129643	433.24583809509437	4.658166	4.652463	0.39705667
2018-03-01 05:50:00	2018-03-01 06:00:00	9.96126064559303	9.370251513906618	-2.6592819287061986	2.08574760750436	205.637	-0.135	-1.635	-3.375	0.43307808052776453	0.5253718495368958	6.663301275395192	6.67736029509542	0.57623225	0.576439	0.023857383
2018-03-01 16:15:00	2018-03-01 16:25:00	11.717710150333271	3.1404849590361064	-11.199583649135135	-1.4175724832842576	143.105	2.305	1.95	-2.583	14.024592131987882	11.314924716949463	37.52583173636246	40.06091901060689	0.6814698	0.6819985	0.035358183
2018-03-01 17:05:00	2018-03-01 17:15:00	12.718736774876833	3.850287742475172	-11.984146457368352	-1.8220664523379	144.928	2.405	1.582	-2.288	-22.149656782472942	-41.56922912597656	84.48007357781894	87.33550324636055	2.49613	1.120207	2.990412
2018-03-01 18:00:00	2018-03-01 18:10:00	13.73920878453644	4.6001263959301655	-12.737879648786262	-2.3128652249338284	169.391	0.082	0.693	-3.705	-179.93259839869256	-180.75628662109375	8.74208830050403	180.14484193103888	17.643791	17.443817	1.4874156
2018-03-01 18:30:00	2018-03-01 18:40:00	14.264086411126415	4.99606746036617	-13.107450106952676	-2.5877670152254484	171.163	-0.868	0.557	-3.582	-194.51824461524166	-195.11296844482422	9.943770223231613	194.77224148848165	22.958231	23.127213	1.2067559
2018-03-01 19:25:00	2018-03-01 19:35:00	15.173982848544751	5.699131591235407	-13.721848848127534	-3.078810862887567	173.413	-0.512	0.433	-3.762	-192.83353877246827	-193.39718627929688	5.1578764689292695	192.90250741030235	24.882107	24.86246	1.3859582
2018-03-01 20:40:00	2018-03-01 20:50:00	16.316443348030578	6.612709676633579	-14.460136772077902	-3.660850982065734	185.692	-0.978	-0.355	-3.52	-200.27491014523613	-199.66017150878906	7.285228965014083	200.40737060985327	25.736294	25.699327	0.8875233
2018-03-01 22:45:00	2018-03-01 22:55:00	18.002392595302393	8.028345345370012	-15.55797699360749	-4.19291988082374	189.506	1.517	-0.377	-2.16	-363.33222096001924	-364.3023223876953	3.6671101891968765	363.3507265506427	6.184252	6.239491	0.3939782
