Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	gseIMFBx_avg(nT)	gseIMFBy_avg(nT)	gseIMFBz_avg(nT)	Shock_Ang(deg)
2015-11-16 13:45:00	2015-11-16 13:55:00	10.360259597016611	8.985264744737854	4.422693084083835	-2.6528641528000545	150.567	-2.543	5.322	-4.378	63.32
2015-11-16 14:15:00	2015-11-16 14:25:00	10.014685218333486	8.525290003141636	4.570565784150272	-2.592490489303445	150.549	-3.177	4.995	-4.275	57.806
2015-11-18 08:15:00	2015-11-18 08:25:00	12.015553669293793	11.697467476933008	2.072748013824906	-1.8014448486996584	200.169	1.825	0.208	-5.992	71.604
2015-11-18 15:45:00	2015-11-18 15:55:00	8.507285864714804	6.765441308563763	4.691339043285628	-2.142642685064276	219.103	5.885	-1.708	-3.937	31.368
2015-11-26 15:35:00	2015-11-26 15:45:00	7.725007104570271	6.403017754545832	3.974652910903872	-1.6957446389684094	157.459	-0.65	2.8	-3.795	85.703
2015-11-26 16:15:00	2015-11-26 16:25:00	6.873736873262419	5.365432955882604	4.025041208360943	-1.5016153903704634	148.846	0.023	3.67	-3.95	85.752
2015-11-27 01:35:00	2015-11-27 01:45:00	10.11899079588592	9.87814001303358	-2.144955467713064	-0.4622633746700413	135.167	-2.9	5.565	-5.113	73.513
2015-11-27 03:00:00	2015-11-27 03:10:00	10.975861127341108	10.8634887115867	-1.4714079952559402	-0.5363255956985501	167.714	0.378	2.473	-7.532	85.265
2015-11-27 03:30:00	2015-11-27 03:40:00	11.2127513212747	11.130572085358034	-1.2274448421113662	-0.5728595357767672	160.346	0.977	3.57	-7.003	80.096
2015-11-27 04:00:00	2015-11-27 04:10:00	11.41762302568208	11.35840417479543	-0.9826196296703112	-0.6180041445288172	154.138	0.69	4.382	-6.37	81.489
2015-11-27 04:30:00	2015-11-27 04:40:00	11.591484091109765	11.548311464452658	-0.7381173677762694	-0.6730091794898013	164.761	1.122	3.28	-6.937	79.167
2015-11-27 05:00:00	2015-11-27 05:10:00	11.735153498753156	11.701378790971011	-0.4949141689232086	-0.7385201095334221	171.018	0.778	2.543	-6.86	81.885
2015-11-27 05:30:00	2015-11-27 05:40:00	11.849284288178382	11.81847988507947	-0.2537566714841843	-0.8145498182934231	168.446	-1.037	2.633	-5.867	83.091
2015-11-28 23:30:00	2015-11-28 23:40:00	8.504839734991402	7.879169951762844	-3.174241943025103	-0.4152828313325743	221.947	10.465	-1.697	-1.847	18.597
