Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	gseIMFBx_avg(nT)	gseIMFBy_avg(nT)	gseIMFBz_avg(nT)	Shock_Ang(deg)
2020-04-21 06:40:00	2020-04-21 06:50:00	15.942763559857916	9.620965245647122	-10.822683772368308	-6.669160220202483	302.965	5.483	-6.007	6.847	63.027
2020-04-21 08:30:00	2020-04-21 08:40:00	14.10446565753905	8.990331195378294	-9.177055439144857	-5.821570605245242	284.54	3.572	-8.695	4.365	75.087
2020-04-21 09:05:00	2020-04-21 09:15:00	13.470735636644203	8.74866077325037	-8.563985844870418	-5.619487693441897	309.028	3.842	-5.517	6.893	70.461
2020-04-21 09:55:00	2020-04-21 10:05:00	12.518746487569375	8.361421746852644	-7.608430960405407	-5.377327815456841	271.285	2.38	-9.863	2.113	82.065
2020-04-21 10:25:00	2020-04-21 10:35:00	11.918780828384849	8.101910913673727	-6.988565281726976	-5.251104057024218	254.632	1.142	-10.072	-0.752	89.306
2020-04-27 21:40:00	2020-04-27 21:50:00	22.50358577680463	8.51761114011976	-17.4662137632589	-11.348639331051226	302.748	2.308	-2.35	4.193	66.303
2020-04-27 22:10:00	2020-04-27 22:20:00	22.219079207069687	8.532884893876878	-17.085624090848682	-11.355960020713118	277.545	2.982	-3.977	2.898	61.784
2020-04-27 22:40:00	2020-04-27 22:50:00	21.926232374528592	8.544503298692213	-16.729942591948106	-11.307497230217985	270.871	2.657	-4.555	2.575	66.273
2020-04-27 23:30:00	2020-04-27 23:40:00	21.419066953536404	8.555312741138188	-16.18959289770844	-11.1121438532632	233.351	2.667	-4.915	-0.733	65.413
2020-05-02 12:40:00	2020-05-02 12:50:00	13.55857060026316	-4.643361471583834	-11.880194605108583	4.596925648525114	280.203	5.653	-4.043	1.463	37.231
2020-05-02 13:10:00	2020-05-02 13:20:00	14.09975457382951	-4.613463949741193	-12.557020065854948	4.453832605680945	299.578	4.343	-3.812	3.092	48.134
2020-05-02 13:40:00	2020-05-02 13:50:00	14.622756605066987	-4.575757764102572	-13.22077495382602	4.253759509924692	286.447	4.203	-4.642	2.343	50.932
2020-05-02 14:10:00	2020-05-02 14:20:00	15.128624612333622	-4.531143081680764	-13.869769671933389	3.9961148586990713	295.569	2.988	-4.107	3.04	59.721
2020-05-02 14:40:00	2020-05-02 14:50:00	15.618291363713215	-4.480382099742342	-14.501594295764242	3.6818302605307296	303.964	2.903	-3.362	3.475	58.815
