Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2015-10-11/20:00:00	2015-10-11/20:10:00	210.505	-2.977	-2.222	-3.768
2015-10-12/06:30:00	2015-10-12/06:40:00	149.246	-1.378	2.85	-4.815
2015-10-12/09:45:00	2015-10-12/09:55:00	145.355	-2.643	3.395	-4.958
2015-10-13/14:15:00	2015-10-13/14:25:00	146.612	-5.505	1.753	-2.722
2015-10-13/14:45:00	2015-10-13/14:55:00	152.952	-5.708	1.567	-3.173
2015-10-13/15:15:00	2015-10-13/15:25:00	165.917	-5.518	1.027	-4.19
2015-10-13/16:20:00	2015-10-13/16:30:00	150.358	-6.648	0.918	-1.847
2015-10-13/20:35:00	2015-10-13/20:45:00	150.814	-3.613	2.258	-4.055
2015-10-14/11:10:00	2015-10-14/11:20:00	167.711	-4.192	0.952	-4.333
2015-10-14/16:30:00	2015-10-14/16:40:00	179.259	-4.518	0.097	-2.855
2015-10-14/17:00:00	2015-10-14/17:10:00	179.389	-3.392	0.072	-3.6
2015-10-14/17:35:00	2015-10-14/17:45:00	139.904	-2.695	2.343	-2.943
2015-10-14/18:10:00	2015-10-14/18:20:00	135.414	-3.977	1.623	-1.603
2015-10-16/03:35:00	2015-10-16/03:45:00	172.993	5.023	0.485	-3.985
2015-10-16/04:15:00	2015-10-16/04:25:00	189.726	4.643	-0.692	-4.067
2015-10-16/05:05:00	2015-10-16/05:15:00	215.939	4.552	-2.168	-2.938
2015-10-17/03:50:00	2015-10-17/04:00:00	199.225	-0.762	-1.233	-3.578
2015-10-17/04:40:00	2015-10-17/04:50:00	196.477	0.917	-1.097	-3.705
2015-10-17/13:10:00	2015-10-17/13:20:00	195.23	3.38	-1.56	-5.64
2015-10-17/13:45:00	2015-10-17/13:55:00	177.58	2.295	0.283	-6.228
2015-10-18/18:00:00	2015-10-18/18:10:00	192.246	-4.09	-0.273	-1.318
2015-10-18/18:30:00	2015-10-18/18:40:00	205.067	-4.028	-0.445	-0.95
2015-10-19/15:35:00	2015-10-19/15:45:00	214.232	-3.025	-1.468	-2.035
2015-10-20/05:30:00	2015-10-20/05:40:00	145.9	0.303	2.425	-3.552
2015-10-20/06:00:00	2015-10-20/06:10:00	157.098	-0.857	1.793	-4.233
2015-10-20/06:30:00	2015-10-20/06:40:00	190.488	-0.792	-0.758	-4.137
2015-10-20/12:25:00	2015-10-20/12:35:00	142.026	-3.758	2.753	-3.527
2015-10-20/12:55:00	2015-10-20/13:05:00	140.493	-4.715	2.463	-2.978
2015-10-20/16:55:00	2015-10-20/17:05:00	149.57	-0.298	2.84	-4.837
2015-10-22/14:55:00	2015-10-22/15:05:00	184.304	3.293	-0.305	-4.007
2015-10-24/05:35:00	2015-10-24/05:45:00	223.593	3.522	-2.897	-3.073
2015-10-27/17:10:00	2015-10-27/17:20:00	138.754	-3.537	0.988	-1.13
2015-10-27/18:10:00	2015-10-27/18:20:00	139.214	-3.637	1.177	-1.352
2015-10-27/18:40:00	2015-10-27/18:50:00	137.46	-3.34	1.28	-1.397
2015-10-27/19:10:00	2015-10-27/19:20:00	163.946	-3.633	0.502	-1.733
2015-10-29/08:15:00	2015-10-29/08:25:00	155.696	-0.842	2.355	-5.272
2015-10-29/09:10:00	2015-10-29/09:20:00	138.459	-3.218	3.132	-3.555
2015-11-01/05:20:00	2015-11-01/05:30:00	152.755	0.358	2.768	-5.277
2015-11-01/09:00:00	2015-11-01/09:10:00	191.063	-1.02	-1.04	-5.298
2015-11-01/09:35:00	2015-11-01/09:45:00	165.891	-2.267	1.422	-5.62
2015-11-01/10:05:00	2015-11-01/10:15:00	162.141	-1.308	1.698	-5.452
2015-11-01/11:55:00	2015-11-01/12:05:00	142.111	-2.625	3.07	-4.04
2015-11-01/12:50:00	2015-11-01/13:00:00	173.744	-2.043	0.622	-5.453
2015-11-01/13:20:00	2015-11-01/13:30:00	162.231	-1.0	1.677	-5.222
2015-11-01/13:50:00	2015-11-01/14:00:00	166.683	-0.942	1.132	-4.775
