Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2016-09-01/01:10:00	2016-09-01/01:20:00	143.253	-1.872	3.335	-4.408
2016-09-01/04:50:00	2016-09-01/05:00:00	144.672	-2.09	4.83	-6.798
2016-09-01/06:00:00	2016-09-01/06:10:00	140.358	1.728	5.458	-6.65
2016-09-01/06:45:00	2016-09-01/06:55:00	176.24	3.153	0.522	-7.713
2016-09-01/20:00:00	2016-09-01/20:10:00	167.962	1.19	1.295	-6.375
2016-09-05/18:55:00	2016-09-05/19:05:00	150.629	0.607	2.605	-4.608
2016-09-06/02:55:00	2016-09-06/03:05:00	153.677	0.218	1.602	-3.28
2016-09-06/06:10:00	2016-09-06/06:20:00	171.294	3.382	0.673	-4.33
2016-09-06/22:45:00	2016-09-06/22:55:00	148.063	2.76	1.768	-2.752
2016-09-08/04:20:00	2016-09-08/04:30:00	210.44	3.53	-2.322	-4.03
2016-09-08/06:30:00	2016-09-08/06:40:00	139.732	-1.797	2.713	-3.127
2016-09-08/14:55:00	2016-09-08/15:05:00	206.51	-0.557	-1.963	-3.928
2016-09-14/04:35:00	2016-09-14/04:45:00	214.545	-0.675	-2.748	-3.997
2016-09-14/05:35:00	2016-09-14/05:45:00	221.66	-0.41	-2.857	-3.21
2016-09-14/13:00:00	2016-09-14/13:10:00	200.915	-1.42	-2.153	-5.65
2016-09-14/15:25:00	2016-09-14/15:35:00	169.606	-4.955	0.787	-4.613
2016-09-14/15:55:00	2016-09-14/16:05:00	166.397	-5.805	0.753	-3.02
2016-09-14/16:25:00	2016-09-14/16:35:00	165.088	-5.783	0.727	-2.617
2016-09-14/16:55:00	2016-09-14/17:05:00	175.14	-4.98	0.353	-4.727
2016-09-14/18:15:00	2016-09-14/18:25:00	173.891	-4.96	0.448	-4.213
2016-09-18/15:30:00	2016-09-18/15:40:00	153.513	-0.665	2.312	-4.638
2016-09-18/16:45:00	2016-09-18/16:55:00	157.472	2.535	1.64	-4.0
2016-09-25/00:25:00	2016-09-25/00:35:00	219.707	0.472	-4.178	-5.063
2016-09-25/00:55:00	2016-09-25/01:05:00	222.296	0.392	-4.663	-5.14
2016-09-25/01:40:00	2016-09-25/01:50:00	188.926	0.872	-1.028	-6.737
2016-09-25/02:20:00	2016-09-25/02:30:00	211.787	1.085	-3.112	-4.997
2016-09-25/02:50:00	2016-09-25/03:00:00	194.627	1.185	-1.48	-5.72
