Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)
2016-05-02 15:00:00	2016-05-02 15:10:00	11.749493720729793	-8.329351154849496	-7.7968484353031675	-2.8071392674990645	163.516	5.032	1.268	-4.595
2016-05-02 15:30:00	2016-05-02 15:40:00	11.614832999829922	-8.039220898398307	-7.843650724061436	-2.9581544659227355	174.071	2.092	0.708	-6.83
2016-05-02 16:10:00	2016-05-02 16:20:00	11.388512310426728	-7.612593279967399	-7.857565153121951	-3.162821855944156	184.168	3.462	-0.447	-6.063
2016-05-02 16:40:00	2016-05-02 16:50:00	11.182661882818818	-7.262644802369345	-7.831970206952993	-3.311226017665405	161.563	3.912	1.903	-5.773
2016-05-04 13:15:00	2016-05-04 13:25:00	11.982078373373673	-9.29339669803187	-7.22387158538409	-2.23993826780332	218.817	2.355	-1.06	-1.292
2016-05-04 13:45:00	2016-05-04 13:55:00	11.935282894728324	-9.087070594763857	-7.3751878027660025	-2.341225223290953	210.303	1.837	-1.123	-2.003
2016-05-04 14:15:00	2016-05-04 14:25:00	11.859906052120328	-8.854168349180526	-7.497629333998912	-2.458689223777306	207.191	2.3	-0.887	-1.772
2016-05-04 14:45:00	2016-05-04 14:55:00	11.75562400825755	-8.594858904655018	-7.590419001738397	-2.58979991688769	218.594	2.77	-0.883	-1.117
2016-05-05 10:05:00	2016-05-05 10:15:00	11.65268915590756	-10.043817710320852	-5.579685345511677	-1.9422773614344406	212.532	1.407	-3.077	-4.827
2016-05-08 17:55:00	2016-05-08 18:05:00	10.07881837772621	-6.42092004823646	-7.137301351037068	-3.067759895608708	221.954	1.513	-5.26	-5.863
2016-05-09 09:20:00	2016-05-09 09:30:00	11.567577023209395	-10.371070629379975	-4.79857025021357	-1.7949326327168516	224.146	1.09	-3.563	-3.593
2016-05-09 17:25:00	2016-05-09 17:35:00	10.34470861809772	-6.897610290905582	-7.1486064288149445	-2.8864035303739737	223.469	4.285	-2.022	-1.957
2016-05-09 18:35:00	2016-05-09 18:45:00	9.475731295792203	-5.760716317204527	-6.876709416307025	-3.0515870589359326	214.3	4.067	-2.013	-3.163
