Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2018-09-01/11:00:00	2018-09-01/11:10:00	347.126	-0.865	-0.713	3.02
2018-09-03/10:35:00	2018-09-03/10:45:00	350.88	-2.507	-0.315	1.898
2018-09-08/20:05:00	2018-09-08/20:15:00	343.858	4.67	-0.682	2.385
2018-09-09/12:20:00	2018-09-09/12:30:00	337.09	-1.563	-2.427	5.745
2018-09-09/18:00:00	2018-09-09/18:10:00	355.995	0.397	-0.342	4.845
2018-09-09/18:30:00	2018-09-09/18:40:00	355.304	0.222	-0.388	4.72
2018-09-18/00:15:00	2018-09-18/00:25:00	344.254	2.562	-0.898	2.88
2018-09-19/18:00:00	2018-09-19/18:10:00	330.605	-1.188	-0.945	1.735
2018-09-19/18:55:00	2018-09-19/19:05:00	327.587	-2.332	-1.275	2.055
2018-09-19/19:25:00	2018-09-19/19:35:00	325.89	-2.65	-1.3	1.91
2018-09-20/00:30:00	2018-09-20/00:40:00	319.926	1.5	-2.138	2.513
2018-09-20/14:15:00	2018-09-20/14:25:00	325.064	1.807	-2.185	3.123
2018-09-20/15:35:00	2018-09-20/15:45:00	330.338	1.532	-1.612	2.812
2018-09-20/16:05:00	2018-09-20/16:15:00	348.399	1.292	-0.588	2.865
2018-09-20/16:35:00	2018-09-20/16:45:00	327.866	0.327	-1.522	2.42
2018-09-20/17:05:00	2018-09-20/17:15:00	332.7	1.438	-0.81	1.518
2018-09-30/22:15:00	2018-09-30/22:25:00	316.901	-3.702	-1.378	1.403
2018-09-30/22:45:00	2018-09-30/22:55:00	321.826	-3.873	-1.028	1.22
2018-09-30/23:15:00	2018-09-30/23:25:00	323.392	-4.257	-0.827	1.03
2018-10-04/01:50:00	2018-10-04/02:00:00	316.472	5.368	-1.775	1.923
2018-10-04/10:05:00	2018-10-04/10:15:00	315.393	1.728	-3.927	3.978
2018-10-04/15:55:00	2018-10-04/16:05:00	319.591	2.598	-2.043	2.42
2018-10-04/16:25:00	2018-10-04/16:35:00	318.559	2.59	-2.198	2.49
2018-10-14/19:35:00	2018-10-14/19:45:00	320.002	2.31	-3.9	4.692
2018-10-15/08:30:00	2018-10-15/08:40:00	328.775	3.71	-0.51	0.798
2018-10-17/09:55:00	2018-10-17/10:05:00	320.767	0.91	-2.327	2.872
2018-10-17/10:30:00	2018-10-17/10:40:00	348.885	0.71	-0.87	4.443
2018-10-17/14:35:00	2018-10-17/14:45:00	337.026	-2.372	-0.558	1.315
2018-10-17/15:15:00	2018-10-17/15:25:00	330.979	-2.547	-0.743	1.333
2018-10-17/17:50:00	2018-10-17/18:00:00	317.686	-0.822	-1.833	2.002
2018-10-17/21:05:00	2018-10-17/21:15:00	341.414	2.568	-0.775	2.267
2018-10-17/22:25:00	2018-10-17/22:35:00	339.835	2.705	-0.428	1.138
2018-10-17/23:15:00	2018-10-17/23:25:00	315.243	2.317	-1.032	1.02
2018-10-19/03:30:00	2018-10-19/03:40:00	338.93	1.95	-0.757	1.92
2018-10-19/04:25:00	2018-10-19/04:35:00	329.776	2.168	-0.922	1.578
2018-10-19/04:55:00	2018-10-19/05:05:00	330.232	2.058	-1.073	1.908
2018-10-19/05:25:00	2018-10-19/05:35:00	322.08	2.247	-1.403	1.802
2018-10-20/19:30:00	2018-10-20/19:40:00	326.221	2.223	-1.745	2.575
2018-10-20/20:30:00	2018-10-20/20:40:00	321.269	1.685	-2.33	2.902
2018-10-20/21:00:00	2018-10-20/21:10:00	340.021	1.792	-1.218	3.377
2018-10-26/06:35:00	2018-10-26/06:45:00	329.343	-0.6	-1.952	3.293
2018-10-26/07:25:00	2018-10-26/07:35:00	323.094	0.793	-3.71	4.942
2018-10-26/07:55:00	2018-10-26/08:05:00	326.974	1.615	-3.45	5.355
2018-10-26/10:45:00	2018-10-26/10:55:00	332.406	3.703	-2.63	5.058
2018-10-27/20:20:00	2018-10-27/20:30:00	347.456	0.352	-0.572	2.567
