Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2015-11-20/12:40:00	2015-11-20/12:50:00	317.554	-0.577	-4.14	4.527
2015-11-20/13:45:00	2015-11-20/13:55:00	343.051	-0.16	-1.795	5.95
2015-11-20/14:15:00	2015-11-20/14:25:00	332.973	0.388	-2.717	5.322
2015-11-20/14:45:00	2015-11-20/14:55:00	326.249	1.762	-3.285	4.91
2015-11-20/15:15:00	2015-11-20/15:25:00	319.476	1.778	-3.945	4.605
2015-11-20/16:00:00	2015-11-20/16:10:00	315.408	2.407	-4.265	4.345
2015-11-20/16:30:00	2015-11-20/16:40:00	332.207	-0.102	-3.112	5.91
2015-11-21/10:10:00	2015-11-21/10:20:00	319.952	-3.757	-2.307	2.748
2015-11-21/14:15:00	2015-11-21/14:25:00	318.412	-0.168	-3.173	3.595
2015-11-22/11:40:00	2015-11-22/11:50:00	333.129	0.46	-1.617	3.168
2015-11-22/23:30:00	2015-11-22/23:40:00	319.54	1.932	-2.507	2.962
2015-11-23/01:15:00	2015-11-23/01:25:00	330.634	3.047	-1.453	2.605
2015-11-23/15:35:00	2015-11-23/15:45:00	315.523	2.983	-1.157	1.147
2015-11-24/00:00:00	2015-11-24/00:10:00	323.878	3.485	-0.737	0.978
2015-11-24/01:15:00	2015-11-24/01:25:00	345.64	3.09	-0.5	1.953
2015-11-24/01:45:00	2015-11-24/01:55:00	340.939	3.097	-0.623	1.788
2015-11-25/10:10:00	2015-11-25/10:20:00	324.197	0.642	-2.013	2.788
2015-11-25/11:50:00	2015-11-25/12:00:00	316.767	0.297	-2.618	2.787
2015-11-25/12:45:00	2015-11-25/12:55:00	334.989	-0.74	-1.648	3.53
2015-11-25/13:15:00	2015-11-25/13:25:00	333.835	-0.67	-1.635	3.323
2015-11-25/22:55:00	2015-11-25/23:05:00	333.579	-1.702	-1.197	2.3
2015-11-25/23:50:00	2015-11-26/00:00:00	325.624	-1.597	-1.75	2.557
2015-11-26/06:40:00	2015-11-26/06:50:00	330.425	-1.883	-1.377	2.398
2015-12-15/03:50:00	2015-12-15/04:00:00	319.389	6.203	-2.882	3.483
2015-12-17/04:40:00	2015-12-17/04:50:00	326.373	-0.233	-3.065	4.588
2015-12-17/06:35:00	2015-12-17/06:45:00	327.429	-0.518	-2.568	4.027
2015-12-23/02:40:00	2015-12-23/02:50:00	322.559	3.66	-2.775	3.642
2015-12-26/09:05:00	2015-12-26/09:15:00	336.629	5.542	-1.33	3.073
2015-12-27/02:35:00	2015-12-27/02:45:00	323.018	6.928	-1.958	2.598
2016-01-04/20:50:00	2016-01-04/21:00:00	331.815	-4.735	-1.04	1.855
2016-01-13/18:50:00	2016-01-13/19:00:00	328.739	4.592	-1.073	1.717
2016-01-15/04:30:00	2016-01-15/04:40:00	331.559	3.517	-0.672	1.23
2016-01-16/20:15:00	2016-01-16/20:25:00	318.296	-3.16	-3.15	3.522
2016-01-17/20:15:00	2016-01-17/20:25:00	321.7	-2.87	-1.242	1.59
2016-01-17/22:00:00	2016-01-17/22:10:00	318.838	-3.053	-1.237	1.452
2016-01-17/23:00:00	2016-01-17/23:10:00	324.935	-3.312	-1.13	1.588
2016-01-18/07:15:00	2016-01-18/07:25:00	333.146	-1.307	-2.05	3.992
2016-01-18/07:50:00	2016-01-18/08:00:00	344.025	-2.085	-1.198	4.132
2016-01-18/08:20:00	2016-01-18/08:30:00	341.39	-1.513	-1.408	4.155
2016-01-18/09:00:00	2016-01-18/09:10:00	338.914	-0.74	-1.65	4.198
2016-01-22/09:45:00	2016-01-22/09:55:00	336.376	3.853	-1.817	3.992
2016-01-26/01:35:00	2016-01-26/01:45:00	337.279	4.713	-0.865	2.06
2016-01-27/04:55:00	2016-01-27/05:05:00	353.136	4.717	-0.697	5.803
2016-01-27/06:10:00	2016-01-27/06:20:00	341.721	4.252	-1.76	5.333
2016-02-02/18:35:00	2016-02-02/18:45:00	318.025	6.828	-3.973	4.417
2016-02-09/05:10:00	2016-02-09/05:20:00	315.356	-0.928	-6.068	6.242
2016-02-09/05:40:00	2016-02-09/05:50:00	316.962	-0.67	-5.933	6.455
2016-02-14/02:10:00	2016-02-14/02:20:00	317.831	-0.902	-2.542	2.787
2016-02-18/21:15:00	2016-02-18/21:25:00	328.276	4.03	-1.408	2.3
2016-02-23/03:30:00	2016-02-23/03:40:00	341.122	4.433	-0.485	1.398
2016-03-06/02:40:00	2016-03-06/02:50:00	355.229	-3.403	-0.548	6.563
2016-03-06/03:10:00	2016-03-06/03:20:00	346.014	-2.902	-1.667	6.627
2016-03-06/03:40:00	2016-03-06/03:50:00	341.876	-1.7	-2.315	7.073
2016-03-06/04:30:00	2016-03-06/04:40:00	340.4	-3.612	-2.747	7.743
2016-03-13/02:35:00	2016-03-13/02:45:00	342.58	-4.202	-0.457	1.295
2016-03-13/16:30:00	2016-03-13/16:40:00	320.872	-2.623	-2.088	2.518
2016-03-13/19:05:00	2016-03-13/19:15:00	340.858	-3.378	-0.9	2.625
2016-03-13/19:35:00	2016-03-13/19:45:00	345.893	-3.315	-0.743	2.957
2016-03-13/20:05:00	2016-03-13/20:15:00	350.328	-3.392	-0.48	2.815
2016-03-24/18:45:00	2016-03-24/18:55:00	333.588	-6.093	-1.628	2.982
2016-03-28/14:00:00	2016-03-28/14:10:00	333.081	-5.823	-2.105	4.075
2016-04-01/21:00:00	2016-04-01/21:10:00	334.16	-4.81	-0.852	1.687
2016-04-02/08:40:00	2016-04-02/08:50:00	318.501	-4.12	-1.038	1.172
2016-04-03/08:20:00	2016-04-03/08:30:00	320.68	2.59	-3.082	3.743
2016-04-07/09:30:00	2016-04-07/09:40:00	319.506	5.055	-3.08	3.632
2016-04-10/22:40:00	2016-04-10/22:50:00	354.604	-2.597	-0.587	6.23
2016-04-19/11:00:00	2016-04-19/11:10:00	347.112	-1.508	-0.85	3.695
2016-04-21/21:45:00	2016-04-21/21:55:00	321.45	0.345	-3.205	3.992
2016-04-22/06:35:00	2016-04-22/06:45:00	352.985	-5.147	-0.313	2.472
2016-04-28/20:05:00	2016-04-28/20:15:00	344.187	-2.775	-0.452	1.675
2016-04-29/19:50:00	2016-04-29/20:00:00	347.403	0.798	-1.047	4.7
2016-05-04/08:10:00	2016-05-04/08:20:00	326.801	1.98	-1.553	2.325
2016-05-04/08:40:00	2016-05-04/08:50:00	333.371	0.853	-1.455	2.778
2016-05-05/11:35:00	2016-05-05/11:45:00	334.078	-1.048	-2.89	5.953
2016-05-05/12:05:00	2016-05-05/12:15:00	318.529	-1.427	-4.195	4.747
2016-05-07/17:55:00	2016-05-07/18:05:00	330.354	-2.445	-2.218	3.857
2016-05-08/19:45:00	2016-05-08/19:55:00	318.742	5.12	-2.868	3.385
2016-05-09/12:25:00	2016-05-09/12:35:00	321.984	3.393	-2.748	3.53
2016-05-10/15:55:00	2016-05-10/16:05:00	319.846	1.895	-2.865	3.438
2016-05-11/06:10:00	2016-05-11/06:20:00	317.766	2.658	-1.322	1.483
2016-05-24/18:50:00	2016-05-24/19:00:00	330.361	-2.085	-1.33	2.4
2015-09-10/20:15:00	2015-09-10/20:25:00	11.144	-1.937	1.69	8.555
2015-09-16/19:10:00	2015-09-16/19:20:00	20.421	-4.408	1.08	2.792
2015-09-17/15:55:00	2015-09-17/16:05:00	41.99	-4.827	1.857	2.072
2015-09-21/08:15:00	2015-09-21/08:25:00	39.758	-4.25	3.952	4.71
2015-09-21/10:55:00	2015-09-21/11:05:00	16.008	0.538	1.673	5.842
