Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2015-09-01/00:25:00	2015-09-01/00:35:00	270.271	3.502
2015-09-01/08:55:00	2015-09-01/09:05:00	284.483	1.962
2015-09-01/10:50:00	2015-09-01/11:00:00	260.121	3.143
2015-09-01/12:45:00	2015-09-01/12:55:00	299.448	3.513
2015-09-01/19:30:00	2015-09-01/19:40:00	251.441	3.822
2015-09-01/20:00:00	2015-09-01/20:10:00	265.987	3.642
2015-09-02/13:45:00	2015-09-02/13:55:00	289.894	3.627
2015-09-03/21:25:00	2015-09-03/21:35:00	309.224	0.765
2015-09-07/10:10:00	2015-09-07/10:20:00	302.859	-2.713
2015-09-10/00:40:00	2015-09-10/00:50:00	270.522	-5.772
2015-09-10/09:25:00	2015-09-10/09:35:00	301.832	2.05
2015-09-10/09:55:00	2015-09-10/10:05:00	298.924	1.463
2015-09-10/13:15:00	2015-09-10/13:25:00	266.773	-7.77
2015-09-10/14:20:00	2015-09-10/14:30:00	257.378	-4.545
2015-09-12/14:25:00	2015-09-12/14:35:00	290.949	-3.135
2015-09-16/07:45:00	2015-09-16/07:55:00	237.762	-3.8
2015-09-16/11:15:00	2015-09-16/11:25:00	230.094	-3.472
2015-09-19/07:35:00	2015-09-19/07:45:00	232.695	2.952
2015-09-19/08:05:00	2015-09-19/08:15:00	247.23	2.373
2015-09-19/09:00:00	2015-09-19/09:10:00	256.802	1.25
2015-09-19/09:30:00	2015-09-19/09:40:00	261.331	1.278
2015-09-22/13:20:00	2015-09-22/13:30:00	274.292	4.08
2015-09-22/13:50:00	2015-09-22/14:00:00	288.886	4.768
2015-09-22/14:20:00	2015-09-22/14:30:00	274.657	4.14
2015-09-23/13:50:00	2015-09-23/14:00:00	312.52	6.992
2015-09-23/18:15:00	2015-09-23/18:25:00	303.233	4.085
2015-09-23/19:15:00	2015-09-23/19:25:00	299.633	2.123
2015-09-23/19:45:00	2015-09-23/19:55:00	299.504	0.507
2015-09-23/23:15:00	2015-09-23/23:25:00	301.678	-0.2
2015-09-24/09:20:00	2015-09-24/09:30:00	291.772	5.753
2015-09-24/11:50:00	2015-09-24/12:00:00	281.321	4.693
2015-09-24/12:45:00	2015-09-24/12:55:00	295.484	4.632
2015-09-24/13:25:00	2015-09-24/13:35:00	295.804	5.168
2015-09-24/15:20:00	2015-09-24/15:30:00	284.137	1.577
2015-09-24/21:00:00	2015-09-24/21:10:00	277.975	2.157
2015-09-24/21:30:00	2015-09-24/21:40:00	277.203	2.523
2015-09-24/22:00:00	2015-09-24/22:10:00	272.128	2.033
2015-09-25/16:55:00	2015-09-25/17:05:00	306.01	-0.563
2015-09-25/19:25:00	2015-09-25/19:35:00	291.813	2.915
2015-09-25/20:00:00	2015-09-25/20:10:00	264.387	4.507
2015-09-25/20:45:00	2015-09-25/20:55:00	312.615	3.667
2015-09-25/21:15:00	2015-09-25/21:25:00	283.434	2.403
2015-09-25/21:45:00	2015-09-25/21:55:00	273.959	2.422
2015-09-25/22:25:00	2015-09-25/22:35:00	278.39	1.142
2015-09-25/22:55:00	2015-09-25/23:05:00	280.364	1.877
2015-09-26/06:10:00	2015-09-26/06:20:00	313.987	1.197
2015-09-26/08:50:00	2015-09-26/09:00:00	299.096	3.383
2015-09-26/09:20:00	2015-09-26/09:30:00	303.85	4.198
2015-09-26/22:50:00	2015-09-26/23:00:00	276.998	2.383
2015-09-27/09:25:00	2015-09-27/09:35:00	298.781	3.287
2015-09-27/09:55:00	2015-09-27/10:05:00	297.627	1.502
2015-09-27/10:50:00	2015-09-27/11:00:00	300.718	1.888
2015-09-27/11:35:00	2015-09-27/11:45:00	289.33	0.535
2015-09-27/12:50:00	2015-09-27/13:00:00	311.558	1.238
2015-09-27/14:30:00	2015-09-27/14:40:00	313.143	0.402
2015-09-27/15:00:00	2015-09-27/15:10:00	311.79	0.785
2015-09-27/16:10:00	2015-09-27/16:20:00	277.726	1.475
2015-09-27/16:40:00	2015-09-27/16:50:00	290.767	0.797
2015-09-27/18:50:00	2015-09-27/19:00:00	311.216	-0.257
2015-09-27/19:35:00	2015-09-27/19:45:00	268.498	1.265
2015-09-27/20:30:00	2015-09-27/20:40:00	302.934	0.608
2015-09-28/07:10:00	2015-09-28/07:20:00	302.778	1.248
2015-09-28/07:40:00	2015-09-28/07:50:00	300.782	0.447
2015-09-28/08:10:00	2015-09-28/08:20:00	307.064	0.753
2015-09-28/09:10:00	2015-09-28/09:20:00	292.248	0.968
2015-09-28/09:40:00	2015-09-28/09:50:00	302.022	1.412
2015-09-28/10:10:00	2015-09-28/10:20:00	286.018	1.238
2015-09-28/10:40:00	2015-09-28/10:50:00	281.014	1.535
2015-09-28/11:10:00	2015-09-28/11:20:00	293.993	1.705
2015-09-28/11:50:00	2015-09-28/12:00:00	298.852	1.113
2015-09-28/14:15:00	2015-09-28/14:25:00	275.997	3.24
2015-09-28/14:45:00	2015-09-28/14:55:00	280.374	2.48
2015-09-28/15:15:00	2015-09-28/15:25:00	270.313	3.037
2015-09-29/09:40:00	2015-09-29/09:50:00	274.697	3.182
2015-09-29/14:25:00	2015-09-29/14:35:00	277.777	2.188
2015-09-29/19:55:00	2015-09-29/20:05:00	309.203	0.92
2015-09-29/20:25:00	2015-09-29/20:35:00	308.467	0.553
2015-09-29/21:50:00	2015-09-29/22:00:00	285.122	2.097
2015-09-30/06:55:00	2015-09-30/07:05:00	279.588	3.468
2015-09-30/07:25:00	2015-09-30/07:35:00	290.069	3.252
2015-09-30/08:00:00	2015-09-30/08:10:00	299.909	3.008
2015-09-30/08:35:00	2015-09-30/08:45:00	295.421	2.663
2015-10-03/18:30:00	2015-10-03/18:40:00	240.395	-1.997
2015-10-16/19:55:00	2015-10-16/20:05:00	301.567	2.947
2015-10-16/20:25:00	2015-10-16/20:35:00	280.614	2.798
2015-10-17/09:45:00	2015-10-17/09:55:00	237.422	0.437
2015-10-17/10:40:00	2015-10-17/10:50:00	255.611	2.57
2015-10-17/11:20:00	2015-10-17/11:30:00	275.738	3.402
2015-10-17/11:50:00	2015-10-17/12:00:00	267.914	3.783
2015-10-18/05:05:00	2015-10-18/05:15:00	235.56	4.928
2015-10-19/16:05:00	2015-10-19/16:15:00	237.619	-3.175
2015-10-20/20:10:00	2015-10-20/20:20:00	272.333	3.482
2015-10-21/02:55:00	2015-10-21/03:05:00	242.49	3.258
2015-10-21/04:05:00	2015-10-21/04:15:00	278.719	2.377
2015-10-22/03:50:00	2015-10-22/04:00:00	278.361	2.292
2015-10-22/07:30:00	2015-10-22/07:40:00	276.326	4.923
2015-10-22/18:25:00	2015-10-22/18:35:00	267.499	1.48
2015-10-22/20:05:00	2015-10-22/20:15:00	233.316	2.558
2015-10-23/03:30:00	2015-10-23/03:40:00	311.835	3.013
2015-10-23/07:55:00	2015-10-23/08:05:00	292.126	4.218
2015-10-23/08:25:00	2015-10-23/08:35:00	300.085	4.443
2015-10-23/12:25:00	2015-10-23/12:35:00	257.355	4.588
2015-10-23/12:55:00	2015-10-23/13:05:00	249.634	3.172
2015-10-23/13:25:00	2015-10-23/13:35:00	256.038	4.45
2015-10-23/13:55:00	2015-10-23/14:05:00	275.322	4.682
2015-10-23/14:35:00	2015-10-23/14:45:00	229.131	5.13
2015-10-23/15:10:00	2015-10-23/15:20:00	254.948	4.467
2015-10-23/16:00:00	2015-10-23/16:10:00	294.805	4.255
2015-10-23/17:10:00	2015-10-23/17:20:00	265.186	4.83
2015-10-24/03:00:00	2015-10-24/03:10:00	304.883	1.943
2015-10-24/06:25:00	2015-10-24/06:35:00	282.487	3.967
2015-10-24/07:40:00	2015-10-24/07:50:00	312.905	5.723
2015-10-24/08:10:00	2015-10-24/08:20:00	290.654	5.723
2015-10-24/10:05:00	2015-10-24/10:15:00	304.604	2.3
2015-10-24/10:35:00	2015-10-24/10:45:00	314.554	2.335
2015-10-24/12:35:00	2015-10-24/12:45:00	307.56	3.123
2015-10-24/13:25:00	2015-10-24/13:35:00	296.576	2.23
2015-10-24/17:05:00	2015-10-24/17:15:00	296.222	-2.112
2015-10-24/17:55:00	2015-10-24/18:05:00	257.476	2.325
2015-10-24/18:35:00	2015-10-24/18:45:00	236.0	3.792
2015-10-25/07:25:00	2015-10-25/07:35:00	262.814	3.832
2015-10-25/10:55:00	2015-10-25/11:05:00	283.934	-3.677
2015-10-28/13:10:00	2015-10-28/13:20:00	306.243	-1.813
2015-10-28/15:30:00	2015-10-28/15:40:00	278.333	1.06
2015-10-28/16:00:00	2015-10-28/16:10:00	259.934	1.31
2015-10-28/19:15:00	2015-10-28/19:25:00	311.676	1.76
2015-11-02/06:30:00	2015-11-02/06:40:00	274.385	-2.558
2015-11-02/07:30:00	2015-11-02/07:40:00	260.589	-0.468
2015-11-02/11:00:00	2015-11-02/11:10:00	272.194	-2.092
2015-11-02/11:30:00	2015-11-02/11:40:00	276.818	-1.535
2015-11-02/16:05:00	2015-11-02/16:15:00	288.607	3.945
2015-11-02/17:20:00	2015-11-02/17:30:00	308.231	3.862
2015-11-02/17:50:00	2015-11-02/18:00:00	311.44	2.807
2015-11-05/01:00:00	2015-11-05/01:10:00	260.896	-4.057
2015-11-05/01:55:00	2015-11-05/02:05:00	285.403	-3.25
2015-11-05/04:00:00	2015-11-05/04:10:00	296.375	-4.372
2015-11-05/13:00:00	2015-11-05/13:10:00	247.708	-2.512
2015-11-05/13:30:00	2015-11-05/13:40:00	233.605	-2.387
2015-11-13/10:15:00	2015-11-13/10:25:00	239.348	-1.548
2015-11-13/12:35:00	2015-11-13/12:45:00	253.348	-0.418
2015-11-17/23:35:00	2015-11-17/23:45:00	279.533	4.087
2015-11-18/00:05:00	2015-11-18/00:15:00	304.736	4.635
2015-11-18/00:35:00	2015-11-18/00:45:00	300.176	4.728
2015-11-18/01:05:00	2015-11-18/01:15:00	291.925	4.918
2015-11-18/01:35:00	2015-11-18/01:45:00	274.826	4.922
2015-11-18/02:05:00	2015-11-18/02:15:00	225.774	3.803
2015-11-18/03:45:00	2015-11-18/03:55:00	308.077	4.455
2015-11-18/04:40:00	2015-11-18/04:50:00	304.113	3.775
2015-11-18/16:15:00	2015-11-18/16:25:00	286.865	0.627
2015-11-18/16:45:00	2015-11-18/16:55:00	306.259	-4.113
2015-11-18/23:35:00	2015-11-18/23:45:00	275.075	4.345
2015-11-20/01:35:00	2015-11-20/01:45:00	292.646	1.222
2015-11-20/03:25:00	2015-11-20/03:35:00	302.647	-1.805
2015-11-20/10:00:00	2015-11-20/10:10:00	299.253	2.395
2015-11-20/10:30:00	2015-11-20/10:40:00	313.086	-0.883
2015-11-20/11:10:00	2015-11-20/11:20:00	299.661	2.205
2015-11-20/12:10:00	2015-11-20/12:20:00	313.679	0.548
2015-11-20/13:10:00	2015-11-20/13:20:00	314.803	0.863
2015-11-21/01:25:00	2015-11-21/01:35:00	239.32	3.235
2015-11-21/05:55:00	2015-11-21/06:05:00	297.609	0.767
2015-11-21/06:30:00	2015-11-21/06:40:00	284.699	1.55
2015-11-21/07:00:00	2015-11-21/07:10:00	286.755	0.972
2015-11-21/07:40:00	2015-11-21/07:50:00	268.668	2.745
2015-11-21/09:30:00	2015-11-21/09:40:00	306.125	-1.532
2015-11-21/10:55:00	2015-11-21/11:05:00	311.837	-2.77
2015-11-21/11:45:00	2015-11-21/11:55:00	284.83	-1.087
2015-11-21/12:15:00	2015-11-21/12:25:00	286.528	-2.183
