Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2018-10-14/23:20:00	2018-10-14/23:30:00	258.571	-0.077
2018-10-16/07:25:00	2018-10-16/07:35:00	291.73	3.707
2018-10-16/09:35:00	2018-10-16/09:45:00	254.318	3.643
2018-10-16/10:55:00	2018-10-16/11:05:00	284.398	2.14
2018-10-17/18:20:00	2018-10-17/18:30:00	304.899	-0.445
2018-10-17/18:50:00	2018-10-17/19:00:00	299.163	-0.092
2018-10-17/19:20:00	2018-10-17/19:30:00	299.189	-0.093
2018-10-17/19:50:00	2018-10-17/20:00:00	301.34	-0.182
2018-10-18/01:50:00	2018-10-18/02:00:00	274.772	2.527
2018-10-18/02:20:00	2018-10-18/02:30:00	279.01	2.102
2018-10-18/04:10:00	2018-10-18/04:20:00	286.908	2.65
2018-10-18/05:00:00	2018-10-18/05:10:00	289.62	2.312
2018-10-18/12:00:00	2018-10-18/12:10:00	314.226	2.317
2018-10-18/12:30:00	2018-10-18/12:40:00	301.944	1.963
2018-10-18/13:00:00	2018-10-18/13:10:00	296.852	1.64
2018-10-18/14:35:00	2018-10-18/14:45:00	286.087	-0.058
2018-10-18/15:45:00	2018-10-18/15:55:00	275.07	-1.748
2018-10-18/16:35:00	2018-10-18/16:45:00	300.051	-1.5
2018-10-18/17:25:00	2018-10-18/17:35:00	289.501	-1.093
2018-10-18/18:00:00	2018-10-18/18:10:00	285.888	-1.938
2018-10-18/18:30:00	2018-10-18/18:40:00	293.963	-1.583
2018-10-18/20:20:00	2018-10-18/20:30:00	269.683	-1.423
2018-10-18/20:55:00	2018-10-18/21:05:00	281.943	-0.892
2018-10-18/21:40:00	2018-10-18/21:50:00	301.001	-0.14
2018-10-18/22:10:00	2018-10-18/22:20:00	297.447	0.287
2018-10-18/22:40:00	2018-10-18/22:50:00	299.756	0.377
2018-10-18/23:10:00	2018-10-18/23:20:00	292.583	0.598
2018-10-18/23:55:00	2018-10-19/00:05:00	286.176	0.232
2018-10-19/00:25:00	2018-10-19/00:35:00	278.372	0.478
2018-10-19/00:55:00	2018-10-19/01:05:00	277.966	0.577
2018-10-19/06:00:00	2018-10-19/06:10:00	301.678	1.87
2018-10-19/06:40:00	2018-10-19/06:50:00	281.264	1.238
2018-10-20/04:50:00	2018-10-20/05:00:00	257.824	-1.343
2018-10-20/05:20:00	2018-10-20/05:30:00	267.091	-1.605
2018-10-20/05:50:00	2018-10-20/06:00:00	273.971	-1.02
2018-10-20/07:25:00	2018-10-20/07:35:00	297.03	-0.055
2018-10-20/07:55:00	2018-10-20/08:05:00	284.638	-0.783
2018-10-20/08:30:00	2018-10-20/08:40:00	288.851	-1.607
2018-10-20/09:00:00	2018-10-20/09:10:00	285.872	-1.705
2018-10-20/09:40:00	2018-10-20/09:50:00	285.396	-1.69
2018-10-20/10:10:00	2018-10-20/10:20:00	286.938	-1.828
2018-10-20/12:05:00	2018-10-20/12:15:00	249.32	-2.268
2018-10-20/12:35:00	2018-10-20/12:45:00	254.574	-1.917
2018-10-20/13:30:00	2018-10-20/13:40:00	296.714	0.502
2018-10-20/14:00:00	2018-10-20/14:10:00	278.135	-0.053
2018-10-20/14:40:00	2018-10-20/14:50:00	259.53	0.117
2018-10-20/15:15:00	2018-10-20/15:25:00	262.549	0.183
2018-10-20/16:05:00	2018-10-20/16:15:00	273.188	0.6
2018-10-20/16:35:00	2018-10-20/16:45:00	242.101	0.402
2018-10-20/20:00:00	2018-10-20/20:10:00	309.665	1.498
2018-10-20/22:20:00	2018-10-20/22:30:00	266.708	0.64
2018-10-20/22:50:00	2018-10-20/23:00:00	279.029	1.263
2018-10-20/23:45:00	2018-10-20/23:55:00	294.181	2.077
2018-10-21/00:15:00	2018-10-21/00:25:00	294.013	1.58
2018-10-24/10:25:00	2018-10-24/10:35:00	253.255	-0.807
2018-10-24/11:05:00	2018-10-24/11:15:00	279.854	-0.923
2018-10-24/11:35:00	2018-10-24/11:45:00	270.223	1.502
2018-10-24/12:05:00	2018-10-24/12:15:00	292.836	0.772
2018-10-24/12:35:00	2018-10-24/12:45:00	292.079	0.458
2018-10-24/13:15:00	2018-10-24/13:25:00	292.197	1.988
2018-10-24/13:50:00	2018-10-24/14:00:00	292.313	0.788
2018-10-24/16:30:00	2018-10-24/16:40:00	291.798	2.498
2018-10-24/18:55:00	2018-10-24/19:05:00	232.796	3.257
2018-10-24/19:25:00	2018-10-24/19:35:00	243.879	3.23
2018-10-24/19:55:00	2018-10-24/20:05:00	246.422	3.185
2018-10-24/20:25:00	2018-10-24/20:35:00	241.932	2.935
2018-10-24/20:55:00	2018-10-24/21:05:00	255.574	2.73
2018-10-24/21:55:00	2018-10-24/22:05:00	264.549	2.6
2018-10-26/23:10:00	2018-10-26/23:20:00	292.543	0.272
2018-10-27/00:00:00	2018-10-27/00:10:00	283.118	0.483
2018-10-27/01:10:00	2018-10-27/01:20:00	281.298	-0.188
2018-10-27/07:05:00	2018-10-27/07:15:00	241.494	-2.928
2018-10-27/12:25:00	2018-10-27/12:35:00	275.923	1.708
2018-10-27/12:55:00	2018-10-27/13:05:00	287.489	1.767
2018-10-27/14:05:00	2018-10-27/14:15:00	276.277	1.152
2018-10-27/16:55:00	2018-10-27/17:05:00	294.937	1.397
2018-10-27/18:10:00	2018-10-27/18:20:00	288.954	1.877
2018-10-27/19:35:00	2018-10-27/19:45:00	283.492	2.225
2018-10-28/15:40:00	2018-10-28/15:50:00	253.234	-1.247
2018-10-28/16:10:00	2018-10-28/16:20:00	262.101	-1.202
2018-10-28/16:40:00	2018-10-28/16:50:00	277.953	-1.547
2018-10-28/17:25:00	2018-10-28/17:35:00	266.417	-0.562
2018-10-28/17:55:00	2018-10-28/18:05:00	267.705	-0.835
2018-10-28/18:25:00	2018-10-28/18:35:00	269.372	-1.222
2018-10-28/18:55:00	2018-10-28/19:05:00	269.352	-1.845
2018-10-28/19:25:00	2018-10-28/19:35:00	283.921	-1.857
2018-10-28/20:10:00	2018-10-28/20:20:00	308.582	-0.46
2018-10-28/20:55:00	2018-10-28/21:05:00	264.7	-3.01
2018-10-28/21:25:00	2018-10-28/21:35:00	268.812	-3.015
2018-10-28/21:55:00	2018-10-28/22:05:00	270.224	-2.825
2018-10-28/22:25:00	2018-10-28/22:35:00	278.786	-3.108
2018-10-28/22:55:00	2018-10-28/23:05:00	273.335	-3.28
2018-10-28/23:25:00	2018-10-28/23:35:00	266.002	-2.82
2018-10-29/10:40:00	2018-10-29/10:50:00	312.455	-1.847
2018-10-29/11:10:00	2018-10-29/11:20:00	305.117	-1.15
2018-10-30/08:00:00	2018-10-30/08:10:00	313.613	0.447
2018-10-30/09:40:00	2018-10-30/09:50:00	276.71	-0.705
2018-10-30/11:05:00	2018-10-30/11:15:00	294.119	0.162
2018-10-30/11:35:00	2018-10-30/11:45:00	289.491	-0.702
