Start_str	End_str	Clang_avg	Bx_avg(nT)
2016-09-08 16:15:00	2016-09-08 16:25:00	254.787	-1.043
2016-09-11 22:30:00	2016-09-11 22:40:00	240.055	-2.332
2016-09-11 23:00:00	2016-09-11 23:10:00	237.653	-4.373
2016-09-16 13:55:00	2016-09-16 14:05:00	305.148	2.902
2016-09-17 17:40:00	2016-09-17 17:50:00	302.025	2.752
2016-09-17 18:10:00	2016-09-17 18:20:00	294.22	3.303
2016-09-17 19:15:00	2016-09-17 19:25:00	272.722	2.772
2016-09-17 19:45:00	2016-09-17 19:55:00	263.791	2.967
2016-09-17 20:30:00	2016-09-17 20:40:00	261.257	3.622
2016-09-17 21:15:00	2016-09-17 21:25:00	266.216	3.417
2016-09-18 18:30:00	2016-09-18 18:40:00	251.184	3.487
2016-09-18 22:40:00	2016-09-18 22:50:00	286.083	3.807
2016-09-18 23:10:00	2016-09-18 23:20:00	279.961	2.937
2016-09-18 23:40:00	2016-09-18 23:50:00	284.101	3.035
2016-09-19 01:30:00	2016-09-19 01:40:00	295.327	4.353
2016-09-19 02:35:00	2016-09-19 02:45:00	288.879	4.457
2016-09-19 12:35:00	2016-09-19 12:45:00	252.076	1.947
2016-09-19 14:30:00	2016-09-19 14:40:00	282.835	1.603
2016-09-19 15:15:00	2016-09-19 15:25:00	263.223	3.21
2016-09-20 18:15:00	2016-09-20 18:25:00	304.617	2.858
2016-09-21 03:05:00	2016-09-21 03:15:00	269.949	1.502
2016-09-22 12:20:00	2016-09-22 12:30:00	276.629	3.183
2016-09-23 17:20:00	2016-09-23 17:30:00	313.363	-3.04
2016-09-23 18:20:00	2016-09-23 18:30:00	298.518	-3.133
2016-09-23 22:30:00	2016-09-23 22:40:00	313.458	-0.402
2016-09-24 13:40:00	2016-09-24 13:50:00	282.042	-0.072
2016-09-24 14:10:00	2016-09-24 14:20:00	289.441	0.143
2016-09-24 14:40:00	2016-09-24 14:50:00	278.812	-1.787
2016-09-24 15:10:00	2016-09-24 15:20:00	282.273	-2.663
2016-09-24 15:40:00	2016-09-24 15:50:00	289.006	-2.475
2016-09-24 16:10:00	2016-09-24 16:20:00	290.574	-1.347
2016-09-24 16:40:00	2016-09-24 16:50:00	294.756	-0.397
2016-09-24 17:10:00	2016-09-24 17:20:00	285.015	0.822
2016-09-24 17:40:00	2016-09-24 17:50:00	269.799	1.56
2016-09-24 18:10:00	2016-09-24 18:20:00	252.658	0.632
2016-09-24 18:40:00	2016-09-24 18:50:00	245.631	0.52
2016-09-24 19:10:00	2016-09-24 19:20:00	236.127	-0.412
2016-09-24 19:40:00	2016-09-24 19:50:00	235.422	0.565
2016-09-24 20:10:00	2016-09-24 20:20:00	234.96	1.31
2016-09-24 20:40:00	2016-09-24 20:50:00	235.106	0.228
2016-09-24 21:10:00	2016-09-24 21:20:00	233.372	-0.092
2016-09-24 21:55:00	2016-09-24 22:05:00	233.137	0.822
2016-09-24 22:25:00	2016-09-24 22:35:00	234.81	1.412
