Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	gseIMFBx_avg(nT)	gseIMFBy_avg(nT)	gseIMFBz_avg(nT)	Shock_Ang(deg)	Jx_avg(uA/m2)	Jy_avg	Jz_avg	Jmag_avg	divB_avg	Jx_med(uA/m2)	Jy_med	Jz_med	Jmag_med	divB_med	Jx_std(uA/m2)	Jy_std	Jz_std	Jmag_std	divB_std	mms1Bx_avg(nT)	mms1By_avg	mms1Bz_avg	mms1Bmag_avg	mms1Bx_med(nT)	mms1By_med	mms1Bz_med	mms1Bmag_med	mms1Bx_std(nT)	mms1By_std	mms1Bz_std	mms1Bmag_std	Jcosxy_pos(%)	Jcosxy_neg(%)	Jcosxy_avg	Jcosxy_med	cosxy_pos(0.25,%)	cosxy_neg(0.25,%)	Jcosxz_pos(%)	Jcosxz_neg(%)	Jcosxz_avg	Jcosxz_med	cosxz_pos(0.25,%)	cosxz_neg(0.25,%)
2016-01-13 01:25:00	2016-01-13 01:35:00	11.981828969175345	9.04675578693568	-7.054007695197947	-3.4583155724481927	242.018	2.205	-6.952	-1.173	59.631	-0.0362723512727973	-0.0344757495048119	-0.0175916547590424	0.0940199749295661	0.010424767316415	-0.0447964816130383	-0.0613079151569786	-0.0220286119636418	0.0873891378635352	0.012259275456144	0.0332762700169182	0.0602254075739353	0.0403287145326995	0.0182971714132617	0.010175938250588	-11.685783	-34.742455	-11.987541	39.36348	-11.755678	-35.248363	-10.755182	39.648785	2.3146684	4.5038395	6.5114946	2.4196408	11.096061679516566	88.90393832048343	-0.0071437123765579385	-0.0065918366988411345	2.3129818712231716	61.93998749739529	2.781829547822463	97.21817045217753	-0.013639907518863943	-0.014009983886107719	1.3231923317357783	95.29068555949156
2016-01-13 03:50:00	2016-01-13 04:00:00	11.799116755946848	9.703419639968509	-6.223518814047073	-2.5157372090581505	290.568	1.837	-5.503	3.613	62.34	-0.0252021389809263	-0.0139878162413807	0.0358580466292999	0.1016952091527439	-0.0107340476103007	-0.0342008464929254	-0.0338013674739833	0.0437308880720665	0.0911444444251565	-0.0108213159637678	0.0412166557707037	0.0552135683339768	0.0656582678880039	0.0288626010437309	0.0140966386824063	-2.149261	-22.400316	22.83944	33.42762	-2.3540258	-22.363129	24.659702	32.648712	3.7907543	7.797484	5.4423923	3.9265347	5.428214211294019	94.57178578870598	-0.01263976114361966	-0.013526470528221026	3.938320483434049	87.67451552406752	2.417170243800792	97.5828297561992	-0.01817085503879325	-0.01838205277665759	1.9587414044592624	96.48885184413419
2016-01-17 00:50:00	2016-01-17 01:00:00	11.976980678599604	8.472368108061032	-7.480473813356327	-3.963348522960517	296.128	-3.498	-3.923	4.123	73.056	-0.0180391048516687	-0.0226173383087983	0.0293437586272603	0.0927823817251696	-0.0041839249692404	-0.0228105053729738	-0.0517182374005209	0.0473765746284204	0.0937666515274217	-0.0042020700412002	0.0346898974317282	0.0615245015256218	0.0464014270039136	0.015204762661862	0.0046250614232772	-9.146097	-34.54826	17.777802	39.980907	-9.112236	-34.70509	17.54067	40.18333	1.359374	1.1105835	1.702865	0.8897628	25.797041050218795	74.2029589497812	-0.003976585057360074	-0.004288272283654708	11.887893311106481	63.5028130860596	14.867680766826423	85.13231923317358	-0.005639380025588621	-0.005594436405939819	9.564492602625547	78.94352990206293
2016-01-17 03:25:00	2016-01-17 03:35:00	11.790471247548004	9.260543945750593	-6.667594648015817	-2.9663078410410484	300.551	-3.295	-4.102	4.22	75.477	0.0054482374276318	0.0488335523075013	-0.0350253465391684	0.1348123043793013	0.0004064575123096	0.0047509831728586	0.0662136035580077	-0.0533187563494419	0.1180327753646655	-0.0005464980413888	0.0347627331027595	0.1031225144841067	0.0793862632217394	0.0600973876701687	0.0171132164972644	0.23953629	-26.270443	23.65392	35.91673	-0.1055895	-26.494864	24.171276	35.903084	4.141763	4.546129	3.601153	3.2372127	7.689101896228381	92.31089810377162	-0.009418153251505277	-0.007330161785725899	3.0735569910398	86.42425505313606	25.380287559908314	74.61971244009169	-6.762187653630019e-05	-0.00207217464009936	14.815586580537612	59.62700562617212
2016-01-17 03:55:00	2016-01-17 04:05:00	11.66566048178212	9.330308832912328	-6.450330887090089	-2.72478053837517	302.553	-3.903	-3.718	3.88	68.837	-0.0006137018114175	-0.001504794866586	0.01325701334004	0.0911902298971785	-0.0011666998068999	-0.0050767547071851	-0.0136056560864053	0.0298191397594303	0.0876589882932281	-0.0013607229806735	0.0368564966549497	0.0723745559424781	0.0414291082875113	0.0132506648341554	0.0043996717687652	-8.271475	-37.405396	18.764076	42.765686	-8.139874	-37.16167	18.824816	42.31843	1.8250397	1.3940305	2.3399923	1.2317038	15.867889143571578	84.13211085642843	-0.0037464965714327607	-0.0036507751813117635	8.44967701604501	73.93206918107938	21.744113356949363	78.25588664305063	-0.0027336266080572424	-0.002646585498337291	12.940195874140446	66.55553240258388
2016-01-19 04:00:00	2016-01-19 04:10:00	11.572725595649416	9.13783082834764	-6.524728426249194	-2.802520216664321	230.293	-4.117	-5.407	-2.505	72.293	0.0035656050139093	0.0083981155595568	-0.0091516662414918	0.1155850381072137	-0.0003374746449528	0.0095943035358932	0.023603918870747	-0.0084245638624718	0.1076507370106102	0.0006170436477402	0.0558750528805393	0.0752628996603838	0.0724589913068568	0.0290503849495273	0.0110401299801913	-16.684536	-27.70061	-13.718398	35.751804	-16.848343	-29.794727	-13.550699	37.148277	3.2871506	5.5142074	4.9659986	4.6447296	51.338681112615895	48.661318887384105	0.0002961633784866458	0.0005367514849619467	46.484008750911556	43.01489738514429	55.797478904052504	44.202521095947496	0.003529137421700661	0.0018802597033294936	47.81748098760288	35.18074799458277
2016-01-19 04:40:00	2016-01-19 04:50:00	11.334352658141794	9.174261244996268	-6.183261487110805	-2.462906142233067	270.203	-5.375	-5.752	1.44	66.911	-0.0002712805783925	0.0039407646663978	-0.0008497003292863	0.125161006963903	-0.0010816722165563	0.0057229151007301	0.0111375593030963	0.0008987439433753	0.1116463776498977	-0.0012849810665438	0.0579557974358872	0.0884368722458858	0.0881355126494148	0.0574357986344704	0.0179593958807546	-10.54669	-28.048859	10.947126	33.913948	-10.669188	-29.582813	11.119835	34.054028	5.995013	8.095214	9.295785	7.452441	49.354032090018755	50.645967909981245	-0.00026330867426312994	-0.00020769369421277158	43.873723692435924	42.811002292144195	54.855178162117106	45.144821837882894	0.000787348107227984	0.001669119889150732	44.83225672015003	33.632006668055844
2016-01-19 05:15:00	2016-01-19 05:25:00	11.080169107517523	9.160716893822098	-5.8420465498955165	-2.172566344593509	230.505	-6.122	-5.608	-3.082	62.873	-0.0035655209657446	0.0048674245519468	-0.0094013954012363	0.1792505584669816	0.0016031636547759	-0.0056964159812239	0.0104219956217388	-0.0137741731982977	0.1523035505846375	0.0003777621589977	0.0819010102995633	0.1203149788137165	0.1341223658238071	0.0846540425230894	0.0238438813018642	-11.295632	-22.967352	-18.536602	34.63468	-11.577759	-22.910639	-21.17707	34.37107	4.4648805	7.985573	12.350505	5.9476275	43.879570788623816	56.120429211376184	-0.0014344574272531453	-0.0019404453343127898	36.52463798312324	48.713407646629854	44.48380039587457	55.51619960412543	-0.0010802359499531519	-0.002217126308850555	35.58704031669966	45.79643712886759
2016-01-20 21:35:00	2016-01-20 21:45:00	11.31814813302904	6.292281687743883	-8.287228326105692	-4.452836675507057	239.719	5.212	-9.498	-1.54	43.8	0.0086687436688697	0.0018717831320232	0.0044268497037136	0.1660223362599657	-0.0021376342527594	0.0123052772761262	0.0003709892187834	0.003827456412077	0.142509542369373	-0.0022426103068578	0.0794134066071709	0.1317821492695343	0.0940435359408446	0.0710777195560091	0.0301027266224122	-15.310394	-43.65166	3.0698693	48.384586	-16.015839	-43.942352	1.2632487	48.044353	4.6143227	4.8818593	12.865689	4.3453875	51.021046051260676	48.978953948739324	0.003421896816042528	0.0003139382436248214	41.24817670347989	37.466138778912274	56.584705146905605	43.415294853094395	0.0028094523107016337	0.0029121025914852572	47.87455719941654	36.96603459053969
2016-01-20 22:05:00	2016-01-20 22:15:00	11.504388140954886	6.633246308598309	-8.233667202922934	-4.533883040216286	257.027	7.125	-9.148	1.478	33.364	0.0089833286073906	0.0129480363235363	3.766774250955095e-05	0.2063708188629597	-0.006202653758566	0.0075818038168551	0.008146313416172	0.0020951827774114	0.1876552292506327	-0.0040193131848346	0.110167922919219	0.1314980059370554	0.143420063764445	0.0875068561550957	0.0419342180186555	1.863878	-16.293839	-2.7515633	31.076971	1.7786072	-18.036526	-11.859593	32.298615	10.116482	10.847209	24.418015	11.269464	44.25922067097312	55.74077932902688	-0.001621597672367413	-0.0024129083481128424	35.98666388831006	45.85330277141071	57.10564700979371	42.89435299020629	0.0041124081921462075	0.003304608737629815	47.07230673056887	33.23609085226089
