Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	gseIMFBx_avg(nT)	gseIMFBy_avg(nT)	gseIMFBz_avg(nT)	Shock_Ang(deg)	Jx_avg(uA/m2)	Jy_avg	Jz_avg	Jmag_avg	divB_avg	Jx_med(uA/m2)	Jy_med	Jz_med	Jmag_med	divB_med	Jx_std(uA/m2)	Jy_std	Jz_std	Jmag_std	divB_std	mms1Bx_avg(nT)	mms1By_avg	mms1Bz_avg	mms1Bmag_avg	mms1Bx_med(nT)	mms1By_med	mms1Bz_med	mms1Bmag_med	mms1Bx_std(nT)	mms1By_std	mms1Bz_std	mms1Bmag_std
2015-10-21 13:25:00	2015-10-21 13:35:00	11.74555642296731	8.477973194439672	6.783786849185663	-4.478906400334896	346.319	0.27	-6.618	7.393	87.005	-0.0026236344169096	0.0025764571009159	0.0056524741034063	0.0942190866897354	-0.0005287055710675	-0.0079340819049359	0.0019274130214955	0.011599082012627	0.0901837301601528	-0.0010243805638212	0.0430330736315633	0.0550546203315916	0.0660758416812677	0.020423252814169	0.0063753741218989	16.226461	-7.5235534	40.9952	44.956562	16.198833	-7.788599	41.74594	45.219357	2.8304317	3.855715	4.2421894	4.5044436
2015-10-25 15:15:00	2015-10-25 15:25:00	10.87471263542066	7.450753193195723	6.899772329606846	-3.8905806459988383	329.99	-5.047	-7.838	5.792	71.324	0.0092623619095844	-0.002084139950002	0.0128695349475926	0.1233495002432822	0.0014851662533872	0.0078864825443089	-0.0082480496736726	0.046834337158495	0.1135280394259757	0.0005700511878793	0.0365756366404747	0.0654474991203488	0.1111618699335816	0.0549433742217361	0.0215772931696893	12.263179	19.838009	46.5523	53.33173	10.279459	23.843382	45.74343	53.285046	6.533939	8.981766	4.241956	2.8518624
2015-10-26 06:20:00	2015-10-26 06:30:00	10.883133180895475	10.130629602685502	3.411430872007424	-2.0428579959283155	331.749	-4.062	-4.375	3.318	62.583	-0.0263873097894272	-0.0269312092113983	-0.0676546482380231	0.1131980376667469	0.0002415115728775	-0.0273466577583583	-0.0388094659372845	-0.0854686037236073	0.1043785178666154	-0.0016699775762713	0.0301069276147364	0.0350828019489897	0.0764886970019517	0.0342445133731977	0.0132787623152561	11.748494	12.619613	39.083183	42.782032	11.629789	12.57498	39.166428	42.562378	0.9856783	2.2617383	1.1619023	1.3826253
2015-10-26 06:55:00	2015-10-26 07:05:00	11.16796210721266	10.262615037440211	3.725628583606871	-2.349486897692914	332.012	-3.985	-4.095	3.002	61.093	-0.0017446382340452	0.0081779408506717	-0.0068604765491361	0.0938325424640957	-0.0014660177838604	-0.0121820705791651	0.0082958795357329	-0.0561512215372226	0.0891457274975404	-0.0007468996214107	0.0266945991245572	0.0379765418097402	0.0824683002584124	0.0163793311856477	0.0068825507252658	11.229532	16.389374	36.52178	41.647484	11.32913	16.821598	36.472977	41.834206	1.3621223	2.178183	1.1017449	1.3621266
2015-10-26 07:25:00	2015-10-26 07:35:00	11.37718526090017	10.336020824383152	3.976488329501191	-2.6063224920788493	338.37	-5.075	-3.2	2.828	48.92	-0.0080427483643965	-0.0073147213145706	-0.0268788155073631	0.111369415989537	-0.0009838453211768	-0.0126320077097459	-0.0069261127885964	-0.0670100380314032	0.1022319705671091	-0.0015173293532497	0.0375359615543252	0.0424052093666982	0.0999668231766116	0.040472592969272	0.0133429821501484	13.985327	2.889067	40.012722	44.448284	14.229735	-0.91754234	40.743076	44.467644	2.989717	12.442907	3.081891	1.6017969
2015-10-26 08:25:00	2015-10-26 08:35:00	11.703086153617862	10.379832923326909	4.4368309576990015	-3.0877684498954068	351.388	-4.75	-2.372	3.09	46.952	0.0005012157024579	0.0004282466889908	0.0081545341477627	0.104323361001323	0.0004956620074016	0.0024349762006409	0.0018898084967243	0.0590286826968925	0.0962669192901999	0.0007870340559392	0.0438122113351317	0.0444904842235437	0.0887026750309748	0.030832531442164	0.0101821065981951	11.140816	-0.95723766	28.686445	31.075813	11.617051	-0.7959984	29.862118	32.612995	2.6207693	3.7773821	5.5785317	5.873437
2015-10-26 09:30:00	2015-10-26 09:40:00	11.92243129740666	10.28231189935981	4.891130854560066	-3.534665981439147	352.38	-4.957	-2.623	3.512	36.519	-0.0164042063391992	0.0012041017016057	-0.0178085434155564	0.127485593813122	0.0031953859528841	-0.0473091900068107	0.0065519407778586	-0.0244829669310995	0.1210110916066188	-0.0011839871901033	0.0765289275367328	0.0667427097951861	0.0858992050107322	0.0450006101895186	0.0182105602816353	8.541366	4.5149465	19.930021	22.38525	8.685436	3.545142	20.86091	21.992678	5.1902933	3.982125	10.643178	12.063152
2015-10-26 10:00:00	2015-10-26 10:10:00	11.978069811374676	10.18911228132714	5.09056322464368	-3.706876763634634	342.763	-5.642	-1.82	1.678	18.254	-0.0122676460960343	-0.0126430969063607	-0.0183698695734245	0.1093072667181972	-0.0026123125359544	-0.0158145595808158	-0.0068843927464325	-0.0576468136537035	0.0919064196876284	-0.0005221640625162	0.0337780992298511	0.043006149454491	0.1068713287763458	0.0557824917314401	0.0142600076827869	10.633223	6.2934103	31.30487	34.528492	11.641232	4.521812	32.456627	34.973404	3.6810336	6.354042	3.9414167	3.1478746
2015-10-30 07:05:00	2015-10-30 07:15:00	11.419287200928856	10.629107380868094	3.491781702570529	-2.28649585259825	345.359	-4.187	-3.82	4.788	51.729	-0.0017732145367924	-0.012052906813387	-0.00140101876027	0.0992587408623045	-0.0002758742860186	-0.0004883709230587	-0.0134329980110331	-0.0217267777844599	0.0949529103735346	-0.0003294389185485	0.029543251487452	0.0415114245938186	0.0886259022381277	0.0273611895981056	0.0119493487791704	6.5959153	2.3344355	34.86125	35.838	6.487918	1.940779	34.876183	35.759468	1.8255265	4.111702	1.9934012	2.0279305
2015-11-08 03:30:00	2015-11-08 03:40:00	10.002105010396372	9.960820177939327	0.6870823508949649	-0.5917631976910975	337.162	-7.718	-6.803	9.025	60.958	-0.0023940005927644	-0.0064841848832653	-0.0302319031509901	0.1196340003643708	0.002009560044096	-0.0181485606187467	-0.0050084296711637	-0.07594674093969	0.1084348549585661	0.0029984099099578	0.0430797118506222	0.0418914832006717	0.1095983098512553	0.047665472593101	0.0156957685171403	17.089867	5.6530557	61.743027	64.38957	17.308065	5.4245286	62.084034	64.864746	2.1561167	2.326042	2.4236355	2.477323
