Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)
2017-09-01 23:10:00	2017-09-01 23:20:00	14.948417158983391	-12.508423730158247	7.614750863237805	3.0015441397148597	322.036	-6.932	-2.93	3.775
2017-09-01 23:40:00	2017-09-01 23:50:00	14.452051101664475	-12.187797664624313	7.186259586150141	2.945547777522697	351.126	-7.093	-0.798	5.162
2017-09-03 06:20:00	2017-09-03 06:30:00	23.263553256646635	-11.840246793192977	19.560632340001266	-4.287265439772321	319.059	-3.528	-0.803	0.958
2017-09-13 22:25:00	2017-09-13 22:35:00	15.767022312017568	-2.319405288771625	15.531979935696937	-1.4057182327921127	349.989	1.225	-0.362	2.073
2017-09-25 08:25:00	2017-09-25 08:35:00	19.72512741276411	-1.2842833221310685	18.400302250280642	-6.989925105465088	324.023	3.253	-1.308	1.805
2017-09-25 08:55:00	2017-09-25 09:05:00	20.029453110930543	-1.4656556526152134	18.61646343021978	-7.242742980436269	333.584	4.013	-0.885	1.807
2017-09-25 10:15:00	2017-09-25 10:25:00	20.78830080197757	-1.9437072993881388	19.22212062496264	-7.673662525170832	325.625	2.118	-1.412	2.058
2017-09-26 17:40:00	2017-09-26 17:50:00	21.863015298481077	-9.33485698934149	19.746231282761922	-0.966355119294283	329.182	1.413	-1.203	2.037
2017-09-26 19:15:00	2017-09-26 19:25:00	21.09062689094208	-9.4124741039776	18.869877608924213	0.3803525439196093	315.936	1.423	-2.843	2.932
2017-09-27 02:45:00	2017-09-27 02:55:00	15.904692837325165	-8.981181392354584	13.108904023148904	0.6730095880108409	337.788	1.947	-2.685	6.703
2017-10-01 01:50:00	2017-10-01 02:00:00	21.376046472189472	-0.4518809986080514	21.28181550037399	-1.9527870108859726	352.406	-2.707	-0.508	3.775
2017-10-04 23:15:00	2017-10-04 23:25:00	23.538789303565526	-6.067127817479708	22.716588473769395	1.104887362179884	339.104	4.04	-1.34	3.568
2017-10-05 09:05:00	2017-10-05 09:15:00	18.844217049375633	-7.4204445646676165	16.875279946276226	-3.907136056668494	324.867	4.728	-2.77	3.895
2017-10-06 06:50:00	2017-10-06 07:00:00	13.988264654808582	4.152206446407373	12.543316450221207	-4.592847061092342	331.521	0.455	-2.603	4.875
2017-10-08 02:35:00	2017-10-08 02:45:00	20.138866273576955	-6.3619473244299725	19.107511027369725	0.012192838270926607	333.331	2.258	-1.615	3.35
2017-10-09 01:45:00	2017-10-09 01:55:00	13.322885662428005	4.833757795558123	12.291294156309542	-1.7483137114556397	324.798	1.807	-1.53	2.158
2017-10-09 03:10:00	2017-10-09 03:20:00	14.78435537024429	4.677761613695609	13.79738300754442	-2.515143798405011	315.948	1.1	-1.998	2.1
2017-10-09 03:40:00	2017-10-09 03:50:00	15.262728701069902	4.608489555696021	14.267616587559942	-2.854060685259675	333.532	0.297	-1.512	3.06
2017-10-09 11:20:00	2017-10-09 11:30:00	20.781740859472308	3.0417258055222405	19.258824562987687	-7.192043555437846	325.308	2.573	-0.865	1.227
2017-10-09 11:50:00	2017-10-09 12:00:00	21.04596857503913	2.9201431180668425	19.58352645862614	-7.133713553195076	320.672	2.378	-1.203	1.363
2017-10-09 12:20:00	2017-10-09 12:30:00	21.300331090092904	2.797193030543035	19.91620013383572	-7.015922128643638	315.514	2.088	-1.792	1.828
2017-10-14 02:10:00	2017-10-14 02:20:00	13.37172747776311	-5.637051062439011	12.093306993616535	0.8814773253031065	348.546	-0.103	-1.27	6.268
2017-10-21 21:40:00	2017-10-21 21:50:00	23.22081545494645	0.12770229469774377	23.14251054230642	1.9008762600678102	339.806	5.227	-0.87	2.458
2017-10-22 04:05:00	2017-10-22 04:15:00	20.34278568505509	-1.736161859003471	20.248891492284155	-0.8905484469345636	315.848	3.225	-2.088	2.182
2017-10-23 03:10:00	2017-10-23 03:20:00	12.875551525731945	7.517310923964307	10.353604543239538	-1.4390598441395375	322.111	3.633	-3.438	4.405
2017-10-29 05:15:00	2017-10-29 05:25:00	21.226812685384065	9.38909848834557	18.857065634147173	-2.613408346129392	340.509	-2.812	-0.648	1.817
2017-10-29 06:10:00	2017-10-29 06:20:00	21.675568292274843	9.32555116761974	19.265928796066262	-3.4183595102696978	327.289	-2.24	-1.468	2.313
2017-10-29 06:40:00	2017-10-29 06:50:00	21.906985990613975	9.28460868271734	19.468459017265232	-3.8325451282691083	319.324	-3.042	-1.407	1.673
2017-11-01 03:55:00	2017-11-01 04:05:00	22.603442612985663	10.101949118481256	20.196736781910914	-0.9766884539065229	320.47	1.278	-1.828	2.212
2017-11-05 02:40:00	2017-11-05 02:50:00	22.06973680415159	4.324995182171228	21.583646253704913	1.5843180755118986	321.768	3.787	-1.037	1.343
2017-11-05 08:35:00	2017-11-05 08:45:00	18.769936228728195	1.8932614849812486	18.45246362265297	-2.8690603055495925	342.611	0.607	-0.898	2.873
2017-11-05 09:05:00	2017-11-05 09:15:00	18.420105048897835	1.6759233137187841	18.10396975089738	-2.9558334627248093	333.616	0.382	-1.397	2.818
2017-11-05 09:45:00	2017-11-05 09:55:00	17.933847118288337	1.3837128421142324	17.630455593539754	-2.979016048830345	319.917	-0.188	-1.963	2.337
2017-11-05 13:20:00	2017-11-05 13:30:00	14.877894975158023	-0.2223201619675221	14.785074379669766	-1.6436943656376641	315.312	2.268	-1.907	1.903
