Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)
2017-09-13 20:30:00	2017-09-13 20:40:00	13.890662404049266	-1.2765866704597806	13.70579358777968	-1.862792576266192	41.754	0.407	1.878	2.112
2017-09-19 07:25:00	2017-09-19 07:35:00	9.511340148846303	1.6399293026412058	8.46465724680237	-4.015419005417525	16.799	-3.54	0.557	1.868
2017-09-21 11:40:00	2017-09-21 11:50:00	16.56783084632539	-10.315094176235094	12.771432794975524	-2.231876070742985	37.442	-2.26	1.658	2.092
2017-09-26 20:00:00	2017-09-26 20:10:00	20.690354966442076	-9.432766500125977	18.394356453076153	0.8713180179306494	20.81	2.827	0.982	2.583
2017-09-26 20:30:00	2017-09-26 20:40:00	20.410667296500904	-9.43996049313555	18.060684699621543	1.1368624466991533	32.907	2.79	1.473	2.312
2017-09-26 21:15:00	2017-09-26 21:25:00	19.971216548387417	-9.440704252145457	17.54005412641585	1.4380432059096913	24.401	0.577	1.497	3.27
2017-09-27 01:50:00	2017-09-27 02:00:00	16.699692300973823	-9.12697026472478	13.946375455493945	1.0371265342838634	11.697	3.738	1.528	7.285
2017-10-01 02:40:00	2017-10-01 02:50:00	21.776797595125473	-0.7072967986043146	21.614335600370413	-2.558543789683236	17.346	-3.038	1.175	3.688
2017-10-01 03:25:00	2017-10-01 03:35:00	22.11519406484936	-0.9360362384965576	21.862793529058454	-3.196906985498766	22.48	-2.382	1.665	4.075
2017-10-02 20:50:00	2017-10-02 21:00:00	12.345694094377793	-7.4862811646760115	9.69619947199716	1.534086258152648	20.442	-3.678	1.06	2.797
2017-10-02 21:55:00	2017-10-02 22:05:00	11.007737445044256	-7.13448118601774	8.221548435187616	1.6350794651542626	20.257	-4.257	1.027	2.74
2017-10-05 15:00:00	2017-10-05 15:10:00	13.831353391017501	-7.294369208285431	11.705661818352603	-1.035901682630746	23.094	2.518	1.357	3.212
2017-10-08 12:40:00	2017-10-08 12:50:00	11.397992643207436	-6.439914968333532	9.316521181257697	-1.2813091885971553	11.539	3.407	0.538	2.683
2017-10-12 14:30:00	2017-10-12 14:40:00	23.821615976303274	2.1719765395225306	23.015293297237577	-5.748354984438277	41.852	-6.2	3.825	4.063
2017-10-22 15:40:00	2017-10-22 15:50:00	9.847674177275538	-4.2556349793395105	8.877035088550963	-0.24680975291571508	17.433	4.047	0.525	1.587
2017-10-23 10:20:00	2017-10-23 10:30:00	19.102730591652854	7.955481729035136	16.48468199240641	-5.466193892340091	18.346	2.178	0.537	1.48
2017-10-24 23:45:00	2017-10-24 23:55:00	20.333386459050764	-0.7744807443415125	20.20014598597099	2.19093432616828	34.009	-6.348	2.603	3.855
2017-10-25 19:35:00	2017-10-25 19:45:00	8.685642832301914	6.568190864584487	5.640316446531345	-0.6946414551763951	31.6	-3.24	2.043	3.36
2017-10-29 10:00:00	2017-10-29 10:10:00	23.222585130082567	8.910067861145713	20.720245003897716	-5.529033024239776	42.517	-1.778	1.742	1.943
2017-11-11 22:00:00	2017-11-11 22:10:00	14.647825057600109	11.320654902366527	9.184990507884345	1.4270230650348656	29.982	-3.708	1.492	2.542
2017-11-13 19:50:00	2017-11-13 20:00:00	18.483987024847192	4.211685903525573	17.697471745931384	3.2736667629135603	33.34	-2.877	0.63	0.918
2017-11-16 14:40:00	2017-11-16 14:50:00	18.970361498365303	5.434343402812718	18.175007470655267	-0.09245779888550017	25.6	-4.687	0.995	2.085
2017-11-17 15:55:00	2017-11-17 16:05:00	17.155516550944146	13.444781665832528	10.649840643981305	0.35869070614598586	41.085	-1.907	2.198	2.52
2017-11-17 17:55:00	2017-11-17 18:05:00	18.654427788971656	14.109427583207689	12.109650028411524	1.5053938902117405	22.329	-3.077	1.09	2.677
2017-12-07 07:55:00	2017-12-07 08:05:00	16.167603008263995	15.201192442683022	5.192459776256752	1.8309558614576253	36.954	-3.787	0.99	1.332
2017-12-07 08:40:00	2017-12-07 08:50:00	16.811192752058574	15.70200983713327	5.72710371081585	1.806223011173316	8.083	-3.947	0.243	1.802
2017-12-07 09:20:00	2017-12-07 09:30:00	17.354541561334727	16.116320124815875	6.180952492559675	1.7998258882848905	39.275	-4.062	1.16	1.473
2017-12-09 14:40:00	2017-12-09 14:50:00	7.1005851715747985	1.3015554528037179	6.90005222928468	1.0531594464722842	4.996	-2.887	0.247	2.815
2017-12-10 07:15:00	2017-12-10 07:25:00	19.028187790066138	17.636460768747906	6.597283796894292	2.738956951908655	20.67	-2.698	0.968	2.595
2017-12-12 23:45:00	2017-12-12 23:55:00	16.694971547237465	16.009696556283284	3.023488889684272	3.642714741352392	27.955	-2.997	2.927	5.505
2017-12-13 01:55:00	2017-12-13 02:05:00	18.38654398262415	17.39419554653526	4.311551309832204	4.112953901321923	9.664	-3.755	0.633	4.183
2017-12-14 14:00:00	2017-12-14 14:10:00	21.736125986663925	15.916841406555877	14.21416149116817	4.131528744443344	31.215	-2.125	1.627	2.715
2017-12-14 14:30:00	2017-12-14 14:40:00	21.49351657249289	15.638094525938675	14.089081086752026	4.349417270187114	31.528	-2.747	1.332	2.168
2017-12-14 15:00:00	2017-12-14 15:10:00	21.241286042443086	15.351452476573284	13.947699848007057	4.5809407542410945	39.485	-3.118	1.337	1.652
2017-12-14 15:35:00	2017-12-14 15:45:00	20.93457101393216	15.006874082463009	13.762836622577003	4.861314728748031	37.686	-2.933	1.057	1.372
2017-12-16 00:35:00	2017-12-16 00:45:00	20.41120924211825	19.213682584352615	4.567629031628935	5.1563444495656565	13.507	-3.398	0.655	2.643
2017-12-16 01:30:00	2017-12-16 01:40:00	20.922937961115913	19.603436234607944	5.06624089839443	5.273221693433038	12.788	-3.608	0.452	2.032
2017-12-16 02:30:00	2017-12-16 02:40:00	21.442463899367393	19.988350421994774	5.664083231815543	5.306789431278547	14.093	-3.308	0.683	2.795
2017-12-21 18:00:00	2017-12-21 18:10:00	21.56911803771551	20.533490224470928	3.9340378409527337	5.303361944558225	13.83	-0.01	0.585	2.338
2017-12-21 22:55:00	2017-12-21 23:05:00	23.555558843933472	22.019381102815057	4.802998972472586	6.851429424926622	38.421	-2.06	1.945	2.452
2017-12-21 23:55:00	2017-12-22 00:05:00	23.85975128206705	22.21892944736651	5.133116899636156	7.018371082975608	35.411	-2.822	1.373	1.922
2018-01-06 16:40:00	2018-01-06 16:50:00	10.578029498149247	7.852273664329893	5.855577553700333	3.9933833875618845	34.704	3.058	0.448	0.635
2018-01-10 00:20:00	2018-01-10 00:30:00	13.22280322552674	12.1021935501594	-5.240266913111618	0.9579214045911261	12.723	-3.242	0.817	3.54
2018-01-10 00:50:00	2018-01-10 01:00:00	13.770078538888209	12.676928372958365	-5.246880788261159	1.1744499662977923	15.577	-2.907	1.078	3.843
