Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2016-10-01/11:25:00	2016-10-01/11:35:00	126.201	-3.887
2016-10-01/11:55:00	2016-10-01/12:05:00	117.732	-3.49
2016-10-01/12:25:00	2016-10-01/12:35:00	110.189	-3.827
2016-10-01/16:25:00	2016-10-01/16:35:00	131.726	-0.98
2016-10-01/22:40:00	2016-10-01/22:50:00	107.734	-1.705
2016-10-01/23:55:00	2016-10-02/00:05:00	132.772	-1.482
2016-10-02/15:45:00	2016-10-02/15:55:00	83.883	-4.283
2016-10-02/16:55:00	2016-10-02/17:05:00	92.656	-4.93
2016-10-02/17:45:00	2016-10-02/17:55:00	81.593	-5.617
2016-10-02/18:15:00	2016-10-02/18:25:00	86.125	-4.948
2016-10-02/20:40:00	2016-10-02/20:50:00	126.68	-3.973
2016-10-03/11:50:00	2016-10-03/12:00:00	113.972	-4.08
2016-10-03/12:50:00	2016-10-03/13:00:00	94.84	-3.863
2016-10-03/15:20:00	2016-10-03/15:30:00	94.442	-4.678
2016-10-03/20:10:00	2016-10-03/20:20:00	50.076	-5.398
2016-10-03/22:50:00	2016-10-03/23:00:00	91.636	-3.622
2016-10-03/23:20:00	2016-10-03/23:30:00	117.229	-1.898
2016-10-03/23:50:00	2016-10-04/00:00:00	122.39	-0.308
2016-10-04/16:05:00	2016-10-04/16:15:00	108.926	-2.218
2016-10-04/17:05:00	2016-10-04/17:15:00	109.564	-3.04
2016-10-04/20:50:00	2016-10-04/21:00:00	96.449	-3.187
2016-10-05/00:15:00	2016-10-05/00:25:00	128.865	-3.852
2016-10-06/11:40:00	2016-10-06/11:50:00	47.75	-4.162
2016-10-06/13:25:00	2016-10-06/13:35:00	58.423	-3.92
2016-10-06/13:55:00	2016-10-06/14:05:00	65.691	-4.185
2016-10-07/01:45:00	2016-10-07/01:55:00	64.336	-2.158
2016-10-07/20:40:00	2016-10-07/20:50:00	46.405	-5.022
2016-10-07/22:55:00	2016-10-07/23:05:00	78.93	0.012
2016-10-07/23:35:00	2016-10-07/23:45:00	87.04	1.2
2016-10-08/00:10:00	2016-10-08/00:20:00	100.156	-0.147
2016-10-08/02:35:00	2016-10-08/02:45:00	61.518	-4.043
2016-10-08/03:05:00	2016-10-08/03:15:00	96.131	-2.79
2016-10-08/16:35:00	2016-10-08/16:45:00	134.264	-3.28
2016-10-08/19:40:00	2016-10-08/19:50:00	123.392	-3.56
2016-10-08/20:10:00	2016-10-08/20:20:00	127.927	-3.702
2016-10-08/22:05:00	2016-10-08/22:15:00	117.178	-3.912
2016-10-09/01:15:00	2016-10-09/01:25:00	128.599	-1.92
2016-10-09/01:45:00	2016-10-09/01:55:00	124.756	-2.54
2016-10-09/02:35:00	2016-10-09/02:45:00	100.842	-2.247
2016-10-09/13:45:00	2016-10-09/13:55:00	120.173	-3.55
2016-10-09/18:05:00	2016-10-09/18:15:00	125.231	-3.592
2016-10-09/18:35:00	2016-10-09/18:45:00	117.763	-3.375
2016-10-09/22:50:00	2016-10-09/23:00:00	73.994	-0.95
2016-10-09/23:35:00	2016-10-09/23:45:00	103.185	0.418
2016-10-10/00:05:00	2016-10-10/00:15:00	108.565	-3.357
2016-10-10/02:10:00	2016-10-10/02:20:00	101.21	-3.04
2016-10-10/03:10:00	2016-10-10/03:20:00	126.623	-1.147
2016-10-10/09:40:00	2016-10-10/09:50:00	106.195	-4.638
2016-10-10/10:15:00	2016-10-10/10:25:00	113.72	-4.973
2016-10-10/11:00:00	2016-10-10/11:10:00	123.405	-1.985
2016-10-10/11:30:00	2016-10-10/11:40:00	105.511	-2.578
2016-10-10/12:25:00	2016-10-10/12:35:00	126.69	-1.247
2016-10-10/13:10:00	2016-10-10/13:20:00	126.224	-2.112
2016-10-10/14:15:00	2016-10-10/14:25:00	134.555	-1.198
2016-10-10/16:55:00	2016-10-10/17:05:00	110.77	-1.507
2016-10-10/17:30:00	2016-10-10/17:40:00	119.753	-2.115
2016-10-10/18:00:00	2016-10-10/18:10:00	109.567	-2.24
2016-10-18/17:10:00	2016-10-18/17:20:00	66.436	3.857
2016-10-22/23:25:00	2016-10-22/23:35:00	75.326	-2.908
2016-10-23/00:35:00	2016-10-23/00:45:00	50.517	-2.808
2016-10-23/08:30:00	2016-10-23/08:40:00	66.295	2.172
2016-10-23/18:30:00	2016-10-23/18:40:00	111.03	-2.382
2016-10-23/19:45:00	2016-10-23/19:55:00	96.161	-4.095
2016-10-23/20:15:00	2016-10-23/20:25:00	102.438	-3.192
2016-10-23/21:40:00	2016-10-23/21:50:00	123.541	-2.852
2016-10-23/22:10:00	2016-10-23/22:20:00	130.542	-3.657
2016-10-24/09:55:00	2016-10-24/10:05:00	92.182	-5.937
2016-10-24/18:10:00	2016-10-24/18:20:00	126.862	-5.728
2016-10-24/20:25:00	2016-10-24/20:35:00	121.572	-3.642
2016-10-25/08:30:00	2016-10-25/08:40:00	118.461	-10.602
2016-10-25/09:00:00	2016-10-25/09:10:00	94.076	-10.672
2016-10-27/17:30:00	2016-10-27/17:40:00	81.854	-4.907
2016-10-27/18:00:00	2016-10-27/18:10:00	58.338	-3.56
2016-10-28/07:50:00	2016-10-28/08:00:00	111.834	0.487
2016-10-28/19:05:00	2016-10-28/19:15:00	69.004	-3.295
2016-10-28/19:45:00	2016-10-28/19:55:00	123.122	-4.502
2016-10-28/20:15:00	2016-10-28/20:25:00	122.186	-4.963
2016-10-28/21:35:00	2016-10-28/21:45:00	120.849	-5.277
2016-10-28/23:45:00	2016-10-28/23:55:00	127.233	-4.608
2016-10-29/09:30:00	2016-10-29/09:40:00	105.158	-2.163
2016-10-29/11:35:00	2016-10-29/11:45:00	76.664	-4.593
2016-10-29/17:05:00	2016-10-29/17:15:00	73.18	-5.275
2016-10-29/17:40:00	2016-10-29/17:50:00	107.787	-4.782
2016-10-29/18:10:00	2016-10-29/18:20:00	120.901	-5.258
2016-10-29/21:30:00	2016-10-29/21:40:00	55.153	-2.878
2016-10-30/07:45:00	2016-10-30/07:55:00	118.758	-0.488
2016-10-30/08:15:00	2016-10-30/08:25:00	126.017	0.082
2016-10-30/09:45:00	2016-10-30/09:55:00	82.312	-0.75
2016-10-30/13:30:00	2016-10-30/13:40:00	98.865	-3.072
2016-10-30/14:15:00	2016-10-30/14:25:00	90.97	-1.987
2016-10-30/14:45:00	2016-10-30/14:55:00	66.366	-1.778
2016-10-30/17:45:00	2016-10-30/17:55:00	78.794	-2.727
2016-10-30/20:20:00	2016-10-30/20:30:00	113.153	-3.752
2016-10-30/22:10:00	2016-10-30/22:20:00	83.249	-4.143
2016-10-30/22:45:00	2016-10-30/22:55:00	120.705	-4.21
2016-10-31/00:25:00	2016-10-31/00:35:00	99.326	-1.833
2016-10-31/12:00:00	2016-10-31/12:10:00	133.328	1.49
2016-10-31/15:15:00	2016-10-31/15:25:00	109.726	-1.058
2016-10-31/16:00:00	2016-10-31/16:10:00	93.631	-2.017
2016-10-31/18:05:00	2016-10-31/18:15:00	107.137	-3.142
2016-10-31/18:35:00	2016-10-31/18:45:00	115.582	-2.858
2016-10-31/19:20:00	2016-10-31/19:30:00	113.72	-2.877
2016-10-31/20:35:00	2016-10-31/20:45:00	101.705	-2.227
2016-10-31/23:10:00	2016-10-31/23:20:00	106.97	3.675
2016-11-01/09:40:00	2016-11-01/09:50:00	112.909	0.425
2016-11-01/13:00:00	2016-11-01/13:10:00	124.382	-4.402
2016-11-01/14:00:00	2016-11-01/14:10:00	124.884	-4.713
2016-11-01/14:30:00	2016-11-01/14:40:00	124.895	-5.52
2016-11-01/15:00:00	2016-11-01/15:10:00	116.168	-5.73
2016-11-01/15:55:00	2016-11-01/16:05:00	99.264	-5.962
2016-11-02/20:05:00	2016-11-02/20:15:00	98.816	-5.155
2016-11-03/22:00:00	2016-11-03/22:10:00	129.703	-0.747
2016-11-04/07:20:00	2016-11-04/07:30:00	74.694	-2.155
2016-11-04/07:50:00	2016-11-04/08:00:00	90.92	-2.095
2016-11-04/11:30:00	2016-11-04/11:40:00	68.687	-2.208
2016-11-04/12:35:00	2016-11-04/12:45:00	69.524	-2.775
2016-11-04/13:20:00	2016-11-04/13:30:00	75.961	-1.513
2016-11-04/14:30:00	2016-11-04/14:40:00	70.129	-3.355
2016-11-04/15:05:00	2016-11-04/15:15:00	58.08	-3.45
2016-11-04/21:00:00	2016-11-04/21:10:00	49.629	-4.847
2016-11-04/22:15:00	2016-11-04/22:25:00	63.217	-4.428
2016-11-04/22:45:00	2016-11-04/22:55:00	73.079	-3.808
