Start_str	End_str	Clang_avg	Bx_avg(nT)
2015-09-21 06:10:00	2015-09-21 06:20:00	45.31	-0.163
2015-09-21 06:40:00	2015-09-21 06:50:00	59.385	-0.19
2015-09-21 07:40:00	2015-09-21 07:50:00	48.259	-2.435
2015-09-23 07:55:00	2015-09-23 08:05:00	132.325	-4.83
2015-09-24 06:20:00	2015-09-24 06:30:00	86.715	-1.177
2015-09-24 17:55:00	2015-09-24 18:05:00	120.639	5.34
2015-09-24 18:45:00	2015-09-24 18:55:00	68.179	6.24
2015-09-26 07:55:00	2015-09-26 08:05:00	69.551	4.382
2015-10-03 05:55:00	2015-10-03 06:05:00	123.613	-3.085
2015-10-03 11:10:00	2015-10-03 11:20:00	90.907	-4.797
2015-10-03 11:55:00	2015-10-03 12:05:00	62.461	-5.645
2015-10-03 21:45:00	2015-10-03 21:55:00	72.91	-6.358
2015-10-05 08:20:00	2015-10-05 08:30:00	112.002	-3.342
2015-10-05 13:35:00	2015-10-05 13:45:00	73.01	-0.97
2015-10-05 14:40:00	2015-10-05 14:50:00	103.112	-2.655
2015-10-05 16:20:00	2015-10-05 16:30:00	114.788	-1.497
2015-10-05 17:45:00	2015-10-05 17:55:00	109.112	-3.36
2015-10-05 19:20:00	2015-10-05 19:30:00	76.226	-2.98
2015-10-05 19:50:00	2015-10-05 20:00:00	64.879	-2.193
2015-10-05 20:35:00	2015-10-05 20:45:00	79.636	-2.722
2015-10-06 19:15:00	2015-10-06 19:25:00	132.482	-1.687
2015-10-10 16:30:00	2015-10-10 16:40:00	83.361	-2.367
2015-10-10 17:00:00	2015-10-10 17:10:00	95.515	-2.483
2015-10-10 17:45:00	2015-10-10 17:55:00	74.344	-3.04
2015-10-11 03:45:00	2015-10-11 03:55:00	107.627	-0.752
2015-10-11 06:50:00	2015-10-11 07:00:00	100.626	-2.878
2015-10-11 07:20:00	2015-10-11 07:30:00	91.471	-2.293
2015-10-11 20:45:00	2015-10-11 20:55:00	86.772	-3.672
2015-10-12 13:35:00	2015-10-12 13:45:00	80.657	-4.855
2015-10-12 15:00:00	2015-10-12 15:10:00	81.72	-5.193
2015-10-12 15:35:00	2015-10-12 15:45:00	120.147	-1.195
2015-10-12 19:30:00	2015-10-12 19:40:00	84.217	-3.503
2015-10-13 06:05:00	2015-10-13 06:15:00	133.675	3.108
2015-10-13 18:55:00	2015-10-13 19:05:00	47.588	-5.828
2015-10-13 19:55:00	2015-10-13 20:05:00	125.544	-5.755
2015-10-14 05:35:00	2015-10-14 05:45:00	129.626	-3.758
2015-10-14 11:55:00	2015-10-14 12:05:00	75.173	-2.5
2015-10-14 18:55:00	2015-10-14 19:05:00	91.513	-3.613
2015-10-14 20:00:00	2015-10-14 20:10:00	72.681	-3.298
2015-10-15 04:30:00	2015-10-15 04:40:00	101.663	-2.543
2015-10-15 05:00:00	2015-10-15 05:10:00	106.768	-0.493
2015-10-15 05:40:00	2015-10-15 05:50:00	95.904	-0.022
2015-10-15 06:10:00	2015-10-15 06:20:00	105.823	0.692
2015-10-15 06:40:00	2015-10-15 06:50:00	113.021	-0.987
2015-10-15 07:10:00	2015-10-15 07:20:00	129.752	-0.033
2015-10-15 07:40:00	2015-10-15 07:50:00	126.527	1.397
2015-10-15 08:10:00	2015-10-15 08:20:00	109.874	1.753
2015-10-15 08:40:00	2015-10-15 08:50:00	113.394	-0.4
2015-10-15 09:10:00	2015-10-15 09:20:00	116.143	1.088
2015-10-15 10:05:00	2015-10-15 10:15:00	95.992	-0.275
2015-10-15 13:55:00	2015-10-15 14:05:00	88.448	0.738
2015-10-15 14:25:00	2015-10-15 14:35:00	93.642	2.638
2015-10-15 15:10:00	2015-10-15 15:20:00	104.604	3.125
2015-10-15 16:10:00	2015-10-15 16:20:00	109.539	4.362
2015-10-15 16:50:00	2015-10-15 17:00:00	95.653	4.828
2015-10-15 17:20:00	2015-10-15 17:30:00	108.819	4.09
2015-10-15 17:50:00	2015-10-15 18:00:00	106.136	4.338
2015-10-15 18:20:00	2015-10-15 18:30:00	116.036	4.718
2015-10-15 19:20:00	2015-10-15 19:30:00	72.454	1.353
2015-10-15 19:55:00	2015-10-15 20:05:00	62.397	-3.207
2015-10-15 20:25:00	2015-10-15 20:35:00	70.183	0.357
2015-10-16 06:10:00	2015-10-16 06:20:00	71.248	0.2
2015-10-16 06:40:00	2015-10-16 06:50:00	73.509	0.402
2015-10-16 08:10:00	2015-10-16 08:20:00	67.469	0.098
2015-10-17 16:10:00	2015-10-17 16:20:00	88.839	-3.243
2015-10-17 16:45:00	2015-10-17 16:55:00	122.937	-3.89
2015-10-17 17:15:00	2015-10-17 17:25:00	125.797	-3.135
2015-10-17 20:05:00	2015-10-17 20:15:00	67.099	0.933
2015-10-18 19:30:00	2015-10-18 19:40:00	92.996	-2.307
2015-10-19 03:00:00	2015-10-19 03:10:00	94.737	-1.925
2015-10-19 03:30:00	2015-10-19 03:40:00	86.538	-1.728
2015-10-19 04:00:00	2015-10-19 04:10:00	93.107	-1.078
2015-10-19 05:55:00	2015-10-19 06:05:00	88.473	-1.522
2015-10-19 06:50:00	2015-10-19 07:00:00	92.221	-2.397
2015-10-19 08:50:00	2015-10-19 09:00:00	68.868	-1.937
2015-10-19 10:00:00	2015-10-19 10:10:00	118.165	-1.99
2015-10-19 10:30:00	2015-10-19 10:40:00	62.227	-0.167
2015-10-19 11:00:00	2015-10-19 11:10:00	69.829	0.227
2015-10-19 12:10:00	2015-10-19 12:20:00	94.714	-2.1
2015-10-20 09:10:00	2015-10-20 09:20:00	81.158	0.415
2015-10-20 10:00:00	2015-10-20 10:10:00	61.523	2.673
2015-10-20 13:25:00	2015-10-20 13:35:00	123.085	-3.797
2015-10-20 14:15:00	2015-10-20 14:25:00	118.835	-3.955
2015-10-20 14:50:00	2015-10-20 15:00:00	133.299	-3.647
2015-10-20 16:25:00	2015-10-20 16:35:00	133.591	-2.553
2015-10-21 04:55:00	2015-10-21 05:05:00	126.289	3.698
2015-10-21 06:25:00	2015-10-21 06:35:00	100.51	5.502
2015-10-21 07:15:00	2015-10-21 07:25:00	80.023	5.285
2015-10-21 08:15:00	2015-10-21 08:25:00	58.206	4.308
2015-10-26 16:40:00	2015-10-26 16:50:00	55.113	-5.138
2015-10-26 17:40:00	2015-10-26 17:50:00	47.781	-5.425
2015-10-26 18:10:00	2015-10-26 18:20:00	53.556	-5.487
2015-10-27 14:35:00	2015-10-27 14:45:00	117.119	-3.318
2015-10-27 16:40:00	2015-10-27 16:50:00	119.659	-3.475
2015-10-27 17:40:00	2015-10-27 17:50:00	133.032	-3.547
2015-10-28 02:25:00	2015-10-28 02:35:00	107.12	-2.7
2015-10-28 10:25:00	2015-10-28 10:35:00	79.816	-3.467
2015-10-29 06:15:00	2015-10-29 06:25:00	56.413	-4.937
2015-10-29 06:45:00	2015-10-29 06:55:00	74.581	-5.003
2015-10-29 07:20:00	2015-10-29 07:30:00	129.733	-3.783
2015-10-29 10:50:00	2015-10-29 11:00:00	132.999	-2.857
2015-10-29 12:00:00	2015-10-29 12:10:00	128.332	-1.827
2015-10-29 12:30:00	2015-10-29 12:40:00	123.416	-2.61
2015-10-29 13:05:00	2015-10-29 13:15:00	97.125	-0.598
2015-10-29 14:00:00	2015-10-29 14:10:00	111.632	-1.795
2015-10-29 14:45:00	2015-10-29 14:55:00	91.984	-0.872
2015-10-29 16:05:00	2015-10-29 16:15:00	103.972	-3.233
2015-11-01 04:05:00	2015-11-01 04:15:00	115.91	-4.418
2015-11-01 18:25:00	2015-11-01 18:35:00	126.774	-3.813
2015-11-03 15:55:00	2015-11-03 16:05:00	76.028	-7.165
2015-11-03 16:25:00	2015-11-03 16:35:00	105.789	-7.168
2015-11-04 06:15:00	2015-11-04 06:25:00	134.712	-4.972
2015-11-04 08:35:00	2015-11-04 08:45:00	107.088	-2.593
2015-11-04 09:05:00	2015-11-04 09:15:00	129.246	-4.432
2015-11-04 09:35:00	2015-11-04 09:45:00	122.707	-2.577
2015-11-04 10:05:00	2015-11-04 10:15:00	115.727	-3.265
2015-11-04 10:40:00	2015-11-04 10:50:00	109.873	-3.138
2015-11-04 11:10:00	2015-11-04 11:20:00	119.125	-4.497
2015-11-04 11:40:00	2015-11-04 11:50:00	118.12	-5.395
2015-11-04 12:10:00	2015-11-04 12:20:00	126.18	-5.05
2015-11-04 13:25:00	2015-11-04 13:35:00	134.659	-6.752
2015-11-04 13:55:00	2015-11-04 14:05:00	127.518	-7.232
2015-11-06 02:00:00	2015-11-06 02:10:00	127.36	-4.305
