Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2019-10-18/16:55:00	2019-10-18/17:05:00	103.415	-3.253
2019-10-18/18:15:00	2019-10-18/18:25:00	77.511	-3.255
2019-10-18/18:45:00	2019-10-18/18:55:00	88.443	-1.933
2019-10-18/20:45:00	2019-10-18/20:55:00	121.325	-1.75
2019-10-25/09:15:00	2019-10-25/09:25:00	122.449	-2.843
2019-10-29/16:50:00	2019-10-29/17:00:00	127.191	-4.228
2019-11-01/05:10:00	2019-11-01/05:20:00	78.494	3.718
2019-11-01/05:45:00	2019-11-01/05:55:00	56.724	3.795
2019-11-01/06:25:00	2019-11-01/06:35:00	54.521	3.443
2019-11-04/15:55:00	2019-11-04/16:05:00	84.791	-0.882
2019-11-04/16:25:00	2019-11-04/16:35:00	71.602	-3.21
2019-11-05/00:45:00	2019-11-05/00:55:00	117.019	1.157
2019-11-05/18:50:00	2019-11-05/19:00:00	100.171	-1.162
2019-11-05/19:20:00	2019-11-05/19:30:00	96.551	-1.925
2019-11-05/21:35:00	2019-11-05/21:45:00	107.229	2.073
2019-11-05/22:05:00	2019-11-05/22:15:00	108.698	2.052
2019-11-06/00:25:00	2019-11-06/00:35:00	110.669	0.663
2019-11-06/01:10:00	2019-11-06/01:20:00	126.619	1.718
2019-11-06/03:35:00	2019-11-06/03:45:00	86.807	-3.202
2019-11-06/07:55:00	2019-11-06/08:05:00	86.119	-2.198
2019-11-08/12:40:00	2019-11-08/12:50:00	98.008	-3.823
2019-11-08/13:20:00	2019-11-08/13:30:00	108.047	-3.852
2019-11-08/13:50:00	2019-11-08/14:00:00	100.021	-3.908
2019-11-08/14:20:00	2019-11-08/14:30:00	115.984	-3.612
2019-11-08/14:50:00	2019-11-08/15:00:00	122.014	-3.158
2019-11-08/15:20:00	2019-11-08/15:30:00	113.542	-2.99
2019-11-08/15:50:00	2019-11-08/16:00:00	107.766	-3.142
2019-11-08/16:20:00	2019-11-08/16:30:00	128.361	-2.498
2019-11-08/19:15:00	2019-11-08/19:25:00	134.561	-1.34
2019-11-09/05:35:00	2019-11-09/05:45:00	68.676	-2.583
2019-11-09/11:25:00	2019-11-09/11:35:00	92.651	-1.535
2019-11-09/12:00:00	2019-11-09/12:10:00	123.614	0.618
2019-11-09/15:05:00	2019-11-09/15:15:00	126.846	0.698
2019-11-09/15:55:00	2019-11-09/16:05:00	98.596	-2.923
2019-11-09/16:50:00	2019-11-09/17:00:00	58.77	-2.53
2019-11-09/17:20:00	2019-11-09/17:30:00	78.183	-1.883
2019-11-09/17:50:00	2019-11-09/18:00:00	81.461	-1.77
2019-11-09/18:35:00	2019-11-09/18:45:00	65.231	-2.017
2019-11-09/19:15:00	2019-11-09/19:25:00	113.233	-0.868
2019-11-16/04:00:00	2019-11-16/04:10:00	86.335	-1.485
2019-11-16/05:25:00	2019-11-16/05:35:00	98.819	-1.527
2019-11-16/07:30:00	2019-11-16/07:40:00	86.664	-1.035
2019-11-16/09:25:00	2019-11-16/09:35:00	126.097	-1.548
2019-11-16/13:15:00	2019-11-16/13:25:00	126.057	-0.07
2019-11-16/14:40:00	2019-11-16/14:50:00	96.538	-1.675
2019-11-20/08:10:00	2019-11-20/08:20:00	52.757	-0.307
2019-11-22/04:50:00	2019-11-22/05:00:00	112.25	-3.922
2019-11-22/05:40:00	2019-11-22/05:50:00	106.686	-3.332
2019-11-22/09:50:00	2019-11-22/10:00:00	122.235	-0.768
2019-11-22/14:45:00	2019-11-22/14:55:00	91.447	-3.272
2019-11-22/15:15:00	2019-11-22/15:25:00	126.18	-2.767
2019-11-22/16:55:00	2019-11-22/17:05:00	113.207	-2.578
2019-11-22/17:45:00	2019-11-22/17:55:00	91.824	-1.195
2019-11-22/18:30:00	2019-11-22/18:40:00	108.959	-2.077
2019-11-22/19:20:00	2019-11-22/19:30:00	91.1	0.203
2019-11-22/19:50:00	2019-11-22/20:00:00	107.768	-2.012
2019-11-22/20:20:00	2019-11-22/20:30:00	107.267	-1.74
2019-11-22/20:50:00	2019-11-22/21:00:00	112.737	-0.932
2019-11-22/21:30:00	2019-11-22/21:40:00	106.87	-0.7
2019-11-23/03:40:00	2019-11-23/03:50:00	102.093	-0.948
2019-11-23/08:20:00	2019-11-23/08:30:00	121.59	-1.943
2019-11-23/08:50:00	2019-11-23/09:00:00	105.154	0.843
2019-11-23/09:20:00	2019-11-23/09:30:00	116.736	-0.578
