Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2017-09-01/11:15:00	2017-09-01/11:25:00	53.873	-6.36
2017-09-01/13:55:00	2017-09-01/14:05:00	86.209	-5.553
2017-09-01/14:25:00	2017-09-01/14:35:00	86.505	-6.612
2017-09-01/14:55:00	2017-09-01/15:05:00	101.862	-6.862
2017-09-01/15:25:00	2017-09-01/15:35:00	102.575	-6.475
2017-09-02/01:40:00	2017-09-02/01:50:00	122.52	-2.825
2017-09-02/02:20:00	2017-09-02/02:30:00	101.325	-3.132
2017-09-02/03:40:00	2017-09-02/03:50:00	125.854	5.545
2017-09-03/08:35:00	2017-09-03/08:45:00	87.791	-2.222
2017-09-04/03:35:00	2017-09-04/03:45:00	68.215	-2.888
2017-09-04/16:55:00	2017-09-04/17:05:00	103.745	-5.52
2017-09-04/17:25:00	2017-09-04/17:35:00	116.848	-0.893
2017-09-05/13:10:00	2017-09-05/13:20:00	67.865	-2.525
2017-09-05/13:45:00	2017-09-05/13:55:00	62.736	-1.405
2017-09-05/20:05:00	2017-09-05/20:15:00	113.787	-2.877
2017-09-05/22:20:00	2017-09-05/22:30:00	73.558	-4.317
2017-09-05/22:50:00	2017-09-05/23:00:00	62.038	-4.493
2017-09-12/16:50:00	2017-09-12/17:00:00	119.37	-2.657
2017-09-13/04:10:00	2017-09-13/04:20:00	89.054	4.84
2017-09-15/18:30:00	2017-09-15/18:40:00	115.885	-4.367
2017-09-15/22:40:00	2017-09-15/22:50:00	124.655	-4.23
2017-09-15/23:25:00	2017-09-15/23:35:00	119.645	-4.49
2017-09-16/00:50:00	2017-09-16/01:00:00	106.861	-1.727
2017-09-16/02:15:00	2017-09-16/02:25:00	115.865	-3.375
2017-09-16/11:30:00	2017-09-16/11:40:00	119.328	-3.715
2017-09-16/12:00:00	2017-09-16/12:10:00	113.909	-2.48
2017-09-19/06:00:00	2017-09-19/06:10:00	77.309	-4.338
2017-09-19/06:55:00	2017-09-19/07:05:00	48.254	-4.153
2017-09-19/10:30:00	2017-09-19/10:40:00	129.777	-2.598
2017-09-19/11:15:00	2017-09-19/11:25:00	84.93	-4.102
2017-09-19/12:45:00	2017-09-19/12:55:00	98.356	-3.91
2017-09-19/13:15:00	2017-09-19/13:25:00	85.949	-3.77
2017-09-19/14:50:00	2017-09-19/15:00:00	94.788	-3.122
2017-09-19/16:05:00	2017-09-19/16:15:00	95.575	-2.093
2017-09-19/18:20:00	2017-09-19/18:30:00	131.81	0.257
2017-09-19/18:50:00	2017-09-19/19:00:00	131.122	-0.272
2017-09-19/23:10:00	2017-09-19/23:20:00	119.715	-1.417
2017-09-19/23:40:00	2017-09-19/23:50:00	121.826	-2.208
2017-09-20/00:10:00	2017-09-20/00:20:00	115.184	-1.97
2017-09-21/02:05:00	2017-09-21/02:15:00	89.331	-2.807
2017-09-21/02:35:00	2017-09-21/02:45:00	106.597	-3.372
2017-09-21/03:50:00	2017-09-21/04:00:00	111.643	-2.103
2017-09-21/04:25:00	2017-09-21/04:35:00	86.63	-2.717
2017-09-21/04:55:00	2017-09-21/05:05:00	105.142	-3.032
2017-09-21/08:35:00	2017-09-21/08:45:00	134.039	-2.752
2017-09-21/14:05:00	2017-09-21/14:15:00	133.55	-1.243
2017-09-21/16:10:00	2017-09-21/16:20:00	62.943	-3.75
2017-09-21/17:15:00	2017-09-21/17:25:00	65.323	-2.302
2017-09-21/19:25:00	2017-09-21/19:35:00	117.595	-1.167
2017-09-22/04:50:00	2017-09-22/05:00:00	92.614	-1.678
2017-09-22/06:35:00	2017-09-22/06:45:00	134.722	-2.097
2017-09-22/07:05:00	2017-09-22/07:15:00	125.363	-3.077
2017-09-22/07:35:00	2017-09-22/07:45:00	102.018	-2.93
2017-09-22/08:05:00	2017-09-22/08:15:00	81.167	-3.547
2017-09-22/08:35:00	2017-09-22/08:45:00	56.528	-3.822
2017-09-22/09:55:00	2017-09-22/10:05:00	66.529	-3.282
2017-09-22/12:25:00	2017-09-22/12:35:00	114.402	-3.027
2017-09-22/12:55:00	2017-09-22/13:05:00	112.002	-2.968
2017-09-22/13:25:00	2017-09-22/13:35:00	81.397	-3.153
2017-09-22/13:55:00	2017-09-22/14:05:00	105.94	-2.652
2017-09-22/14:25:00	2017-09-22/14:35:00	122.984	-2.663
2017-09-22/18:30:00	2017-09-22/18:40:00	132.345	-1.64
2017-09-22/23:25:00	2017-09-22/23:35:00	125.206	-1.425
2017-09-23/20:10:00	2017-09-23/20:20:00	126.698	-2.252
