Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2020-10-13/22:45:00	2020-10-13/22:55:00	296.001	2.545	-3.008	1.402
2020-10-13/23:45:00	2020-10-13/23:55:00	309.847	2.932	-2.218	1.807
2020-10-14/00:40:00	2020-10-14/00:50:00	314.229	3.16	-2.233	2.028
2020-10-14/04:35:00	2020-10-14/04:45:00	290.841	-2.327	-4.475	1.73
2020-10-14/05:10:00	2020-10-14/05:20:00	271.555	-3.025	-3.898	0.143
2020-10-14/06:45:00	2020-10-14/06:55:00	307.538	-1.677	-3.765	2.883
2020-10-14/07:15:00	2020-10-14/07:25:00	300.918	-1.388	-3.938	2.342
2020-10-14/07:45:00	2020-10-14/07:55:00	304.864	-2.827	-3.54	2.468
2020-10-14/09:05:00	2020-10-14/09:15:00	291.757	-2.995	-3.103	1.248
2020-10-14/09:35:00	2020-10-14/09:45:00	299.839	-1.552	-3.49	2.027
2020-10-16/02:35:00	2020-10-16/02:45:00	276.675	0.535	-5.83	0.677
2020-10-16/03:05:00	2020-10-16/03:15:00	284.28	0.553	-5.485	1.392
2020-10-17/07:50:00	2020-10-17/08:00:00	256.196	2.527	-4.927	-1.183
2020-10-17/08:35:00	2020-10-17/08:45:00	253.627	1.908	-4.928	-1.447
2020-10-17/09:55:00	2020-10-17/10:05:00	289.574	0.728	-4.872	1.733
2020-10-17/11:00:00	2020-10-17/11:10:00	264.764	2.855	-5.715	-0.532
2020-10-17/11:30:00	2020-10-17/11:40:00	272.795	1.693	-6.142	0.323
2020-10-17/12:30:00	2020-10-17/12:40:00	282.727	0.783	-7.838	1.797
2020-10-17/13:05:00	2020-10-17/13:15:00	279.813	2.487	-8.203	1.423
2020-10-17/13:35:00	2020-10-17/13:45:00	296.683	1.06	-7.618	3.828
2020-10-17/14:05:00	2020-10-17/14:15:00	297.171	0.635	-7.372	3.788
2020-10-17/15:20:00	2020-10-17/15:30:00	298.967	-0.542	-7.025	3.873
2020-10-17/16:15:00	2020-10-17/16:25:00	293.996	0.932	-7.042	3.14
2020-10-17/16:45:00	2020-10-17/16:55:00	294.257	0.23	-6.802	3.065
2020-10-17/17:15:00	2020-10-17/17:25:00	288.825	2.163	-6.22	2.122
2020-10-17/17:45:00	2020-10-17/17:55:00	282.059	3.395	-5.927	1.265
2020-10-17/18:15:00	2020-10-17/18:25:00	272.705	2.67	-6.315	0.23
2020-10-17/20:40:00	2020-10-17/20:50:00	281.824	-1.655	-6.113	1.273
2020-10-21/07:30:00	2020-10-21/07:40:00	243.627	2.148	-8.96	-4.47
2020-10-21/08:45:00	2020-10-21/08:55:00	252.358	2.272	-8.875	-2.84
2020-10-23/01:10:00	2020-10-23/01:20:00	273.009	1.322	-5.483	0.22
2020-10-23/03:00:00	2020-10-23/03:10:00	240.806	-3.993	-2.775	-1.537
2020-10-23/03:30:00	2020-10-23/03:40:00	262.448	-2.988	-3.975	-0.525
2020-10-23/04:00:00	2020-10-23/04:10:00	261.699	-3.58	-3.113	-0.37
2020-10-23/05:40:00	2020-10-23/05:50:00	267.142	-3.962	-3.007	-0.142
2020-10-23/06:10:00	2020-10-23/06:20:00	242.812	-4.172	-2.453	-1.275
2020-10-23/06:40:00	2020-10-23/06:50:00	237.161	-4.29	-2.327	-1.505
2020-10-23/07:10:00	2020-10-23/07:20:00	243.255	-4.368	-2.248	-1.135
2020-10-23/07:40:00	2020-10-23/07:50:00	246.371	-4.462	-2.078	-0.912
2020-10-31/11:15:00	2020-10-31/11:25:00	251.21	2.46	-3.832	-1.277
2020-10-31/13:30:00	2020-10-31/13:40:00	231.202	2.973	-4.16	-3.343
2020-10-31/14:05:00	2020-10-31/14:15:00	233.222	2.988	-3.893	-2.912
2020-10-31/15:50:00	2020-10-31/16:00:00	274.713	-1.033	-5.058	0.415
2020-10-31/16:35:00	2020-10-31/16:45:00	286.206	-1.547	-4.028	1.143
2020-10-31/17:05:00	2020-10-31/17:15:00	297.213	-2.578	-3.553	1.827
2020-10-31/17:35:00	2020-10-31/17:45:00	293.458	-2.383	-3.702	1.607
2020-10-31/18:05:00	2020-10-31/18:15:00	301.946	-2.77	-2.877	1.778
2020-10-31/18:35:00	2020-10-31/18:45:00	292.951	-2.21	-3.262	1.382
2020-10-31/19:20:00	2020-10-31/19:30:00	314.236	-2.928	-2.19	2.128
2020-10-31/19:50:00	2020-10-31/20:00:00	313.681	-2.86	-2.148	2.047
2020-10-31/20:20:00	2020-10-31/20:30:00	310.276	-2.598	-2.287	1.932
2020-10-31/20:50:00	2020-10-31/21:00:00	303.11	-2.252	-2.527	1.602
2020-10-31/22:10:00	2020-10-31/22:20:00	291.045	-0.193	-2.903	1.118
2020-11-03/23:05:00	2020-11-03/23:15:00	242.917	-2.128	-2.942	-1.495
2020-11-06/12:40:00	2020-11-06/12:50:00	282.868	4.263	-2.135	0.55
2020-11-07/05:00:00	2020-11-07/05:10:00	284.764	-0.405	-5.653	1.478
2020-11-07/15:35:00	2020-11-07/15:45:00	255.556	3.8	-1.432	-0.323
2020-11-07/16:05:00	2020-11-07/16:15:00	256.174	3.12	-2.138	-0.522
2020-11-07/17:35:00	2020-11-07/17:45:00	268.049	2.278	-4.682	-0.143
2020-11-07/18:10:00	2020-11-07/18:20:00	292.702	2.837	-3.048	1.277
2020-11-09/13:35:00	2020-11-09/13:45:00	290.134	1.273	-2.093	0.743
2020-11-09/14:05:00	2020-11-09/14:15:00	276.348	1.16	-2.42	0.27
2020-11-09/14:35:00	2020-11-09/14:45:00	263.977	1.115	-2.523	-0.26
2020-11-09/15:55:00	2020-11-09/16:05:00	269.583	0.877	-2.223	0.005
