Start_str	End_str	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2015-09-01 00:25:00	2015-09-01 00:35:00	270.271	3.502	-3.177	0.023
2015-09-01 08:55:00	2015-09-01 09:05:00	284.483	1.962	-4.547	1.157
2015-09-01 10:50:00	2015-09-01 11:00:00	260.121	3.143	-3.738	-0.73
2015-09-01 12:45:00	2015-09-01 12:55:00	299.448	3.513	-3.783	2.15
2015-09-01 19:30:00	2015-09-01 19:40:00	251.441	3.822	-3.078	-1.018
2015-09-01 20:00:00	2015-09-01 20:10:00	265.987	3.642	-3.343	-0.212
2015-09-02 13:45:00	2015-09-02 13:55:00	289.894	3.627	-2.463	0.912
2015-09-03 21:25:00	2015-09-03 21:35:00	309.224	0.765	-6.775	5.522
2015-09-07 10:10:00	2015-09-07 10:20:00	302.859	-2.713	-5.06	3.165
2015-09-10 00:40:00	2015-09-10 00:50:00	270.522	-5.772	-2.552	0.06
2015-09-10 09:25:00	2015-09-10 09:35:00	301.832	2.05	-4.9	3.035
2015-09-10 09:55:00	2015-09-10 10:05:00	298.924	1.463	-5.46	2.997
2015-09-10 13:15:00	2015-09-10 13:25:00	266.773	-7.77	-2.152	-0.032
2015-09-10 14:20:00	2015-09-10 14:30:00	257.378	-4.545	-5.767	-1.267
2015-09-12 14:25:00	2015-09-12 14:35:00	290.949	-3.135	-1.257	0.488
2015-09-16 07:45:00	2015-09-16 07:55:00	237.762	-3.8	-2.002	-1.122
2015-09-16 11:15:00	2015-09-16 11:25:00	230.094	-3.472	-2.312	-1.927
2015-09-19 07:35:00	2015-09-19 07:45:00	232.695	2.952	-6.687	-5.168
2015-09-19 08:05:00	2015-09-19 08:15:00	247.23	2.373	-8.46	-3.525
2015-09-19 09:00:00	2015-09-19 09:10:00	256.802	1.25	-7.892	-1.9
2015-09-19 09:30:00	2015-09-19 09:40:00	261.331	1.278	-7.832	-1.2
2015-09-22 13:20:00	2015-09-22 13:30:00	274.292	4.08	-3.912	0.277
2015-09-22 13:50:00	2015-09-22 14:00:00	288.886	4.768	-3.267	1.103
2015-09-22 14:20:00	2015-09-22 14:30:00	274.657	4.14	-1.87	0.178
2015-09-23 13:50:00	2015-09-23 14:00:00	312.52	6.992	-3.957	3.622
2015-09-23 18:15:00	2015-09-23 18:25:00	303.233	4.085	-5.025	3.357
2015-09-23 19:15:00	2015-09-23 19:25:00	299.633	2.123	-6.922	3.938
2015-09-23 19:45:00	2015-09-23 19:55:00	299.504	0.507	-7.428	4.207
2015-09-23 23:15:00	2015-09-23 23:25:00	301.678	-0.2	-5.71	3.508
2015-09-24 09:20:00	2015-09-24 09:30:00	291.772	5.753	-2.628	1.132
2015-09-24 11:50:00	2015-09-24 12:00:00	281.321	4.693	-4.375	0.887
2015-09-24 12:45:00	2015-09-24 12:55:00	295.484	4.632	-3.272	1.667
2015-09-24 13:25:00	2015-09-24 13:35:00	295.804	5.168	-3.157	1.523
2015-09-24 15:20:00	2015-09-24 15:30:00	284.137	1.577	-5.468	1.4
2015-09-24 21:00:00	2015-09-24 21:10:00	277.975	2.157	-6.328	0.905
2015-09-24 21:30:00	2015-09-24 21:40:00	277.203	2.523	-6.132	0.775
2015-09-24 22:00:00	2015-09-24 22:10:00	272.128	2.033	-6.437	0.242
2015-09-25 16:55:00	2015-09-25 17:05:00	306.01	-0.563	-4.642	3.392
2015-09-25 19:25:00	2015-09-25 19:35:00	291.813	2.915	-3.132	1.288
2015-09-25 20:00:00	2015-09-25 20:10:00	264.387	4.507	-2.057	-0.195
2015-09-25 20:45:00	2015-09-25 20:55:00	312.615	3.667	-2.47	2.3
2015-09-25 21:15:00	2015-09-25 21:25:00	283.434	2.403	-4.115	0.935
2015-09-25 21:45:00	2015-09-25 21:55:00	273.959	2.422	-4.303	0.307
2015-09-25 22:25:00	2015-09-25 22:35:00	278.39	1.142	-5.03	0.682
2015-09-25 22:55:00	2015-09-25 23:05:00	280.364	1.877	-5.193	1.047
2015-09-26 06:10:00	2015-09-26 06:20:00	313.987	1.197	-2.44	2.383
2015-09-26 08:50:00	2015-09-26 09:00:00	299.096	3.383	-3.05	1.657
2015-09-26 09:20:00	2015-09-26 09:30:00	303.85	4.198	-2.122	1.44
2015-09-26 22:50:00	2015-09-26 23:00:00	276.998	2.383	-3.228	0.368
2015-09-27 09:25:00	2015-09-27 09:35:00	298.781	3.287	-2.403	1.303
2015-09-27 09:55:00	2015-09-27 10:05:00	297.627	1.502	-3.957	1.987
2015-09-27 10:50:00	2015-09-27 11:00:00	300.718	1.888	-3.975	2.395
2015-09-27 11:35:00	2015-09-27 11:45:00	289.33	0.535	-4.593	1.667
2015-09-27 12:50:00	2015-09-27 13:00:00	311.558	1.238	-2.927	2.572
2015-09-27 14:30:00	2015-09-27 14:40:00	313.143	0.402	-3.05	2.835
2015-09-27 15:00:00	2015-09-27 15:10:00	311.79	0.785	-3.747	3.382
2015-09-27 16:10:00	2015-09-27 16:20:00	277.726	1.475	-4.482	0.617
2015-09-27 16:40:00	2015-09-27 16:50:00	290.767	0.797	-4.095	1.587
2015-09-27 18:50:00	2015-09-27 19:00:00	311.216	-0.257	-3.592	3.143
2015-09-27 19:35:00	2015-09-27 19:45:00	268.498	1.265	-5.14	-0.12
2015-09-27 20:30:00	2015-09-27 20:40:00	302.934	0.608	-3.73	2.403
2015-09-28 07:10:00	2015-09-28 07:20:00	302.778	1.248	-3.952	2.573
2015-09-28 07:40:00	2015-09-28 07:50:00	300.782	0.447	-4.378	2.595
