Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	gseIMFBx_avg(nT)	gseIMFBy_avg(nT)	gseIMFBz_avg(nT)	Shock_Ang(deg)	Jx_avg(uA/m2)	Jy_avg	Jz_avg	Jmag_avg	divB_avg	Jx_med(uA/m2)	Jy_med	Jz_med	Jmag_med	divB_med	Jx_std(uA/m2)	Jy_std	Jz_std	Jmag_std	divB_std	mms1Bx_avg(nT)	mms1By_avg	mms1Bz_avg	mms1Bmag_avg	mms1Bx_med(nT)	mms1By_med	mms1Bz_med	mms1Bmag_med	mms1Bx_std(nT)	mms1By_std	mms1Bz_std	mms1Bmag_std
2015-09-08 12:10:00	2015-09-08 12:20:00	11.12072309953514	4.488950871005165	8.626895377710506	-5.393964728498134	45.916	13.853	3.885	15.222	54.296	-0.0011465328246303	0.0093946345309573	-0.0061010241268346	0.0946308024022353	-0.0016083253979891	0.0012011613139209	0.011632834683385	-0.0237304389848164	0.0856698587724122	-0.0015337044891721	0.0414116075446039	0.0532109584234065	0.0703067743967652	0.025713367913149	0.0183183191762582	18.183521	29.068678	52.300705	67.339195	13.861108	37.46177	53.873623	67.327995	16.250065	18.479996	5.799803	3.9543755
2015-09-08 12:40:00	2015-09-08 12:50:00	11.333825918101596	4.30512457804653	8.918839147101663	-5.511278789425879	62.535	8.827	9.565	15.845	72.868	0.0005610796648097	-0.0020180174982517	0.0098347846544282	0.0902694835752554	-0.0016737150501695	0.0062036436954467	-0.003263374786341	0.0333280202084062	0.08716932206668	-0.0017872326208207	0.0366043475098267	0.0516506282164074	0.0658075643241633	0.0170537885326921	0.013704021619387	3.2422936	42.74662	50.846912	67.02102	3.3141332	42.83531	51.44481	67.96193	6.1234264	5.06271	4.1716733	3.4506721
2015-09-08 13:10:00	2015-09-08 13:20:00	11.51568317389975	4.106717413663723	9.19755563196698	-5.581140072816546	62.707	8.698	9.562	15.378	72.876	-0.0058043702094317	-0.0110874295298958	-0.0022298757515873	0.0923199732210547	0.0013236794720238	-0.0016542385298346	-0.022507158627845	-0.0305020254887325	0.0868506262525838	0.0021137418315023	0.0334677989915955	0.0545345447244624	0.0676795822750663	0.0176989460706992	0.014692131834721	3.4627833	39.9833	46.351696	62.119987	2.9835029	41.015846	46.205902	62.369564	6.076805	5.500771	7.8309035	5.3619423
2015-09-08 13:40:00	2015-09-08 13:50:00	11.66715858856724	3.895045234361577	9.462632413073628	-5.604287120117547	64.378	10.605	9.467	13.903	66.863	-0.0069109617578781	0.0070063529382003	0.0026763370227883	0.0952761830384018	0.0060683008067493	-0.0076907104786401	0.0119894837637785	0.029997678112813	0.0885947455908462	0.0060820805692201	0.0444235603187044	0.0557847013877351	0.0665525224637011	0.0232612546092376	0.0202217361132989	1.4658903	36.796257	38.568645	54.01311	0.69392425	38.044453	39.102337	55.77068	6.4305654	7.527202	6.56944	8.210207
2015-09-08 14:10:00	2015-09-08 14:20:00	11.788945122400632	3.6712682679877218	9.7127149271208	-5.582320577248353	77.515	13.347	9.945	8.898	56.371	0.0001878643273194	-0.0186842997691722	-0.010523656756673	0.0898284878801743	0.0061846139376846	0.0014868581239724	-0.028274735926265	-0.0326668916532328	0.0841154987649931	0.0039023424550911	0.0464265661001962	0.0489316635131208	0.0577922202057831	0.0167452356774789	0.0131303354018546	-6.7633877	36.446762	27.722813	46.79769	-6.7105975	37.13962	28.452848	48.828243	4.3628554	5.582024	7.6634493	7.846167
2015-09-08 14:40:00	2015-09-08 14:50:00	11.88158313880274	3.436422315546938	9.945623041713256	-5.517752271889299	86.57	13.357	11.327	6.937	57.173	-0.000500463058387	-0.0130604390675945	-0.0182461620407108	0.0891119472921918	0.0021689806898896	0.019645324788676	-0.0316602289590648	-0.0371447117286029	0.0807304613137032	0.0022225507940957	0.051357177011584	0.0487402536053283	0.0536687801471975	0.0213616180454522	0.0180801340624731	-13.769522	36.823578	22.766428	45.77055	-13.834217	38.994385	23.333878	48.605064	5.798289	6.5922136	4.50334	8.142494
2015-09-08 15:15:00	2015-09-08 15:25:00	11.95334872122973	3.1496908646679955	10.191809595239606	-5.393222707274854	84.82	13.093	10.512	6.55	55.743	-0.0009106780206278	-0.0132401630848501	-0.0064341480747372	0.0994665157797678	-0.0006184598742373	0.0051245690133789	-0.0268865186346081	-0.0072814902486859	0.0946811869593752	0.0020250042255958	0.049751304487991	0.0662164400621781	0.05758164412686	0.0223471860906176	0.0160112472465766	-11.4685335	34.812057	23.15536	44.118412	-11.400018	36.8506	22.10875	46.0449	6.5253625	8.005987	7.8659005	10.084219
2015-09-08 17:20:00	2015-09-08 17:30:00	11.894316052494323	2.032664665283736	10.764388590621882	-4.63342353626679	60.389	12.67	7.58	9.362	53.794	-0.0153815473796922	0.0018286683663488	0.0154934743182759	0.0951511727215322	-0.00562255533477	-0.018039386381984	-0.0048333174000024	0.0365216411809309	0.0900259193739849	-0.0063282531920046	0.0621592483222234	0.0415199151519479	0.0597837495446241	0.0242489240952906	0.0180161432183734	1.2203003	25.892895	45.259563	52.463234	0.6629603	27.114784	46.539658	54.54679	4.250191	4.6644874	5.3176312	6.0055842
2015-09-08 17:50:00	2015-09-08 18:00:00	11.8065330893931	1.7469937104579902	10.811258043365212	-4.41096823868604	64.561	11.668	9.272	9.468	59.612	0.0022264539917334	-0.0082062510009099	-0.0084284792550143	0.1204459985190293	-0.0007317146589019	0.0007168235104393	-0.0213610739859509	-0.0554273297824523	0.1049260745549054	0.0018278409997898	0.0349496126117097	0.0643073525105393	0.1077167229715495	0.0509500124879897	0.0317338570597537	3.3196719	24.334948	46.94856	54.865604	3.224714	25.638657	47.70096	55.49393	9.355149	9.96056	6.0934205	4.5830417
2015-09-20 07:05:00	2015-09-20 07:15:00	8.395356279644185	6.3335164543606295	4.891773265182079	-2.53690221633814	123.861	-9.413	8.612	-0.953	35.368	-0.0089303985314141	0.0022285655533876	-0.0039848126313813	0.1977016908806671	0.0128410044058252	-0.0059621798820842	0.0134937504385223	-0.0036926166114526	0.1720766779976362	0.0048473286873673	0.110030361480208	0.1341492254712832	0.1318684424796198	0.0922313392562377	0.0554700129635664	-13.992911	52.487118	-32.417683	76.22523	-14.093191	50.811096	-48.35355	77.405136	6.4545794	22.326694	36.792183	9.226421
