Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	gseIMFBx_avg(nT)	gseIMFBy_avg(nT)	gseIMFBz_avg(nT)	Shock_Ang(deg)	Jx_avg(uA/m2)	Jy_avg	Jz_avg	Jmag_avg	divB_avg	Jx_med(uA/m2)	Jy_med	Jz_med	Jmag_med	divB_med	Jx_std(uA/m2)	Jy_std	Jz_std	Jmag_std	divB_std	mms1Bx_avg(nT)	mms1By_avg	mms1Bz_avg	mms1Bmag_avg	mms1Bx_med(nT)	mms1By_med	mms1Bz_med	mms1Bmag_med	mms1Bx_std(nT)	mms1By_std	mms1Bz_std	mms1Bmag_std
2015-10-01 15:00:00	2015-10-01 15:10:00	11.86757275546106	5.9092045561818445	8.85962207082464	-5.2369501315749085	242.07	0.212	-5.662	-8.173	86.541	-0.0030591979404133	-0.0201735949085042	-0.0058104081811091	0.0970388313340072	-0.0031955063583665	0.0039521147931377	-0.0356257078405219	-0.0022998034783093	0.0925015384879087	-0.0027794431106568	0.0411325110883859	0.0577043643172924	0.0667839410271498	0.0227008940121108	0.0120476037125894	3.3234265	-27.790936	-23.384842	36.728157	3.4547403	-27.30758	-23.418888	36.286636	2.942378	4.360793	3.218152	4.3937407
2015-10-01 15:30:00	2015-10-01 15:40:00	11.766317921799548	5.618471574173495	8.995278583504023	-5.095275913621978	243.791	0.688	-6.168	-8.113	83.036	-0.0136115093870572	-0.0142977329685087	-0.0225865209624446	0.0988935221971705	-0.0037212027263936	-0.0089187605177486	-0.0173135047963971	-0.0457057473388028	0.09286820023195	-0.0038225563337916	0.0425856733632253	0.0559662009252933	0.0659331784701569	0.0203189516817333	0.0068276038620354	-0.16568919	-32.4798	-30.007885	44.3662	-0.024397042	-32.36514	-30.127697	43.718025	2.272343	3.3805995	2.8458276	3.4306407
2015-10-17 11:55:00	2015-10-17 12:05:00	12.00470253594554	8.882044424519847	6.583804127686445	-4.6769932480353535	266.403	3.707	-5.415	-3.723	60.131	0.0048072144805403	-0.0005026779786628	-0.0009464367728147	0.1819448575982758	-0.0056489362221927	0.0093796736879674	0.0009512450491519	0.0047339821234135	0.1562704326940116	-0.0043947185529074	0.0617052483937812	0.1836772957847405	0.0789751067605359	0.1034518278537968	0.0352431992524945	9.954531	-54.75855	-11.173844	57.999825	11.600963	-55.522724	-11.688825	59.092003	9.886735	4.1898565	7.041702	4.832681
2015-10-21 11:35:00	2015-10-21 11:45:00	11.998933001883728	9.331344885217012	6.130146572000975	-4.395485137111856	306.093	2.73	-9.785	1.033	78.802	-0.0044418473288723	0.0095504748409645	-0.0089567369633341	0.1058099561210292	-0.0014776425789597	-0.0097286577831855	0.0252074321901928	-0.0174140421288202	0.1029915294267251	-0.0012851185709941	0.0372323965130342	0.0864563760878596	0.0589467118706058	0.0364840932021421	0.012298708295148	12.054169	-31.290236	11.894888	36.993336	11.925784	-31.734245	11.095696	36.96762	2.9623578	4.909933	8.944264	3.2010198
2015-10-30 05:50:00	2015-10-30 06:00:00	10.851442122662212	10.338971060579464	2.834852743193504	-1.6796817372027797	298.613	-5.068	-5.722	0.632	44.151	-0.0061108997325705	0.0179221148625255	-0.0035167896704413	0.1058558901377823	-0.0015244238599114	-0.0091973225236586	0.059103414225168	-0.0046302606035415	0.099679827937759	-0.0020942635019257	0.0289286698638104	0.0835683709327458	0.0592898083224983	0.0223889606898554	0.0105885177647487	9.607527	-33.074436	21.924694	41.052536	9.777662	-32.904625	21.8476	41.111465	1.8422513	2.5085268	3.4471896	1.7815678
2015-11-26 05:15:00	2015-11-26 05:25:00	11.770805337727106	11.74158479559646	-0.2524529962083571	-0.7887359479540484	308.823	-1.635	-3.73	1.833	63.041	-0.0069489199416645	0.0236675528056658	0.0134969554637677	0.0969943325516895	-0.0028367869224744	-0.012860072125057	0.0473377111672968	0.034273104396334	0.094333756770544	-0.0033465452626823	0.0198253596012641	0.0549482899879059	0.0755025600012636	0.0222644071662973	0.0040444518345422	-0.5271909	-21.586712	12.786104	25.23889	-0.41744417	-21.705952	13.48168	25.316109	0.8912288	1.2178965	2.5830407	1.3025948
2015-11-27 08:40:00	2015-11-27 08:50:00	11.907464926116807	11.755127132299044	1.214343060348951	-1.4590343756628033	264.268	7.095	-4.862	-2.298	42.992	-0.0066259303605687	0.0051116806060294	0.0040994821800167	0.244469518496368	-0.0012993891909176	-0.0107665129350227	-0.0253012012000113	0.0086179958204926	0.2202786250409361	-0.0008233532034333	0.1014951246336882	0.2023098179074604	0.1363575654854694	0.1007243809777017	0.0469524378392825	6.0036497	-27.05967	2.1341941	29.46493	5.637614	-27.264877	2.281485	29.8589	6.5264807	4.944389	7.215523	4.8731956
2015-11-27 09:10:00	2015-11-27 09:20:00	11.812109681557226	11.619129787410168	1.43933177187599	-1.564844569800819	252.702	6.37	-4.335	-3.343	46.014	0.0021916122392531	0.0252577182220119	0.0113322118770724	0.2853432030656365	-0.0006169991179292	-0.0038762919596078	0.061457728200243	0.0128849202276519	0.2603323867196458	4.9677272873919545e-05	0.1130407237504512	0.2372488069081813	0.1614028278616529	0.120276786751972	0.0556644166357108	3.223969	-25.025213	-3.1508005	28.019037	3.0133312	-26.015263	-3.363579	28.315273	7.995686	6.3576803	8.040941	5.524877
2015-11-27 09:40:00	2015-11-27 09:50:00	11.687557746401778	11.448105482538503	1.6635387452838837	-1.6646701939397883	263.688	6.323	-4.802	-2.433	46.3	-0.0100452802396652	0.0122363871307861	0.0039497283726391	0.2920070653202347	-0.0009718353043774	-0.0113166651801671	0.0166163502106691	0.0036573742285906	0.2635582213129724	-0.0019265072523476	0.1298591866217643	0.2437807100956834	0.1352995321139581	0.0979618157113654	0.0451408563579275	5.9258018	-28.10741	3.253891	30.569508	5.8689637	-28.728085	3.3889356	31.093178	7.8398113	4.7062593	6.2974844	4.950208
2015-11-27 10:10:00	2015-11-27 10:20:00	11.533253934081602	11.241445354469528	1.8871070633795288	-1.75590877974622	254.568	5.775	-4.412	-3.232	48.996	0.0289733134205432	-0.0072590256353134	0.0070378455098344	0.3517855193697133	0.0059237704187182	0.0243466759836982	-0.0239642979200665	0.0129241318252039	0.3131837256068345	0.0033688622192332	0.1605281485321158	0.2549971693138352	0.2401923302713421	0.1602305349343121	0.0679791554470698	3.774119	-22.219576	-2.9554853	27.204721	3.7444923	-22.294891	-2.870898	26.828571	9.036943	8.485809	11.174961	7.4260726
