Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2017-09-01/11:15:00	2017-09-01/11:25:00	53.873	-6.36	3.1	2.31
2017-09-01/12:20:00	2017-09-01/12:30:00	146.365	-0.523	3.928	-5.923
2017-09-01/13:55:00	2017-09-01/14:05:00	86.209	-5.553	5.42	0.408
2017-09-01/14:25:00	2017-09-01/14:35:00	86.505	-6.612	4.083	0.197
2017-09-01/14:55:00	2017-09-01/15:05:00	101.862	-6.862	3.788	-0.845
2017-09-01/15:25:00	2017-09-01/15:35:00	102.575	-6.475	4.202	-0.93
2017-09-01/18:50:00	2017-09-01/19:00:00	311.273	-4.432	-3.587	3.13
2017-09-01/20:45:00	2017-09-01/20:55:00	279.942	-5.642	-2.452	0.287
2017-09-01/22:40:00	2017-09-01/22:50:00	310.823	-5.735	-3.62	3.128
2017-09-01/23:10:00	2017-09-01/23:20:00	322.036	-6.932	-2.93	3.775
2017-09-01/23:40:00	2017-09-01/23:50:00	351.126	-7.093	-0.798	5.162
2017-09-02/00:15:00	2017-09-02/00:25:00	5.378	-6.808	0.553	5.743
2017-09-02/01:40:00	2017-09-02/01:50:00	122.52	-2.825	5.352	-3.435
2017-09-02/02:20:00	2017-09-02/02:30:00	101.325	-3.132	5.685	-1.19
2017-09-02/03:40:00	2017-09-02/03:50:00	125.854	5.545	5.178	-3.842
2017-09-03/05:45:00	2017-09-03/05:55:00	309.26	-3.452	-1.092	0.905
2017-09-03/06:20:00	2017-09-03/06:30:00	319.059	-3.528	-0.803	0.958
2017-09-03/08:35:00	2017-09-03/08:45:00	87.791	-2.222	2.567	0.108
2017-09-04/03:35:00	2017-09-04/03:45:00	68.215	-2.888	2.523	1.017
2017-09-04/11:20:00	2017-09-04/11:30:00	138.333	-1.873	2.195	-2.547
2017-09-04/16:55:00	2017-09-04/17:05:00	103.745	-5.52	4.827	-1.312
2017-09-04/17:25:00	2017-09-04/17:35:00	116.848	-0.893	7.068	-3.623
2017-09-05/13:10:00	2017-09-05/13:20:00	67.865	-2.525	1.91	0.773
