Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2017-09-05/13:45:00	2017-09-05/13:55:00	62.736	-1.405	2.34	1.205
2017-09-05/18:45:00	2017-09-05/18:55:00	156.493	-3.087	1.088	-2.51
2017-09-05/20:05:00	2017-09-05/20:15:00	113.787	-2.877	2.638	-1.17
2017-09-05/22:20:00	2017-09-05/22:30:00	73.558	-4.317	2.202	0.643
2017-09-05/22:50:00	2017-09-05/23:00:00	62.038	-4.493	1.772	0.915
2017-09-06/01:35:00	2017-09-06/01:45:00	9.432	-3.512	0.423	2.497
2017-09-06/23:00:00	2017-09-06/23:10:00	295.288	-0.32	-2.987	1.43
2017-09-07/05:45:00	2017-09-07/05:55:00	284.95	4.395	-7.053	1.9
2017-09-08/19:40:00	2017-09-08/19:50:00	156.322	2.597	1.763	-4.037
2017-09-08/20:10:00	2017-09-08/20:20:00	168.996	4.003	0.697	-3.5
2017-09-08/20:50:00	2017-09-08/21:00:00	146.603	4.572	1.54	-2.38
2017-09-08/21:20:00	2017-09-08/21:30:00	160.862	3.59	1.27	-3.673
2017-09-12/13:35:00	2017-09-12/13:45:00	145.227	-0.348	2.67	-3.843
2017-09-12/15:55:00	2017-09-12/16:05:00	155.287	1.158	1.522	-3.32
2017-09-12/16:50:00	2017-09-12/17:00:00	119.37	-2.657	2.265	-1.267
2017-09-13/00:25:00	2017-09-13/00:35:00	297.479	-4.103	-7.2	3.763
2017-09-13/02:50:00	2017-09-13/03:00:00	297.446	-1.958	-5.763	3.092
2017-09-13/04:10:00	2017-09-13/04:20:00	89.054	4.84	2.878	0.113
2017-09-13/20:00:00	2017-09-13/20:10:00	32.183	0.602	1.528	2.428
2017-09-13/20:30:00	2017-09-13/20:40:00	41.754	0.407	1.878	2.112
2017-09-13/22:25:00	2017-09-13/22:35:00	349.989	1.225	-0.362	2.073
2017-09-14/03:05:00	2017-09-14/03:15:00	277.553	1.678	-6.638	0.838
2017-09-14/03:35:00	2017-09-14/03:45:00	277.182	3.398	-5.835	0.722
2017-09-14/04:50:00	2017-09-14/05:00:00	249.596	3.915	-4.82	-1.815
2017-09-14/05:45:00	2017-09-14/05:55:00	254.819	3.667	-4.722	-1.305
2017-09-14/06:50:00	2017-09-14/07:00:00	220.497	4.063	-1.307	-1.487
2017-09-14/10:00:00	2017-09-14/10:10:00	266.903	3.632	-5.702	-0.313
2017-09-14/10:50:00	2017-09-14/11:00:00	271.202	3.71	-3.863	0.152
2017-09-15/11:40:00	2017-09-15/11:50:00	137.707	-3.765	2.938	-3.097
2017-09-15/12:10:00	2017-09-15/12:20:00	165.999	-2.832	1.225	-4.82
2017-09-15/18:30:00	2017-09-15/18:40:00	115.885	-4.367	4.073	-2.028
2017-09-15/20:30:00	2017-09-15/20:40:00	152.171	-2.972	2.232	-4.322
2017-09-15/22:40:00	2017-09-15/22:50:00	124.655	-4.23	4.233	-2.882
2017-09-15/23:25:00	2017-09-15/23:35:00	119.645	-4.49	3.158	-1.655
2017-09-16/00:50:00	2017-09-16/01:00:00	106.861	-1.727	5.053	-1.625
2017-09-16/02:15:00	2017-09-16/02:25:00	115.865	-3.375	4.53	-2.217
2017-09-16/11:30:00	2017-09-16/11:40:00	119.328	-3.715	3.645	-1.952
2017-09-16/12:00:00	2017-09-16/12:10:00	113.909	-2.48	4.778	-2.167
2017-09-19/06:00:00	2017-09-19/06:10:00	77.309	-4.338	1.145	0.243
2017-09-19/06:55:00	2017-09-19/07:05:00	48.254	-4.153	1.123	1.023
2017-09-19/07:25:00	2017-09-19/07:35:00	16.799	-3.54	0.557	1.868
2017-09-19/10:30:00	2017-09-19/10:40:00	129.777	-2.598	2.702	-2.265
2017-09-19/11:15:00	2017-09-19/11:25:00	84.93	-4.102	2.087	0.187
2017-09-19/12:45:00	2017-09-19/12:55:00	98.356	-3.91	2.49	-0.39
2017-09-19/13:15:00	2017-09-19/13:25:00	85.949	-3.77	2.605	0.162
2017-09-19/14:50:00	2017-09-19/15:00:00	94.788	-3.122	3.115	-0.275
2017-09-19/16:05:00	2017-09-19/16:15:00	95.575	-2.093	3.477	-0.378
2017-09-19/18:20:00	2017-09-19/18:30:00	131.81	0.257	2.048	-1.658
2017-09-19/18:50:00	2017-09-19/19:00:00	131.122	-0.272	2.552	-2.297
2017-09-19/20:10:00	2017-09-19/20:20:00	151.357	-1.553	1.715	-3.16
2017-09-19/20:50:00	2017-09-19/21:00:00	154.561	-2.155	1.36	-2.883
2017-09-19/21:20:00	2017-09-19/21:30:00	150.703	-1.995	1.628	-2.78
2017-09-19/21:50:00	2017-09-19/22:00:00	152.348	-1.448	1.565	-3.028
2017-09-19/23:10:00	2017-09-19/23:20:00	119.715	-1.417	3.085	-1.77
2017-09-19/23:40:00	2017-09-19/23:50:00	121.826	-2.208	2.648	-1.683
2017-09-20/00:10:00	2017-09-20/00:20:00	115.184	-1.97	2.982	-1.448
2017-09-20/00:40:00	2017-09-20/00:50:00	143.09	0.77	2.51	-3.342
2017-09-21/02:05:00	2017-09-21/02:15:00	89.331	-2.807	2.727	0.043
2017-09-21/02:35:00	2017-09-21/02:45:00	106.597	-3.372	1.832	-0.518
2017-09-21/03:50:00	2017-09-21/04:00:00	111.643	-2.103	2.908	-1.172
2017-09-21/04:25:00	2017-09-21/04:35:00	86.63	-2.717	2.382	0.105
2017-09-21/04:55:00	2017-09-21/05:05:00	105.142	-3.032	1.872	-0.462
2017-09-21/05:50:00	2017-09-21/06:00:00	150.0	-2.337	1.292	-2.23
2017-09-21/07:25:00	2017-09-21/07:35:00	175.682	-2.417	0.213	-2.43
2017-09-21/08:35:00	2017-09-21/08:45:00	134.039	-2.752	1.632	-1.555
2017-09-21/09:50:00	2017-09-21/10:00:00	282.566	-2.467	-1.783	0.54
2017-09-21/11:40:00	2017-09-21/11:50:00	37.442	-2.26	1.658	2.092
2017-09-21/13:25:00	2017-09-21/13:35:00	153.672	-0.997	1.453	-2.795
2017-09-21/14:05:00	2017-09-21/14:15:00	133.55	-1.243	2.427	-2.312
2017-09-21/15:35:00	2017-09-21/15:45:00	165.58	-3.752	0.107	-0.517
2017-09-21/16:10:00	2017-09-21/16:20:00	62.943	-3.75	0.815	0.435
2017-09-21/17:15:00	2017-09-21/17:25:00	65.323	-2.302	2.977	1.373
2017-09-21/18:15:00	2017-09-21/18:25:00	149.199	-2.588	1.998	-3.385
2017-09-21/18:55:00	2017-09-21/19:05:00	137.19	-1.88	2.612	-2.793
2017-09-21/19:25:00	2017-09-21/19:35:00	117.595	-1.167	3.557	-1.865
2017-09-22/04:50:00	2017-09-22/05:00:00	92.614	-1.678	3.597	-0.157
2017-09-22/06:05:00	2017-09-22/06:15:00	147.519	-1.253	2.072	-3.248
2017-09-22/06:35:00	2017-09-22/06:45:00	134.722	-2.097	2.345	-2.35
2017-09-22/07:05:00	2017-09-22/07:15:00	125.363	-3.077	2.14	-1.523
2017-09-22/07:35:00	2017-09-22/07:45:00	102.018	-2.93	2.708	-0.657
2017-09-22/08:05:00	2017-09-22/08:15:00	81.167	-3.547	2.303	0.342
2017-09-22/08:35:00	2017-09-22/08:45:00	56.528	-3.822	1.623	1.055
2017-09-22/09:55:00	2017-09-22/10:05:00	66.529	-3.282	1.643	0.73
2017-09-22/12:25:00	2017-09-22/12:35:00	114.402	-3.027	3.207	-1.453
2017-09-22/12:55:00	2017-09-22/13:05:00	112.002	-2.968	3.258	-1.317
2017-09-22/13:25:00	2017-09-22/13:35:00	81.397	-3.153	3.37	0.51
2017-09-22/13:55:00	2017-09-22/14:05:00	105.94	-2.652	3.725	-1.073
2017-09-22/14:25:00	2017-09-22/14:35:00	122.984	-2.663	3.463	-2.235
2017-09-22/15:35:00	2017-09-22/15:45:00	136.589	-3.02	2.648	-2.85
2017-09-22/17:55:00	2017-09-22/18:05:00	165.915	0.003	1.322	-5.225
2017-09-22/18:30:00	2017-09-22/18:40:00	132.345	-1.64	3.857	-3.562
2017-09-22/19:45:00	2017-09-22/19:55:00	195.278	0.54	-1.297	-4.783
2017-09-22/23:25:00	2017-09-22/23:35:00	125.206	-1.425	2.662	-1.88
2017-09-23/17:10:00	2017-09-23/17:20:00	166.064	-2.675	0.56	-2.098
2017-09-23/18:15:00	2017-09-23/18:25:00	159.498	-0.382	1.232	-3.322
2017-09-23/19:10:00	2017-09-23/19:20:00	146.587	0.293	2.165	-3.28
2017-09-23/20:10:00	2017-09-23/20:20:00	126.698	-2.252	2.062	-1.507
2017-09-23/20:45:00	2017-09-23/20:55:00	121.577	-1.662	3.015	-1.823
2017-09-24/00:40:00	2017-09-24/00:50:00	114.431	-3.863	2.293	-1.04
2017-09-24/02:30:00	2017-09-24/02:40:00	110.774	-3.54	2.997	-1.138
2017-09-24/03:15:00	2017-09-24/03:25:00	140.76	-4.133	1.75	-2.138
2017-09-24/03:45:00	2017-09-24/03:55:00	103.458	-3.412	3.398	-0.765
2017-09-24/04:15:00	2017-09-24/04:25:00	87.561	-2.315	4.457	0.192
2017-09-24/04:45:00	2017-09-24/04:55:00	82.154	-3.24	3.635	0.48
2017-09-24/05:15:00	2017-09-24/05:25:00	97.436	-3.45	3.713	-0.468
2017-09-24/05:45:00	2017-09-24/05:55:00	83.53	-2.69	4.193	0.495
2017-09-24/06:15:00	2017-09-24/06:25:00	70.722	-1.708	4.358	1.523
2017-09-24/06:45:00	2017-09-24/06:55:00	85.593	-2.295	4.59	0.353
2017-09-24/07:15:00	2017-09-24/07:25:00	79.206	-1.563	4.342	0.833
2017-09-24/12:10:00	2017-09-24/12:20:00	105.05	-2.628	4.703	-1.288
2017-09-24/12:55:00	2017-09-24/13:05:00	119.445	-1.375	4.533	-2.543
2017-09-24/14:20:00	2017-09-24/14:30:00	137.594	2.095	3.783	-4.125
2017-09-24/20:20:00	2017-09-24/20:30:00	264.914	-0.455	-3.307	-0.278
2017-09-25/04:35:00	2017-09-25/04:45:00	254.046	-0.698	-3.77	-1.057
2017-09-25/07:35:00	2017-09-25/07:45:00	301.234	1.853	-2.808	1.68
2017-09-25/08:25:00	2017-09-25/08:35:00	324.023	3.253	-1.308	1.805
2017-09-25/08:55:00	2017-09-25/09:05:00	333.584	4.013	-0.885	1.807
2017-09-25/09:45:00	2017-09-25/09:55:00	310.502	1.81	-2.133	1.772
2017-09-25/10:15:00	2017-09-25/10:25:00	325.625	2.118	-1.412	2.058
2017-09-25/12:45:00	2017-09-25/12:55:00	271.546	-0.603	-2.725	0.075
2017-09-25/14:25:00	2017-09-25/14:35:00	266.785	-0.413	-2.61	-0.167
2017-09-25/14:55:00	2017-09-25/15:05:00	281.461	0.768	-2.26	0.447
2017-09-25/15:35:00	2017-09-25/15:45:00	269.392	-0.833	-2.543	-0.027
2017-09-25/16:10:00	2017-09-25/16:20:00	265.502	0.703	-2.203	-0.162
2017-09-25/16:40:00	2017-09-25/16:50:00	267.724	1.33	-2.07	-0.085
2017-09-25/17:10:00	2017-09-25/17:20:00	259.726	1.52	-2.087	-0.372
2017-09-25/17:40:00	2017-09-25/17:50:00	246.859	1.73	-1.685	-0.692
2017-09-25/18:10:00	2017-09-25/18:20:00	274.143	0.992	-2.338	0.17
2017-09-26/15:30:00	2017-09-26/15:40:00	267.204	1.185	-2.377	-0.12
2017-09-26/16:20:00	2017-09-26/16:30:00	294.415	0.707	-2.6	1.18
2017-09-26/17:40:00	2017-09-26/17:50:00	329.182	1.413	-1.203	2.037
2017-09-26/18:15:00	2017-09-26/18:25:00	267.629	0.01	-3.025	-0.113
2017-09-26/19:15:00	2017-09-26/19:25:00	315.936	1.423	-2.843	2.932
2017-09-26/20:00:00	2017-09-26/20:10:00	20.81	2.827	0.982	2.583
2017-09-26/20:30:00	2017-09-26/20:40:00	32.907	2.79	1.473	2.312
2017-09-26/21:15:00	2017-09-26/21:25:00	24.401	0.577	1.497	3.27
2017-09-26/22:30:00	2017-09-26/22:40:00	78.713	1.818	4.372	0.867
2017-09-27/01:50:00	2017-09-27/02:00:00	11.697	3.738	1.528	7.285
2017-09-27/02:45:00	2017-09-27/02:55:00	337.788	1.947	-2.685	6.703
2017-09-27/19:10:00	2017-09-27/19:20:00	150.513	-5.193	4.345	-7.852
2017-09-28/00:50:00	2017-09-28/01:00:00	124.968	-7.415	7.365	-5.248
2017-09-28/01:20:00	2017-09-28/01:30:00	113.12	-4.468	9.117	-3.937
2017-09-28/05:25:00	2017-09-28/05:35:00	171.829	-2.292	1.222	-8.673
2017-09-28/07:20:00	2017-09-28/07:30:00	156.753	-2.813	3.275	-7.7
2017-09-30/10:55:00	2017-09-30/11:05:00	150.104	-3.373	1.413	-2.377
2017-09-30/11:25:00	2017-09-30/11:35:00	155.588	-2.562	1.348	-3.062
2017-09-30/12:15:00	2017-09-30/12:25:00	178.128	-2.517	0.11	-3.383
2017-09-30/12:45:00	2017-09-30/12:55:00	159.38	-2.09	1.398	-3.532
2017-09-30/13:15:00	2017-09-30/13:25:00	151.464	-1.805	2.117	-3.947
2017-09-30/13:45:00	2017-09-30/13:55:00	141.325	-1.23	2.933	-3.663
2017-09-30/14:15:00	2017-09-30/14:25:00	142.683	-0.985	2.86	-3.755
2017-09-30/14:45:00	2017-09-30/14:55:00	154.082	-1.748	1.95	-4.027
2017-09-30/15:55:00	2017-09-30/16:05:00	132.599	-0.895	3.402	-3.133
2017-09-30/16:30:00	2017-09-30/16:40:00	143.089	-1.113	2.495	-3.197
2017-09-30/17:00:00	2017-09-30/17:10:00	192.849	-1.847	-0.888	-3.933
2017-10-01/01:50:00	2017-10-01/02:00:00	352.406	-2.707	-0.508	3.775
2017-10-01/02:40:00	2017-10-01/02:50:00	17.346	-3.038	1.175	3.688
2017-10-01/03:25:00	2017-10-01/03:35:00	22.48	-2.382	1.665	4.075
2017-10-01/05:50:00	2017-10-01/06:00:00	187.182	0.393	-0.578	-4.68
2017-10-02/02:20:00	2017-10-02/02:30:00	129.469	-0.782	2.963	-2.505
2017-10-02/11:20:00	2017-10-02/11:30:00	120.828	-0.345	2.825	-1.67
2017-10-02/11:50:00	2017-10-02/12:00:00	116.656	-2.363	2.825	-1.435
2017-10-02/12:20:00	2017-10-02/12:30:00	123.212	-1.99	2.902	-1.902
2017-10-02/12:50:00	2017-10-02/13:00:00	120.631	-1.775	3.223	-1.893
2017-10-02/13:20:00	2017-10-02/13:30:00	116.008	-1.883	3.132	-1.625
2017-10-02/13:50:00	2017-10-02/14:00:00	115.975	-2.398	3.233	-1.587
2017-10-02/14:20:00	2017-10-02/14:30:00	110.608	-2.143	3.577	-1.34
2017-10-02/14:55:00	2017-10-02/15:05:00	90.038	-2.475	3.63	-0.005
2017-10-02/15:45:00	2017-10-02/15:55:00	99.703	-2.5	3.558	-0.618
2017-10-02/16:15:00	2017-10-02/16:25:00	121.644	-1.442	3.505	-2.178
2017-10-02/16:45:00	2017-10-02/16:55:00	104.787	-1.713	3.323	-0.863
2017-10-02/17:15:00	2017-10-02/17:25:00	110.302	-1.612	3.682	-1.352
2017-10-02/17:45:00	2017-10-02/17:55:00	100.315	-2.16	3.693	-0.685
2017-10-02/18:15:00	2017-10-02/18:25:00	91.102	-2.835	3.305	-0.113
2017-10-02/18:50:00	2017-10-02/19:00:00	101.241	-1.35	4.195	-0.833
2017-10-02/19:25:00	2017-10-02/19:35:00	85.221	-2.98	3.477	0.222
2017-10-02/20:50:00	2017-10-02/21:00:00	20.442	-3.678	1.06	2.797
2017-10-02/21:55:00	2017-10-02/22:05:00	20.257	-4.257	1.027	2.74
2017-10-02/22:25:00	2017-10-02/22:35:00	58.031	-3.852	2.677	1.667
2017-10-04/03:10:00	2017-10-04/03:20:00	242.627	2.143	-3.13	-1.62
2017-10-04/03:40:00	2017-10-04/03:50:00	238.444	1.985	-3.025	-1.855
2017-10-04/04:10:00	2017-10-04/04:20:00	234.955	1.87	-2.827	-1.982
2017-10-04/04:40:00	2017-10-04/04:50:00	230.908	2.075	-2.328	-1.893
2017-10-04/23:15:00	2017-10-04/23:25:00	339.104	4.04	-1.34	3.568
2017-10-05/09:05:00	2017-10-05/09:15:00	324.867	4.728	-2.77	3.895
2017-10-05/15:00:00	2017-10-05/15:10:00	23.094	2.518	1.357	3.212
2017-10-05/16:55:00	2017-10-05/17:05:00	307.45	5.067	-3.637	2.958
2017-10-05/18:55:00	2017-10-05/19:05:00	285.702	2.503	-7.125	2.012
2017-10-06/03:40:00	2017-10-06/03:50:00	130.169	3.753	4.052	-3.487
2017-10-06/04:30:00	2017-10-06/04:40:00	119.022	1.76	4.418	-2.415
2017-10-06/06:50:00	2017-10-06/07:00:00	331.521	0.455	-2.603	4.875
2017-10-06/09:25:00	2017-10-06/09:35:00	50.095	3.198	3.772	3.133
2017-10-06/10:15:00	2017-10-06/10:25:00	287.081	0.898	-5.887	1.802
2017-10-06/10:45:00	2017-10-06/10:55:00	308.664	-1.047	-4.76	3.802
2017-10-06/11:15:00	2017-10-06/11:25:00	287.117	-0.31	-5.922	1.825
2017-10-06/11:45:00	2017-10-06/11:55:00	265.227	0.627	-5.962	-0.51
2017-10-06/12:30:00	2017-10-06/12:40:00	268.079	1.187	-5.843	-0.195
2017-10-06/13:00:00	2017-10-06/13:10:00	265.033	1.648	-5.758	-0.505
2017-10-06/14:10:00	2017-10-06/14:20:00	259.546	0.81	-6.248	-1.168
2017-10-06/16:40:00	2017-10-06/16:50:00	260.534	-0.075	-6.845	-1.16
2017-10-06/17:25:00	2017-10-06/17:35:00	304.625	0.875	-4.828	3.282
2017-10-06/19:50:00	2017-10-06/20:00:00	285.227	4.003	-5.162	1.283
2017-10-06/20:20:00	2017-10-06/20:30:00	261.163	1.463	-7.17	-1.128
2017-10-06/20:50:00	2017-10-06/21:00:00	271.874	0.512	-7.195	0.263
2017-10-06/21:20:00	2017-10-06/21:30:00	265.458	-1.38	-7.552	-0.597
2017-10-06/21:50:00	2017-10-06/22:00:00	266.523	-0.583	-7.472	-0.457
2017-10-06/22:20:00	2017-10-06/22:30:00	273.422	0.307	-7.098	0.365
2017-10-06/22:50:00	2017-10-06/23:00:00	271.131	1.518	-6.515	-0.027
2017-10-07/17:40:00	2017-10-07/17:50:00	270.154	2.453	-6.032	0.015
2017-10-07/19:00:00	2017-10-07/19:10:00	250.327	0.593	-6.007	-2.145
2017-10-07/20:15:00	2017-10-07/20:25:00	291.89	1.727	-5.72	2.333
2017-10-07/20:45:00	2017-10-07/20:55:00	283.93	2.132	-6.178	1.555
2017-10-08/02:35:00	2017-10-08/02:45:00	333.331	2.258	-1.615	3.35
2017-10-08/03:10:00	2017-10-08/03:20:00	251.269	3.55	-3.223	-1.09
2017-10-08/06:20:00	2017-10-08/06:30:00	283.92	-0.153	-4.473	1.115
2017-10-08/07:25:00	2017-10-08/07:35:00	279.451	1.395	-4.777	0.798
2017-10-08/07:55:00	2017-10-08/08:05:00	284.223	0.283	-4.678	1.192
2017-10-08/08:25:00	2017-10-08/08:35:00	298.577	-2.135	-4.273	2.335
2017-10-08/08:55:00	2017-10-08/09:05:00	283.876	-2.157	-4.505	1.11
2017-10-08/09:50:00	2017-10-08/10:00:00	284.168	-1.417	-4.492	1.128
2017-10-08/10:20:00	2017-10-08/10:30:00	297.489	-0.857	-4.265	2.242
2017-10-08/11:15:00	2017-10-08/11:25:00	294.345	1.66	-3.927	1.76
2017-10-08/11:45:00	2017-10-08/11:55:00	287.335	0.547	-4.453	1.393
2017-10-08/12:40:00	2017-10-08/12:50:00	11.539	3.407	0.538	2.683
2017-10-08/13:10:00	2017-10-08/13:20:00	314.299	2.782	-2.442	2.427
2017-10-08/13:40:00	2017-10-08/13:50:00	301.953	3.418	-2.757	1.707
2017-10-08/22:20:00	2017-10-08/22:30:00	301.672	2.737	-2.317	1.412
2017-10-08/23:45:00	2017-10-08/23:55:00	246.136	1.393	-3.1	-1.4
2017-10-09/00:15:00	2017-10-09/00:25:00	224.048	1.482	-2.362	-2.418
2017-10-09/00:45:00	2017-10-09/00:55:00	221.083	1.737	-2.152	-2.488
2017-10-09/01:45:00	2017-10-09/01:55:00	324.798	1.807	-1.53	2.158
2017-10-09/03:10:00	2017-10-09/03:20:00	315.948	1.1	-1.998	2.1
2017-10-09/03:40:00	2017-10-09/03:50:00	333.532	0.297	-1.512	3.06
2017-10-09/04:50:00	2017-10-09/05:00:00	271.926	0.137	-3.498	0.112
2017-10-09/06:20:00	2017-10-09/06:30:00	282.805	3.088	-1.812	0.463
2017-10-09/06:50:00	2017-10-09/07:00:00	300.545	3.315	-1.693	1.007
2017-10-09/07:20:00	2017-10-09/07:30:00	298.775	2.482	-2.188	1.202
2017-10-09/07:50:00	2017-10-09/08:00:00	289.373	2.03	-2.347	0.825
2017-10-09/08:20:00	2017-10-09/08:30:00	291.186	2.058	-2.397	0.928
2017-10-09/08:50:00	2017-10-09/09:00:00	282.938	1.74	-2.713	0.622
2017-10-09/09:20:00	2017-10-09/09:30:00	288.687	1.723	-2.645	0.895
2017-10-09/10:15:00	2017-10-09/10:25:00	306.716	1.785	-2.353	1.758
2017-10-09/10:45:00	2017-10-09/10:55:00	305.88	1.838	-2.32	1.678
2017-10-09/11:20:00	2017-10-09/11:30:00	325.308	2.573	-0.865	1.227
2017-10-09/11:50:00	2017-10-09/12:00:00	320.672	2.378	-1.203	1.363
2017-10-09/12:20:00	2017-10-09/12:30:00	315.514	2.088	-1.792	1.828
2017-10-09/13:05:00	2017-10-09/13:15:00	312.77	2.363	-1.885	1.73
2017-10-09/13:35:00	2017-10-09/13:45:00	305.184	2.227	-2.037	1.438
2017-10-09/14:05:00	2017-10-09/14:15:00	307.438	3.733	-0.645	0.493
2017-10-09/14:35:00	2017-10-09/14:45:00	290.215	3.618	-0.997	0.358
2017-10-09/15:05:00	2017-10-09/15:15:00	275.906	3.557	-1.22	0.122
2017-10-09/15:35:00	2017-10-09/15:45:00	278.508	3.573	-1.253	0.185
2017-10-09/16:05:00	2017-10-09/16:15:00	278.881	3.343	-1.365	0.21
2017-10-09/16:35:00	2017-10-09/16:45:00	268.794	3.322	-1.313	-0.027
2017-10-09/17:05:00	2017-10-09/17:15:00	276.305	3.073	-1.542	0.172
2017-10-09/18:00:00	2017-10-09/18:10:00	289.783	2.215	-1.975	0.728
2017-10-09/19:20:00	2017-10-09/19:30:00	282.497	2.595	-2.513	0.56
2017-10-10/22:45:00	2017-10-10/22:55:00	179.505	-4.653	0.065	-5.43
2017-10-11/04:15:00	2017-10-11/04:25:00	160.054	-1.135	2.538	-7.037
2017-10-11/04:45:00	2017-10-11/04:55:00	183.967	-1.998	-0.482	-7.305
2017-10-11/10:30:00	2017-10-11/10:40:00	106.254	-5.593	8.372	-2.442
2017-10-11/18:15:00	2017-10-11/18:25:00	93.964	-8.187	5.912	-0.475
2017-10-11/19:20:00	2017-10-11/19:30:00	110.042	-8.58	5.123	-1.895
2017-10-11/21:05:00	2017-10-11/21:15:00	118.716	-3.912	8.362	-4.738
2017-10-11/21:50:00	2017-10-11/22:00:00	89.724	-8.783	6.223	-0.083
2017-10-11/22:25:00	2017-10-11/22:35:00	53.647	-8.935	5.098	3.857
2017-10-12/03:45:00	2017-10-12/03:55:00	124.95	-2.168	3.937	-2.725
2017-10-12/04:15:00	2017-10-12/04:25:00	123.902	-2.178	4.75	-3.17
2017-10-12/14:30:00	2017-10-12/14:40:00	41.852	-6.2	3.825	4.063
2017-10-13/09:30:00	2017-10-13/09:40:00	177.734	-2.567	0.128	-4.333
2017-10-13/10:40:00	2017-10-13/10:50:00	156.617	-4.517	1.622	-3.803
2017-10-13/11:10:00	2017-10-13/11:20:00	167.477	-1.533	1.112	-4.993
2017-10-13/11:40:00	2017-10-13/11:50:00	163.285	-3.527	1.035	-4.018
2017-10-13/14:55:00	2017-10-13/15:05:00	145.145	-4.255	3.043	-4.457
2017-10-13/15:25:00	2017-10-13/15:35:00	100.833	-6.148	4.142	-0.873
2017-10-13/16:35:00	2017-10-13/16:45:00	130.576	-6.037	4.26	-3.74
2017-10-13/17:05:00	2017-10-13/17:15:00	131.692	-4.865	4.145	-3.667
2017-10-13/19:00:00	2017-10-13/19:10:00	167.326	-3.25	1.27	-5.74
2017-10-14/02:10:00	2017-10-14/02:20:00	348.546	-0.103	-1.27	6.268
2017-10-14/03:15:00	2017-10-14/03:25:00	89.921	-3.962	4.458	0.047
2017-10-14/04:45:00	2017-10-14/04:55:00	145.875	-2.658	2.585	-3.792
2017-10-17/09:20:00	2017-10-17/09:30:00	151.485	-2.775	0.7	-1.325
2017-10-17/09:50:00	2017-10-17/10:00:00	140.505	-2.752	1.097	-1.305
2017-10-17/19:10:00	2017-10-17/19:20:00	80.225	-2.477	1.528	0.3
2017-10-17/20:15:00	2017-10-17/20:25:00	99.227	-2.195	1.68	-0.175
2017-10-18/03:15:00	2017-10-18/03:25:00	52.68	-3.258	1.64	1.252
2017-10-18/03:55:00	2017-10-18/04:05:00	46.817	-2.6	1.647	1.548
2017-10-18/23:40:00	2017-10-18/23:50:00	181.453	3.265	-0.093	-3.293
2017-10-19/00:10:00	2017-10-19/00:20:00	184.513	3.283	-0.257	-3.302
2017-10-19/01:00:00	2017-10-19/01:10:00	51.672	-2.555	2.902	2.305
2017-10-19/02:20:00	2017-10-19/02:30:00	47.517	-1.918	2.677	2.442
2017-10-19/07:40:00	2017-10-19/07:50:00	153.234	-3.13	1.963	-3.995
2017-10-19/08:35:00	2017-10-19/08:45:00	138.276	-4.193	2.728	-3.053
2017-10-19/09:45:00	2017-10-19/09:55:00	113.917	-4.267	3.6	-1.555
2017-10-19/10:15:00	2017-10-19/10:25:00	98.178	-3.702	4.72	-0.67
