Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2016-09-10/02:15:00	2016-09-10/02:25:00	79.449	0.555	4.515	0.843
2016-09-10/04:15:00	2016-09-10/04:25:00	131.557	2.075	2.57	-2.277
2016-09-10/04:45:00	2016-09-10/04:55:00	113.155	2.382	2.953	-1.255
2016-09-10/05:20:00	2016-09-10/05:30:00	88.205	-1.507	3.787	0.103
2016-09-10/06:15:00	2016-09-10/06:25:00	96.58	0.668	3.817	-0.425
2016-09-10/06:45:00	2016-09-10/06:55:00	84.917	0.01	3.94	0.353
2016-09-10/13:10:00	2016-09-10/13:20:00	83.666	-1.653	2.54	0.29
2016-09-10/13:40:00	2016-09-10/13:50:00	56.046	-1.745	2.123	1.395
2016-09-10/14:50:00	2016-09-10/15:00:00	87.499	-1.733	1.798	0.052
2016-09-10/15:25:00	2016-09-10/15:35:00	57.864	-2.468	1.0	0.597
2016-09-10/16:35:00	2016-09-10/16:45:00	21.604	-2.635	0.478	1.203
2016-09-10/17:30:00	2016-09-10/17:40:00	93.231	-1.6	1.465	-0.093
2016-09-11/00:00:00	2016-09-11/00:10:00	120.769	0.648	2.225	-1.332
2016-09-11/02:50:00	2016-09-11/03:00:00	115.429	-0.273	2.52	-1.193
2016-09-11/04:30:00	2016-09-11/04:40:00	115.937	-1.042	2.572	-1.252
2016-09-11/05:00:00	2016-09-11/05:10:00	104.665	-1.22	2.697	-0.713
2016-09-11/22:30:00	2016-09-11/22:40:00	240.055	-2.332	-4.287	-2.442
2016-09-11/23:00:00	2016-09-11/23:10:00	237.653	-4.373	-3.188	-2.063
2016-09-13/12:50:00	2016-09-13/13:00:00	129.837	-0.153	3.063	-2.565
2016-09-13/13:40:00	2016-09-13/13:50:00	120.961	-0.343	3.675	-2.178
2016-09-13/14:30:00	2016-09-13/14:40:00	120.131	-1.122	3.803	-2.21
2016-09-13/15:05:00	2016-09-13/15:15:00	107.048	-2.225	4.173	-1.267
2016-09-14/04:35:00	2016-09-14/04:45:00	214.545	-0.675	-2.748	-3.997
2016-09-14/05:35:00	2016-09-14/05:45:00	221.66	-0.41	-2.857	-3.21
2016-09-14/13:00:00	2016-09-14/13:10:00	200.915	-1.42	-2.153	-5.65
2016-09-14/15:25:00	2016-09-14/15:35:00	169.606	-4.955	0.787	-4.613
2016-09-14/15:55:00	2016-09-14/16:05:00	166.397	-5.805	0.753	-3.02
2016-09-14/16:25:00	2016-09-14/16:35:00	165.088	-5.783	0.727	-2.617
2016-09-14/16:55:00	2016-09-14/17:05:00	175.14	-4.98	0.353	-4.727
2016-09-14/18:15:00	2016-09-14/18:25:00	173.891	-4.96	0.448	-4.213
2016-09-15/12:35:00	2016-09-15/12:45:00	72.795	-0.695	5.355	1.662
2016-09-15/13:05:00	2016-09-15/13:15:00	84.496	-0.692	5.235	0.49
2016-09-15/14:15:00	2016-09-15/14:25:00	94.178	-0.925	5.302	-0.388
2016-09-15/14:45:00	2016-09-15/14:55:00	92.047	-1.318	5.167	-0.185
2016-09-15/15:25:00	2016-09-15/15:35:00	97.617	-0.848	4.932	-0.66
2016-09-15/16:40:00	2016-09-15/16:50:00	82.387	-0.975	4.76	0.632
2016-09-15/18:15:00	2016-09-15/18:25:00	92.721	-1.388	3.993	-0.173
2016-09-16/13:55:00	2016-09-16/14:05:00	305.148	2.902	-4.585	3.21
2016-09-17/02:35:00	2016-09-17/02:45:00	57.512	-1.483	3.772	2.393
2016-09-17/12:55:00	2016-09-17/13:05:00	350.45	2.868	-1.11	6.577
2016-09-17/17:40:00	2016-09-17/17:50:00	302.025	2.752	-2.783	1.733
2016-09-17/18:10:00	2016-09-17/18:20:00	294.22	3.303	-2.345	1.02
2016-09-17/19:15:00	2016-09-17/19:25:00	272.722	2.772	-2.867	0.132
2016-09-17/19:45:00	2016-09-17/19:55:00	263.791	2.967	-2.698	-0.328
2016-09-17/20:30:00	2016-09-17/20:40:00	261.257	3.622	-2.797	-0.43
2016-09-17/21:15:00	2016-09-17/21:25:00	266.216	3.417	-2.558	-0.177
2016-09-18/15:30:00	2016-09-18/15:40:00	153.513	-0.665	2.312	-4.638
2016-09-18/16:45:00	2016-09-18/16:55:00	157.472	2.535	1.64	-4.0
2016-09-18/18:30:00	2016-09-18/18:40:00	251.184	3.487	-2.657	-0.827
2016-09-18/22:40:00	2016-09-18/22:50:00	286.083	3.807	-4.54	1.308
2016-09-18/23:10:00	2016-09-18/23:20:00	279.961	2.937	-5.745	1.005
2016-09-18/23:40:00	2016-09-18/23:50:00	284.101	3.035	-5.865	1.472
2016-09-19/01:30:00	2016-09-19/01:40:00	295.327	4.353	-5.57	2.637
2016-09-19/02:35:00	2016-09-19/02:45:00	288.879	4.457	-5.633	1.923
2016-09-19/12:35:00	2016-09-19/12:45:00	252.076	1.947	-7.903	-2.598
2016-09-19/14:30:00	2016-09-19/14:40:00	282.835	1.603	-9.682	2.168
2016-09-19/15:15:00	2016-09-19/15:25:00	263.223	3.21	-10.633	-1.235
2016-09-20/18:15:00	2016-09-20/18:25:00	304.617	2.858	-3.025	2.158
2016-09-21/03:05:00	2016-09-21/03:15:00	269.949	1.502	-4.662	-0.003
2016-09-21/14:25:00	2016-09-21/14:35:00	317.99	1.105	-3.038	3.367
2016-09-21/14:55:00	2016-09-21/15:05:00	322.16	0.973	-2.95	3.797
2016-09-21/15:30:00	2016-09-21/15:40:00	320.582	-0.462	-3.318	4.04
2016-09-22/12:20:00	2016-09-22/12:30:00	276.629	3.183	-3.072	0.312
2016-09-22/13:10:00	2016-09-22/13:20:00	11.042	3.843	0.615	3.27
2016-09-22/13:55:00	2016-09-22/14:05:00	353.434	3.883	-0.342	3.01
2016-09-22/14:25:00	2016-09-22/14:35:00	352.339	4.14	-0.318	2.427
2016-09-22/15:35:00	2016-09-22/15:45:00	2.456	4.51	0.077	1.893
2016-09-22/19:00:00	2016-09-22/19:10:00	329.095	4.698	-0.9	1.517
2016-09-22/19:30:00	2016-09-22/19:40:00	316.139	4.697	-1.057	1.1
2016-09-22/20:00:00	2016-09-22/20:10:00	321.339	4.588	-1.02	1.307
2016-09-22/20:30:00	2016-09-22/20:40:00	331.765	4.42	-0.9	1.69
2016-09-22/21:15:00	2016-09-22/21:25:00	335.534	4.453	-0.787	1.737
2016-09-22/21:45:00	2016-09-22/21:55:00	344.328	4.287	-0.515	1.852
2016-09-22/22:15:00	2016-09-22/22:25:00	343.059	4.287	-0.522	1.722
2016-09-22/23:05:00	2016-09-22/23:15:00	350.033	4.375	-0.333	1.922
2016-09-22/23:35:00	2016-09-22/23:45:00	350.575	4.373	-0.355	2.132
2016-09-23/00:10:00	2016-09-23/00:20:00	2.786	4.115	0.117	2.395
2016-09-23/01:50:00	2016-09-23/02:00:00	29.002	2.75	1.367	2.46
2016-09-23/11:40:00	2016-09-23/11:50:00	346.373	0.05	-1.358	5.6
2016-09-23/12:10:00	2016-09-23/12:20:00	346.052	-0.247	-1.355	5.452
2016-09-23/12:40:00	2016-09-23/12:50:00	352.18	0.88	-0.743	5.41
2016-09-23/13:15:00	2016-09-23/13:25:00	335.009	-0.458	-2.273	4.788
2016-09-23/16:50:00	2016-09-23/17:00:00	321.029	-2.957	-2.988	3.695
2016-09-23/17:20:00	2016-09-23/17:30:00	313.363	-3.04	-3.473	3.277
2016-09-23/17:50:00	2016-09-23/18:00:00	316.111	-4.102	-2.52	2.593
2016-09-23/18:20:00	2016-09-23/18:30:00	298.518	-3.133	-3.692	2.015
2016-09-23/21:10:00	2016-09-23/21:20:00	338.856	0.597	-2.203	5.68
2016-09-23/22:00:00	2016-09-23/22:10:00	324.342	-0.007	-4.033	5.622
2016-09-23/22:30:00	2016-09-23/22:40:00	313.458	-0.402	-4.912	4.67
2016-09-23/23:35:00	2016-09-23/23:45:00	337.32	-1.515	-2.298	5.625
2016-09-24/00:30:00	2016-09-24/00:40:00	334.194	-0.86	-2.48	5.293
2016-09-24/01:20:00	2016-09-24/01:30:00	351.607	2.017	-0.875	5.872
2016-09-24/01:50:00	2016-09-24/02:00:00	341.422	0.79	-1.963	5.843
2016-09-24/02:20:00	2016-09-24/02:30:00	334.462	0.795	-2.503	5.335
2016-09-24/02:50:00	2016-09-24/03:00:00	333.588	0.745	-2.477	5.133
2016-09-24/03:50:00	2016-09-24/04:00:00	321.4	0.167	-4.38	5.448
2016-09-24/12:35:00	2016-09-24/12:45:00	15.375	3.525	1.175	4.242
2016-09-24/13:40:00	2016-09-24/13:50:00	282.042	-0.072	-5.427	1.167
2016-09-24/14:10:00	2016-09-24/14:20:00	289.441	0.143	-5.383	1.895
2016-09-24/14:40:00	2016-09-24/14:50:00	278.812	-1.787	-6.142	0.958
2016-09-24/15:10:00	2016-09-24/15:20:00	282.273	-2.663	-6.052	1.315
2016-09-24/15:40:00	2016-09-24/15:50:00	289.006	-2.475	-5.912	2.025
2016-09-24/16:10:00	2016-09-24/16:20:00	290.574	-1.347	-6.02	2.255
2016-09-24/16:40:00	2016-09-24/16:50:00	294.756	-0.397	-6.432	2.965
2016-09-24/17:10:00	2016-09-24/17:20:00	285.015	0.822	-7.073	1.905
2016-09-24/17:40:00	2016-09-24/17:50:00	269.799	1.56	-7.558	-0.025
2016-09-24/18:10:00	2016-09-24/18:20:00	252.658	0.632	-7.318	-2.287
2016-09-24/18:40:00	2016-09-24/18:50:00	245.631	0.52	-6.912	-3.125
2016-09-24/19:10:00	2016-09-24/19:20:00	236.127	-0.412	-6.023	-4.04
2016-09-24/19:40:00	2016-09-24/19:50:00	235.422	0.565	-5.803	-4.0
2016-09-24/20:10:00	2016-09-24/20:20:00	234.96	1.31	-5.732	-4.018
2016-09-24/20:40:00	2016-09-24/20:50:00	235.106	0.228	-5.825	-4.063
2016-09-24/21:10:00	2016-09-24/21:20:00	233.372	-0.092	-5.653	-4.195
2016-09-24/21:55:00	2016-09-24/22:05:00	233.137	0.822	-6.702	-5.023
2016-09-24/22:25:00	2016-09-24/22:35:00	234.81	1.412	-6.688	-4.72
2016-09-25/00:25:00	2016-09-25/00:35:00	219.707	0.472	-4.178	-5.063
2016-09-25/00:55:00	2016-09-25/01:05:00	222.296	0.392	-4.663	-5.14
2016-09-25/01:40:00	2016-09-25/01:50:00	188.926	0.872	-1.028	-6.737
2016-09-25/02:20:00	2016-09-25/02:30:00	211.787	1.085	-3.112	-4.997
2016-09-25/02:50:00	2016-09-25/03:00:00	194.627	1.185	-1.48	-5.72
2016-09-25/03:25:00	2016-09-25/03:35:00	233.883	0.218	-5.27	-3.847
2016-09-25/19:55:00	2016-09-25/20:05:00	149.059	-5.228	3.312	-5.403
2016-09-25/21:55:00	2016-09-25/22:05:00	122.201	-4.408	6.347	-4.045
2016-09-26/04:40:00	2016-09-26/04:50:00	167.305	-5.512	1.018	-4.738
2016-09-26/14:20:00	2016-09-26/14:30:00	117.113	-4.035	6.688	-3.5
2016-09-26/15:30:00	2016-09-26/15:40:00	107.392	-1.755	8.14	-2.552
2016-09-27/00:20:00	2016-09-27/00:30:00	150.655	-1.823	3.777	-6.807
2016-09-27/03:10:00	2016-09-27/03:20:00	72.436	-6.778	4.172	1.287
2016-09-27/04:45:00	2016-09-27/04:55:00	56.838	-6.108	4.077	2.64
2016-09-27/11:40:00	2016-09-27/11:50:00	193.035	-5.27	-1.12	-5.072
2016-09-27/12:25:00	2016-09-27/12:35:00	83.8	-4.877	6.428	0.712
2016-09-27/14:45:00	2016-09-27/14:55:00	174.601	-2.938	0.562	-5.792
2016-09-27/18:00:00	2016-09-27/18:10:00	71.76	-6.807	5.023	1.687
2016-09-28/18:55:00	2016-09-28/19:05:00	94.522	-6.107	1.738	-0.12
2016-09-28/22:45:00	2016-09-28/22:55:00	31.61	-5.725	2.408	3.992
2016-09-29/01:20:00	2016-09-29/01:30:00	109.538	-6.758	3.003	-1.073
2016-09-29/03:30:00	2016-09-29/03:40:00	117.231	-4.222	6.008	-3.15
2016-09-29/04:25:00	2016-09-29/04:35:00	126.549	-3.588	5.665	-4.467
2016-09-29/10:55:00	2016-09-29/11:05:00	109.807	-4.888	5.085	-1.887
2016-09-29/13:25:00	2016-09-29/13:35:00	131.969	-1.398	3.855	-3.507
2016-09-29/14:10:00	2016-09-29/14:20:00	131.668	-4.123	3.642	-3.325
2016-09-29/19:30:00	2016-09-29/19:40:00	27.912	-2.695	1.672	3.303
2016-09-30/14:55:00	2016-09-30/15:05:00	114.881	-3.187	2.92	-1.357
2016-10-01/10:55:00	2016-10-01/11:05:00	129.3	-3.618	1.79	-1.452
2016-10-01/11:25:00	2016-10-01/11:35:00	126.201	-3.887	2.075	-1.517
2016-10-01/11:55:00	2016-10-01/12:05:00	117.732	-3.49	2.682	-1.408
2016-10-01/12:25:00	2016-10-01/12:35:00	110.189	-3.827	2.653	-0.985
2016-10-01/16:25:00	2016-10-01/16:35:00	131.726	-0.98	2.958	-2.637
2016-10-01/20:10:00	2016-10-01/20:20:00	24.198	-3.132	1.743	3.97
2016-10-01/22:40:00	2016-10-01/22:50:00	107.734	-1.705	3.935	-1.278
2016-10-01/23:55:00	2016-10-02/00:05:00	132.772	-1.482	2.837	-2.638
2016-10-02/15:45:00	2016-10-02/15:55:00	83.883	-4.283	3.908	0.387
2016-10-02/16:55:00	2016-10-02/17:05:00	92.656	-4.93	3.007	-0.093
2016-10-02/17:45:00	2016-10-02/17:55:00	81.593	-5.617	3.177	0.468
2016-10-02/18:15:00	2016-10-02/18:25:00	86.125	-4.948	4.235	0.293
2016-10-02/20:40:00	2016-10-02/20:50:00	126.68	-3.973	3.857	-2.877
2016-10-03/00:30:00	2016-10-03/00:40:00	43.819	-4.722	2.275	2.358
2016-10-03/01:00:00	2016-10-03/01:10:00	23.713	-5.012	1.152	2.595
2016-10-03/11:50:00	2016-10-03/12:00:00	113.972	-4.08	3.493	-1.593
2016-10-03/12:50:00	2016-10-03/13:00:00	94.84	-3.863	4.28	-0.302
2016-10-03/15:20:00	2016-10-03/15:30:00	94.442	-4.678	2.812	-0.267
2016-10-03/15:55:00	2016-10-03/16:05:00	156.213	-2.482	1.468	-3.345
2016-10-03/19:40:00	2016-10-03/19:50:00	21.135	-4.747	1.245	3.23
2016-10-03/20:10:00	2016-10-03/20:20:00	50.076	-5.398	2.518	2.132
2016-10-03/22:50:00	2016-10-03/23:00:00	91.636	-3.622	3.718	-0.168
2016-10-03/23:20:00	2016-10-03/23:30:00	117.229	-1.898	4.522	-2.347
2016-10-03/23:50:00	2016-10-04/00:00:00	122.39	-0.308	4.953	-3.153
2016-10-04/01:20:00	2016-10-04/01:30:00	166.241	0.937	1.342	-5.487
2016-10-04/01:55:00	2016-10-04/02:05:00	153.692	3.133	2.048	-4.032
2016-10-04/03:05:00	2016-10-04/03:15:00	165.554	0.203	1.225	-4.77
2016-10-04/15:20:00	2016-10-04/15:30:00	330.993	-0.527	-4.51	8.038
2016-10-04/16:05:00	2016-10-04/16:15:00	108.926	-2.218	6.0	-2.042
2016-10-04/17:05:00	2016-10-04/17:15:00	109.564	-3.04	4.903	-1.847
2016-10-04/18:30:00	2016-10-04/18:40:00	145.195	-4.335	2.707	-3.818
2016-10-04/19:10:00	2016-10-04/19:20:00	32.956	-3.883	2.508	3.785
2016-10-04/20:50:00	2016-10-04/21:00:00	96.449	-3.187	4.178	-0.542
2016-10-05/00:15:00	2016-10-05/00:25:00	128.865	-3.852	1.845	-1.488
2016-10-05/03:35:00	2016-10-05/03:45:00	139.448	-2.143	2.068	-2.487
2016-10-05/12:25:00	2016-10-05/12:35:00	222.511	-2.687	-1.812	-1.978
2016-10-05/13:00:00	2016-10-05/13:10:00	164.338	-2.757	0.748	-2.482
2016-10-06/03:00:00	2016-10-06/03:10:00	41.113	-4.222	1.203	1.387
2016-10-06/11:40:00	2016-10-06/11:50:00	47.75	-4.162	1.057	0.987
2016-10-06/12:10:00	2016-10-06/12:20:00	30.443	-4.093	0.958	1.623
2016-10-06/13:25:00	2016-10-06/13:35:00	58.423	-3.92	2.052	1.198
2016-10-06/13:55:00	2016-10-06/14:05:00	65.691	-4.185	2.305	1.027
2016-10-07/01:45:00	2016-10-07/01:55:00	64.336	-2.158	2.738	1.313
2016-10-07/10:00:00	2016-10-07/10:10:00	291.378	-3.062	-2.035	0.815
2016-10-07/10:50:00	2016-10-07/11:00:00	325.101	-3.917	-1.417	2.05
2016-10-07/11:20:00	2016-10-07/11:30:00	328.722	-3.862	-1.583	2.605
2016-10-07/11:50:00	2016-10-07/12:00:00	331.647	-3.775	-1.528	2.833
2016-10-07/12:45:00	2016-10-07/12:55:00	324.579	-3.748	-1.758	2.478
2016-10-07/14:50:00	2016-10-07/15:00:00	196.26	-3.812	-0.927	-3.115
2016-10-07/18:55:00	2016-10-07/19:05:00	22.918	-5.047	1.02	2.428
2016-10-07/19:25:00	2016-10-07/19:35:00	28.907	-4.76	1.353	2.422
2016-10-07/19:55:00	2016-10-07/20:05:00	43.152	-4.513	1.998	2.117
2016-10-07/20:40:00	2016-10-07/20:50:00	46.405	-5.022	1.19	1.173
2016-10-07/22:55:00	2016-10-07/23:05:00	78.93	0.012	4.297	0.832
2016-10-07/23:35:00	2016-10-07/23:45:00	87.04	1.2	4.452	0.237
2016-10-08/00:10:00	2016-10-08/00:20:00	100.156	-0.147	4.773	-0.87
2016-10-08/02:35:00	2016-10-08/02:45:00	61.518	-4.043	2.557	1.395
2016-10-08/03:05:00	2016-10-08/03:15:00	96.131	-2.79	3.672	-0.44
2016-10-08/16:35:00	2016-10-08/16:45:00	134.264	-3.28	1.498	-1.48
2016-10-08/17:05:00	2016-10-08/17:15:00	136.067	-2.942	1.73	-1.895
2016-10-08/18:05:00	2016-10-08/18:15:00	215.93	-2.512	-1.723	-2.09
2016-10-08/19:40:00	2016-10-08/19:50:00	123.392	-3.56	1.62	-1.057
2016-10-08/20:10:00	2016-10-08/20:20:00	127.927	-3.702	1.413	-1.098
2016-10-08/20:40:00	2016-10-08/20:50:00	137.279	-3.763	1.188	-1.295
2016-10-08/21:10:00	2016-10-08/21:20:00	145.949	-3.942	1.017	-1.49
2016-10-08/22:05:00	2016-10-08/22:15:00	117.178	-3.912	1.443	-0.722
2016-10-08/22:55:00	2016-10-08/23:05:00	172.286	-2.883	0.38	-3.015
2016-10-08/23:45:00	2016-10-08/23:55:00	169.18	-1.593	0.613	-3.282
2016-10-09/01:15:00	2016-10-09/01:25:00	128.599	-1.92	2.865	-2.292
2016-10-09/01:45:00	2016-10-09/01:55:00	124.756	-2.54	2.397	-1.648
2016-10-09/02:35:00	2016-10-09/02:45:00	100.842	-2.247	2.632	-0.51
2016-10-09/09:45:00	2016-10-09/09:55:00	165.598	-2.113	0.985	-3.91
2016-10-09/10:25:00	2016-10-09/10:35:00	135.277	-2.82	2.762	-2.818
2016-10-09/10:55:00	2016-10-09/11:05:00	149.227	-3.128	1.847	-3.122
2016-10-09/13:15:00	2016-10-09/13:25:00	141.965	-3.823	2.173	-2.657
2016-10-09/13:45:00	2016-10-09/13:55:00	120.173	-3.55	3.412	-1.985
2016-10-09/18:05:00	2016-10-09/18:15:00	125.231	-3.592	3.643	-2.562
2016-10-09/18:35:00	2016-10-09/18:45:00	117.763	-3.375	3.99	-2.142
2016-10-09/22:50:00	2016-10-09/23:00:00	73.994	-0.95	6.018	1.73
2016-10-09/23:35:00	2016-10-09/23:45:00	103.185	0.418	5.997	-1.412
2016-10-10/00:05:00	2016-10-10/00:15:00	108.565	-3.357	4.092	-1.383
2016-10-10/02:10:00	2016-10-10/02:20:00	101.21	-3.04	5.033	-1.017
2016-10-10/03:10:00	2016-10-10/03:20:00	126.623	-1.147	5.137	-3.807
2016-10-10/09:40:00	2016-10-10/09:50:00	106.195	-4.638	3.345	-1.063
2016-10-10/10:15:00	2016-10-10/10:25:00	113.72	-4.973	2.823	-1.318
2016-10-10/11:00:00	2016-10-10/11:10:00	123.405	-1.985	5.292	-3.5
2016-10-10/11:30:00	2016-10-10/11:40:00	105.511	-2.578	5.338	-1.515
2016-10-10/12:25:00	2016-10-10/12:35:00	126.69	-1.247	4.872	-3.65
2016-10-10/13:10:00	2016-10-10/13:20:00	126.224	-2.112	4.178	-3.127
2016-10-10/14:15:00	2016-10-10/14:25:00	134.555	-1.198	4.042	-3.935
2016-10-10/16:20:00	2016-10-10/16:30:00	224.815	1.633	-3.587	-3.593
2016-10-10/16:55:00	2016-10-10/17:05:00	110.77	-1.507	5.212	-1.998
2016-10-10/17:30:00	2016-10-10/17:40:00	119.753	-2.115	5.725	-3.215
2016-10-10/18:00:00	2016-10-10/18:10:00	109.567	-2.24	6.735	-2.383
2016-10-10/22:55:00	2016-10-10/23:05:00	291.861	4.0	-4.89	1.962
2016-10-10/23:35:00	2016-10-10/23:45:00	304.273	3.83	-4.72	3.223
2016-10-11/00:05:00	2016-10-11/00:15:00	308.199	4.277	-3.958	3.007
2016-10-11/01:05:00	2016-10-11/01:15:00	330.964	6.015	-1.52	2.483
2016-10-11/01:35:00	2016-10-11/01:45:00	339.589	6.445	-0.848	2.17
2016-10-11/02:05:00	2016-10-11/02:15:00	336.482	6.193	-1.172	2.67
2016-10-11/11:40:00	2016-10-11/11:50:00	324.15	2.985	-2.782	3.878
2016-10-11/12:10:00	2016-10-11/12:20:00	324.42	2.622	-2.783	3.847
2016-10-11/12:40:00	2016-10-11/12:50:00	333.094	3.765	-1.83	3.588
2016-10-11/13:10:00	2016-10-11/13:20:00	319.851	5.205	-1.51	1.833
