Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2020-09-01/02:35:00	2020-09-01/02:45:00	112.376	-1.533	4.035	-1.625
2020-09-01/04:50:00	2020-09-01/05:00:00	78.074	-5.15	3.482	0.693
2020-09-01/17:50:00	2020-09-01/18:00:00	188.332	3.787	-0.358	-2.445
2020-09-01/18:30:00	2020-09-01/18:40:00	181.256	4.03	-0.053	-2.558
2020-09-01/19:00:00	2020-09-01/19:10:00	174.297	4.087	0.263	-2.638
2020-09-01/19:30:00	2020-09-01/19:40:00	169.478	4.203	0.433	-2.357
2020-09-01/20:00:00	2020-09-01/20:10:00	167.84	4.73	0.322	-1.415
2020-09-01/20:30:00	2020-09-01/20:40:00	190.931	4.842	-0.23	-1.258
2020-09-01/21:10:00	2020-09-01/21:20:00	187.24	4.498	-0.207	-1.653
2020-09-01/21:40:00	2020-09-01/21:50:00	168.246	4.442	0.402	-1.898
2020-09-01/22:30:00	2020-09-01/22:40:00	157.242	4.338	0.85	-2.025
2020-09-02/00:50:00	2020-09-02/01:00:00	171.445	-2.682	0.472	-3.203
2020-09-04/09:50:00	2020-09-04/10:00:00	207.392	-0.558	-1.952	-3.76
2020-09-04/12:10:00	2020-09-04/12:20:00	230.346	-1.595	-3.253	-2.697
2020-09-04/13:15:00	2020-09-04/13:25:00	217.408	-1.438	-2.8	-3.663
2020-09-04/13:45:00	2020-09-04/13:55:00	221.876	-2.642	-2.883	-3.203
2020-09-04/16:55:00	2020-09-04/17:05:00	168.42	-3.732	0.512	-2.502
2020-09-04/17:55:00	2020-09-04/18:05:00	141.93	-3.613	1.852	-2.353
2020-09-04/18:35:00	2020-09-04/18:45:00	122.349	-2.69	3.307	-2.092
2020-09-04/19:15:00	2020-09-04/19:25:00	108.342	-2.453	3.6	-1.23
2020-09-05/02:30:00	2020-09-05/02:40:00	96.819	-3.003	3.022	-0.372
2020-09-05/03:00:00	2020-09-05/03:10:00	102.044	-3.375	2.745	-0.595
2020-09-05/03:50:00	2020-09-05/04:00:00	82.26	-3.835	1.958	0.233
2020-09-05/04:25:00	2020-09-05/04:35:00	125.3	-3.515	2.148	-1.462
2020-09-05/05:10:00	2020-09-05/05:20:00	114.278	-3.162	2.845	-1.302
2020-09-05/05:40:00	2020-09-05/05:50:00	114.637	-3.377	2.52	-1.162
2020-09-05/06:15:00	2020-09-05/06:25:00	122.105	-2.607	2.898	-1.813
2020-09-05/07:00:00	2020-09-05/07:10:00	119.557	-1.988	3.487	-2.038
2020-09-05/08:25:00	2020-09-05/08:35:00	134.311	-4.105	1.6	-1.557
2020-09-05/09:20:00	2020-09-05/09:30:00	121.471	-2.397	3.203	-1.915
2020-09-05/09:50:00	2020-09-05/10:00:00	136.475	-3.65	1.825	-1.915
2020-09-05/11:45:00	2020-09-05/11:55:00	278.429	-2.863	-3.333	0.495
2020-09-05/12:20:00	2020-09-05/12:30:00	280.664	-1.75	-4.168	0.778
2020-09-05/14:05:00	2020-09-05/14:15:00	306.456	-2.135	-3.267	2.45
2020-09-05/14:35:00	2020-09-05/14:45:00	289.126	-1.967	-3.955	1.37
2020-09-07/13:00:00	2020-09-07/13:10:00	104.244	0.36	4.53	-1.148
2020-09-07/13:30:00	2020-09-07/13:40:00	108.711	0.895	4.423	-1.498
2020-09-07/14:15:00	2020-09-07/14:25:00	110.987	1.537	4.137	-1.587
2020-09-07/14:50:00	2020-09-07/15:00:00	99.127	-0.057	4.635	-0.755
2020-09-07/15:20:00	2020-09-07/15:30:00	104.226	0.442	4.8	-1.217
2020-09-07/15:50:00	2020-09-07/16:00:00	108.247	0.815	4.622	-1.498
2020-09-07/16:20:00	2020-09-07/16:30:00	86.947	-1.792	4.725	0.225
2020-09-07/16:50:00	2020-09-07/17:00:00	78.84	-2.365	4.18	0.817
2020-09-07/17:20:00	2020-09-07/17:30:00	68.093	-2.555	3.833	1.542
2020-09-07/17:50:00	2020-09-07/18:00:00	60.86	-2.845	3.358	1.868
2020-09-07/18:20:00	2020-09-07/18:30:00	66.206	-2.772	3.418	1.532
2020-09-07/18:50:00	2020-09-07/19:00:00	84.954	-2.292	4.095	0.352
2020-09-07/19:20:00	2020-09-07/19:30:00	84.864	-1.773	4.542	0.408
2020-09-07/19:50:00	2020-09-07/20:00:00	85.705	-1.568	4.575	0.337
2020-09-07/20:20:00	2020-09-07/20:30:00	85.511	-2.072	4.278	0.327
2020-09-07/20:50:00	2020-09-07/21:00:00	74.919	-2.858	3.675	0.99
2020-09-07/21:20:00	2020-09-07/21:30:00	78.57	-2.543	4.03	0.81
2020-09-07/21:50:00	2020-09-07/22:00:00	82.024	-2.402	4.293	0.602
2020-09-07/22:20:00	2020-09-07/22:30:00	84.021	-2.813	4.133	0.433
2020-09-07/22:50:00	2020-09-07/23:00:00	76.029	-3.137	3.805	0.943
2020-09-08/00:00:00	2020-09-08/00:10:00	72.319	-2.962	2.368	0.755
